txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
028a2e5f-0051-47f5-9224-b4bb8fbe9f74,/fews/qw23521,RFID,7.85,qw23521,"065 Chambers Knolls
Jennifershire, CT 10302",sft4,Bangalore,Karnataka,Ranchi,06JSUUV1517S1KJ,CAVVS4815N,1230,,1,Type 1,2022-04-13T04:25:27.000Z,,1.11,1780,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.941,,,,7.85,1.4129999999999998,9.263,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,028a2e5f-0051-47f5-9224-b4bb8fbe9f74,charging,,,,ashley92@gmail.com,3108047940,7.85,1.4129999999999998,11657973,2022-04-13T04:27:28.000Z,2022-04-13T04:27:27.000Z,,,,,,,,7,NMC_24834_69387607,6c21c685-1897-4a8d-9b7a-0d4b2e1462e8,,INR,Charging Summary,debit,david51,success,chargeIntimation
765e9d58-24ed-49f0-b490-acd1f47568f2,/fhtl/uy26932,APP,3.96,uy26932,"885 Christina Loaf
Butlermouth, FL 09354",sdg5,Mysore,Karnataka,Chennai,36ACEGK2925L7HF,NDWRK7127P,1153,,3,Type 1,2022-04-13T06:33:10.000Z,,1.42,1941,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.618,,,,3.96,0.7128,4.673,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,765e9d58-24ed-49f0-b490-acd1f47568f2,charging,,,,tapiabrandon@yahoo.com,0967487469,3.96,0.7128,93036076,2022-04-13T06:35:11.000Z,2022-04-13T06:35:10.000Z,,,,,,,,3,NMC_68486_46325637,e31a09ab-b52d-4b8f-8ca3-94904b34c4c8,,INR,Charging Summary,debit,cindy10,success,chargeIntimation
a54e047c-4144-473b-aa21-d83634bccccf,/osrw/mq18481,RFID,8.32,mq18481,"34193 Rivera Union Apt. 966
Port Raymondport, ME 97536",hmk7,Chennai,Tamil Nadu,Ranchi,27JFWIP5710G4ZB,ZGIYH4018L,1006,,2,Type 2,2022-04-13T09:26:02.000Z,,1.36,1274,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.577,,,,8.32,1.4976,9.818,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,a54e047c-4144-473b-aa21-d83634bccccf,charging,,,,maldonadostephanie@yahoo.com,2513710731,8.32,1.4976,73861756,2022-04-13T09:28:03.000Z,2022-04-13T09:28:02.000Z,,,,,,,,9,NMC_21047_41206357,a06844c5-fa73-4ebf-a855-f2f1c56a5dbc,,INR,Charging Summary,debit,ernest86,success,chargeIntimation
a3e0e661-5c9a-4fe8-b023-bf7047334fab,/lknr/op18481,RFID,3.7,op18481,"86053 Turner Neck
North Bridget, NY 04790",hmk7,Chennai,Tamil Nadu,Kolkata,26PMDDF7362G8XT,NOAYL5075H,1494,,3,Type 1,2022-04-13T16:14:33.000Z,,1.4,1818,DEVA-TEST,lknr,,,energyInkWh,6,18,GST,0.505,,,,3.7,0.666,4.366,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,a3e0e661-5c9a-4fe8-b023-bf7047334fab,charging,,,,wilsonseth@hotmail.com,3961731673,3.7,0.666,58395183,2022-04-13T16:16:34.000Z,2022-04-13T16:16:33.000Z,,,,,,,,10,NMC_49271_19390207,0153b78f-b166-47ed-977e-fcd5d826a0e3,,INR,Charging Summary,debit,sarah18,success,chargeIntimation
78170943-4b73-400e-8bfd-35bbaa69800c,/lknr/op18481,RFID,4.5,op18481,"9703 Victor Mission Apt. 020
East Alicia, SC 83604",hmk7,Chennai,Tamil Nadu,Banglore,36IVXEB1695E9WE,FZAZO6760S,1893,,2,Type 2,2022-04-13T02:57:12.000Z,,1.19,1223,DEVA-TEST,lknr,,,energyInkWh,5,18,GST,0.595,,,,4.5,0.8099999999999999,5.31,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,78170943-4b73-400e-8bfd-35bbaa69800c,charging,,,,bellsusan@hotmail.com,0832880568,4.5,0.8099999999999999,98573104,2022-04-13T02:59:13.000Z,2022-04-13T02:59:12.000Z,,,,,,,,5,NMC_37627_32891144,76b5ec0f-ecee-477a-a95e-5128e4afb806,,INR,Charging Summary,debit,ramirezsandra,success,chargeIntimation
ecd2660b-2622-44c3-9ea7-d41804a1be7c,/xlss/yt26932,APP,1.59,yt26932,"Unit 3760 Box 5538
DPO AA 35809",sdg5,Mysore,Karnataka,Kolkata,37FIZIY6605A3GG,DEXQX3740G,1219,,1,Type 2,2022-04-13T00:26:03.000Z,,1.14,1572,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.947,,,,1.59,0.2862,1.876,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ecd2660b-2622-44c3-9ea7-d41804a1be7c,charging,,,,grimesbrandi@gmail.com,4751758360,1.59,0.2862,85643301,2022-04-13T00:28:04.000Z,2022-04-13T00:28:03.000Z,,,,,,,,5,NMC_47249_41368956,ab2bcdd0-d3ab-4859-b704-c05ee9c74c94,,INR,Charging Summary,debit,agreene,success,chargeIntimation
c46c6d2f-58e4-4d87-af22-d3114b5d17eb,/lknr/op18481,APP,4.32,op18481,"7122 Timothy Rapids
Shelleyburgh, OH 50423",hmk7,Chennai,Tamil Nadu,Ranchi,19VUQMQ6702E1WR,ECIGF389L,1459,,3,Type 2,2022-04-13T20:07:42.000Z,,1.24,1400,DEVA-TEST,lknr,,,energyInkWh,5,18,GST,0.588,,,,4.32,0.7776000000000001,5.098,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,c46c6d2f-58e4-4d87-af22-d3114b5d17eb,charging,,,,williamschristopher@hotmail.com,4404801407,4.32,0.7776000000000001,44366225,2022-04-13T20:09:43.000Z,2022-04-13T20:09:42.000Z,,,,,,,,3,NMC_15591_86338541,3362fd27-521b-437a-a9c4-19ba8e225381,,INR,Charging Summary,debit,laceycisneros,success,chargeIntimation
c334b13d-d3ec-4a43-8af2-6eebe16b8475,/lknr/op18481,RFID,1.06,op18481,"534 Gordon Lane
East Debbie, WV 16221",hmk7,Chennai,Tamil Nadu,Banglore,06PNOPQ9520G9BF,LUFHT3417N,1011,,2,Type 1,2022-04-13T06:15:12.000Z,,1.88,1718,DEVA-TEST,lknr,,,energyInkWh,7,18,GST,0.624,,,,1.06,0.1908,1.251,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,c334b13d-d3ec-4a43-8af2-6eebe16b8475,charging,,,,carolcraig@yahoo.com,6171939145,1.06,0.1908,15037936,2022-04-13T06:17:13.000Z,2022-04-13T06:17:12.000Z,,,,,,,,2,NMC_96258_65930816,99c74e01-e7ab-4b1a-a046-39d1241549e3,,INR,Charging Summary,debit,jason57,success,chargeIntimation
ee3514da-43e6-4d00-8708-a383b3cde527,/nsid/ga23521,APP,5.04,ga23521,"9763 Michael Streets
Taylorchester, FL 63778",sft4,Bangalore,Karnataka,Chennai,23RFIAD7335N8EQ,GJQOI9791R,1825,,1,Type 1,2022-04-13T15:52:56.000Z,,1.51,1810,DEVA-TEST,nsid,,,energyInkWh,5,18,GST,0.938,,,,5.04,0.9072,5.947,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ee3514da-43e6-4d00-8708-a383b3cde527,charging,,,,cchandler@gmail.com,5594843344,5.04,0.9072,31102473,2022-04-13T15:54:57.000Z,2022-04-13T15:54:56.000Z,,,,,,,,7,NMC_41676_33918555,50394a7c-0d5c-4544-92ff-dab22e1b9b93,,INR,Charging Summary,debit,williammathews,success,chargeIntimation
d7131d38-d7cb-4428-a983-500ad3aa7737,/nsid/ga23521,APP,7.76,ga23521,"30836 Preston Road
East Nicholasmouth, CA 67152",sft4,Bangalore,Karnataka,Banglore,12BEWRN765S9KH,LOLEW4741Z,1560,,3,Type 2,2022-04-13T22:21:27.000Z,,1.04,1017,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.626,,,,7.76,1.3967999999999998,9.157,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,d7131d38-d7cb-4428-a983-500ad3aa7737,charging,,,,arice@hotmail.com,6702101343,7.76,1.3967999999999998,31226280,2022-04-13T22:23:28.000Z,2022-04-13T22:23:27.000Z,,,,,,,,3,NMC_61818_57893305,c95bfec4-653f-4e3c-9542-a6f06ba7f61a,,INR,Charging Summary,debit,wilkinsonjoanne,success,chargeIntimation
