txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
9cfdfbb4-e428-4df8-8f53-283a5f46c759,/xlss/yt26932,APP,3.12,yt26932,"990 Andrew Creek Suite 947
Heatherfort, ME 81136",sdg5,Mysore,Karnataka,Delhi,25NFHLC1459J7UB,PEKGN1359B,1185,,1,Type 2,2022-08-14T07:59:54.000Z,,1.58,1435,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.86,,,,3.12,0.5616,3.682,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,9cfdfbb4-e428-4df8-8f53-283a5f46c759,charging,,,,johnarnold@yahoo.com,5262694982,3.12,0.5616,16059113,2022-08-14T08:01:55.000Z,2022-08-14T08:01:54.000Z,,,,,,,,4,NMC_88848_69806671,4830dc1d-d2ba-4224-8056-a8e26b9b2a41,,INR,Charging Summary,debit,ubolton,success,chargeIntimation
d5bed7b0-128a-4860-908b-a57cb952b50d,/xlss/yt26932,RFID,3.31,yt26932,"26887 Alexandra Corner
Port Kimside, MH 69030",sdg5,Mysore,Karnataka,Delhi,31XEIAU4073R2SE,HZZTS8270J,1776,,1,Type 2,2022-08-14T11:02:30.000Z,,1.59,1973,DEVA-TEST,xlss,,,energyInkWh,8,18,GST,0.649,,,,3.31,0.5958,3.906,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,d5bed7b0-128a-4860-908b-a57cb952b50d,charging,,,,michael59@gmail.com,3057356315,3.31,0.5958,62329053,2022-08-14T11:04:31.000Z,2022-08-14T11:04:30.000Z,,,,,,,,7,NMC_33448_50488693,84d36cd0-f1df-4425-bb67-87c1c6912bee,,INR,Charging Summary,debit,kho,success,chargeIntimation
73bc6e8f-ccf6-42c0-a9b4-a5986d13d9f6,/nsid/ga23521,APP,2.51,ga23521,"3948 George Terrace Apt. 811
New Calvin, IA 40117",sft4,Bangalore,Karnataka,Banglore,02BWERQ27G2KY,HLITA2642G,1220,,2,Type 2,2022-08-14T00:53:19.000Z,,1.36,1773,DEVA-TEST,nsid,,,energyInkWh,6,18,GST,0.734,,,,2.51,0.4517999999999999,2.962,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,73bc6e8f-ccf6-42c0-a9b4-a5986d13d9f6,charging,,,,jennifer45@yahoo.com,6367318823,2.51,0.4517999999999999,53405000,2022-08-14T00:55:20.000Z,2022-08-14T00:55:19.000Z,,,,,,,,4,NMC_72721_31064947,ef6b1a87-ff04-49f7-a613-ffd83f680539,,INR,Charging Summary,debit,dianamcdonald,success,chargeIntimation
1c97642c-9e0c-404b-85d6-c6eb95a46041,/nsid/ga23521,RFID,6.63,ga23521,"6598 Baker Harbors
Whitetown, ME 17899",sft4,Bangalore,Karnataka,Chennai,26SFEUW7034A8ZV,TUZWG7222Y,1825,,1,Type 1,2022-08-14T15:39:05.000Z,,1.09,1304,DEVA-TEST,nsid,,,energyInkWh,6,18,GST,0.922,,,,6.63,1.1934,7.823,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,1c97642c-9e0c-404b-85d6-c6eb95a46041,charging,,,,paulwallace@gmail.com,0296426374,6.63,1.1934,64314385,2022-08-14T15:41:06.000Z,2022-08-14T15:41:05.000Z,,,,,,,,3,NMC_54399_68626159,4e3f9917-f999-4d67-8ca4-c820f36aac25,,INR,Charging Summary,debit,jesse34,success,chargeIntimation
a7702524-cfff-4aa3-842b-9a531941186b,/xlss/yt26932,APP,8.47,yt26932,"6687 Clayton Parks Apt. 847
Melissaland, NJ 55125",sdg5,Mysore,Karnataka,Kolkata,19LEBBX9565P2AY,IIZTW8953F,1033,,2,Type 1,2022-08-14T22:07:32.000Z,,1.38,1804,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.673,,,,8.47,1.5246,9.995,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,a7702524-cfff-4aa3-842b-9a531941186b,charging,,,,jillian42@hotmail.com,1991934739,8.47,1.5246,73238606,2022-08-14T22:09:33.000Z,2022-08-14T22:09:32.000Z,,,,,,,,1,NMC_57261_40791663,2ea64367-190c-4ed6-9936-5d34b719faaa,,INR,Charging Summary,debit,robertchan,success,chargeIntimation
2f378e3e-51d1-426d-8b73-9a481491096d,/xlss/yt26932,RFID,2.69,yt26932,"57192 Kidd Land
West Jose, MD 14733",sdg5,Mysore,Karnataka,Delhi,33FFQIL9725B2GN,LYJZH3826F,1058,,1,Type 2,2022-08-14T10:11:21.000Z,,1.11,1112,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.871,,,,2.69,0.48419999999999996,3.174,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,2f378e3e-51d1-426d-8b73-9a481491096d,charging,,,,vrodriguez@hotmail.com,0644109716,2.69,0.48419999999999996,56234019,2022-08-14T10:13:22.000Z,2022-08-14T10:13:21.000Z,,,,,,,,9,NMC_38217_14582710,5349cbf8-5bcc-4a8a-9326-238f1a4b0b72,,INR,Charging Summary,debit,sroberts,success,chargeIntimation
a82529c6-bdf1-452e-a20e-e869ac5ab3a3,/xlss/yt26932,APP,6.74,yt26932,"7539 Peterson Grove Apt. 366
Webbchester, WV 12400",sdg5,Mysore,Karnataka,Chennai,11OEKNL1120B6CA,GXPSH7384N,1029,,3,Type 2,2022-08-14T17:34:43.000Z,,1.55,1800,DEVA-TEST,xlss,,,energyInkWh,7,18,GST,0.885,,,,6.74,1.2132,7.953,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,a82529c6-bdf1-452e-a20e-e869ac5ab3a3,charging,,,,petersonjill@hotmail.com,8030401437,6.74,1.2132,23783915,2022-08-14T17:36:44.000Z,2022-08-14T17:36:43.000Z,,,,,,,,4,NMC_19925_39660274,ea2a1c87-5011-495c-82c3-2bfc4754d010,,INR,Charging Summary,debit,funderwood,success,chargeIntimation
d88bda5d-84e9-478f-bcfe-862807146fe1,/nsid/ga23521,APP,1.15,ga23521,"169 Griffin Mission Suite 562
New Shelbychester, WI 59052",sft4,Bangalore,Karnataka,Mumbai,22TMCNJ9722N7SN,DRXTW8998B,1482,,1,Type 2,2022-08-14T02:57:24.000Z,,1.5,1146,DEVA-TEST,nsid,,,energyInkWh,4,18,GST,0.975,,,,1.15,0.207,1.357,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,d88bda5d-84e9-478f-bcfe-862807146fe1,charging,,,,timothyjones@gmail.com,6245213123,1.15,0.207,86561244,2022-08-14T02:59:25.000Z,2022-08-14T02:59:24.000Z,,,,,,,,4,NMC_49564_58521154,00a6f60a-6c95-4605-8460-9668270ece45,,INR,Charging Summary,debit,wardandrew,success,chargeIntimation
74e65b14-dca6-457f-9e85-e4561c21cad4,/xlss/yt26932,APP,9.59,yt26932,"0132 Scott Coves
Port Elizabethton, OK 26513",sdg5,Mysore,Karnataka,Banglore,13OFFWE3297G4AH,QIGFV2841D,1722,,1,Type 2,2022-08-14T03:12:56.000Z,,1.87,1053,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.946,,,,9.59,1.7262,11.316,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,74e65b14-dca6-457f-9e85-e4561c21cad4,charging,,,,zimmermansandra@gmail.com,2235316721,9.59,1.7262,45498937,2022-08-14T03:14:57.000Z,2022-08-14T03:14:56.000Z,,,,,,,,2,NMC_92876_72751563,6393e44e-91df-4fa0-b8f9-81042f283349,,INR,Charging Summary,debit,johnsonrobert,success,chargeIntimation
ed44be1b-6204-4bac-b14c-31f64d24a9c9,/lknr/op18481,APP,9.08,op18481,"USNV Carlson
FPO AP 41123",hmk7,Chennai,Tamil Nadu,Chennai,33JOZUH2822F1WN,NRMKB2734D,1868,,3,Type 2,2022-08-14T13:04:35.000Z,,1.86,1769,DEVA-TEST,lknr,,,energyInkWh,6,18,GST,0.914,,,,9.08,1.6343999999999999,10.714,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ed44be1b-6204-4bac-b14c-31f64d24a9c9,charging,,,,moodyjasmin@hotmail.com,5416144864,9.08,1.6343999999999999,99131582,2022-08-14T13:06:36.000Z,2022-08-14T13:06:35.000Z,,,,,,,,6,NMC_38494_11132633,1575ae6a-7243-4990-ab00-99ab2963897f,,INR,Charging Summary,debit,dlewis,success,chargeIntimation
