txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
f2312d76-41c9-45b2-b9a6-e0d287381994,/fews/qw23521,APP,8.68,qw23521,"46496 Adam Brooks Apt. 077
Fullerbury, PA 25738",sft4,Bangalore,Karnataka,Chennai,10IIJNB6189R7LT,JSWQI8895A,1896,,3,Type 1,2022-12-16T05:18:12.000Z,,1.7,1094,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.914,,,,8.68,1.5623999999999998,10.242,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f2312d76-41c9-45b2-b9a6-e0d287381994,charging,,,,jmorales@gmail.com,2879274713,8.68,1.5623999999999998,65446182,2022-12-16T05:20:13.000Z,2022-12-16T05:20:12.000Z,,,,,,,,2,NMC_63963_46891398,aa2171dd-8f7c-4c48-9634-5510667862ea,,INR,Charging Summary,debit,michael79,success,chargeIntimation
7cfecba7-e4a3-4e09-9859-77e1377ab581,/xlss/yt26932,APP,4.81,yt26932,"05797 Zimmerman Roads
Jeannemouth, UT 72382",sdg5,Mysore,Karnataka,Banglore,21RLVGV6386D1GP,KSTFB3804D,1416,,3,Type 2,2022-12-16T10:30:18.000Z,,1.79,1919,DEVA-TEST,xlss,,,energyInkWh,7,18,GST,0.84,,,,4.81,0.8657999999999999,5.676,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,7cfecba7-e4a3-4e09-9859-77e1377ab581,charging,,,,clarencecordova@yahoo.com,6583455790,4.81,0.8657999999999999,59351200,2022-12-16T10:32:19.000Z,2022-12-16T10:32:18.000Z,,,,,,,,8,NMC_69406_83538642,6458dfa3-c22e-4051-b943-dfd6193d00d7,,INR,Charging Summary,debit,mariahcuevas,success,chargeIntimation
06e26677-2a51-463a-bb30-dda4ba5c7c11,/nsid/ga23521,RFID,6.38,ga23521,"Unit 0151 Box 0080
DPO AA 39219",sft4,Bangalore,Karnataka,Ranchi,09VPAON8230A5CB,NPSPD2289H,1351,,1,Type 1,2022-12-16T03:06:31.000Z,,1.24,1430,DEVA-TEST,nsid,,,energyInkWh,6,18,GST,0.973,,,,6.38,1.1483999999999999,7.528,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,06e26677-2a51-463a-bb30-dda4ba5c7c11,charging,,,,heathercoleman@hotmail.com,1230959119,6.38,1.1483999999999999,56032687,2022-12-16T03:08:32.000Z,2022-12-16T03:08:31.000Z,,,,,,,,8,NMC_49631_19307681,db79e2cd-6d81-4237-a4aa-a9f0558a12b2,,INR,Charging Summary,debit,scottjustin,success,chargeIntimation
880c70e2-9334-47f3-b21c-69691f6d17b3,/xlss/yt26932,RFID,4.43,yt26932,"350 Mccormick Fields
Butlerfurt, VI 74105",sdg5,Mysore,Karnataka,Delhi,28PIUDD7472D4AL,CGRHB7177D,1475,,3,Type 2,2022-12-16T09:51:45.000Z,,1.8,1926,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.629,,,,4.43,0.7973999999999999,5.227,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,880c70e2-9334-47f3-b21c-69691f6d17b3,charging,,,,gleach@yahoo.com,9886611857,4.43,0.7973999999999999,74855528,2022-12-16T09:53:46.000Z,2022-12-16T09:53:45.000Z,,,,,,,,3,NMC_86843_48580547,a3b5f135-10e9-4076-8245-93fe927b0e68,,INR,Charging Summary,debit,eholland,success,chargeIntimation
773fef1d-62f0-4721-820a-915a8e078752,/xlss/yt26932,APP,9.63,yt26932,"655 Jason Park Suite 217
New Scott, VA 14466",sdg5,Mysore,Karnataka,Mumbai,28ELTQY9213Y1GQ,WSSCO3597L,1647,,2,Type 2,2022-12-16T20:42:25.000Z,,1.93,1261,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.682,,,,9.63,1.7334,11.363,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,773fef1d-62f0-4721-820a-915a8e078752,charging,,,,pgarcia@hotmail.com,0379118116,9.63,1.7334,33756518,2022-12-16T20:44:26.000Z,2022-12-16T20:44:25.000Z,,,,,,,,5,NMC_89551_12880872,0da5cc4c-5d1c-4ec1-872e-4f595f0a1700,,INR,Charging Summary,debit,zrubio,success,chargeIntimation
39b3d794-dc5f-4952-b916-d1b0d695eee5,/lknr/op18481,RFID,5.22,op18481,"846 Blake Motorway
North Nathaniel, CA 22660",hmk7,Chennai,Tamil Nadu,Delhi,33ERHWS2908Y4UY,QRJUT4302F,1198,,3,Type 2,2022-12-16T23:44:57.000Z,,1.53,1476,DEVA-TEST,lknr,,,energyInkWh,7,18,GST,0.62,,,,5.22,0.9395999999999999,6.16,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,39b3d794-dc5f-4952-b916-d1b0d695eee5,charging,,,,ecolon@gmail.com,4303713045,5.22,0.9395999999999999,20186706,2022-12-16T23:46:58.000Z,2022-12-16T23:46:57.000Z,,,,,,,,9,NMC_29859_11644361,446d6a12-ad52-4c2d-9aff-21b522fecaea,,INR,Charging Summary,debit,dwinters,success,chargeIntimation
21e752dd-3b61-4ac5-b3d6-3367252ae51c,/fhtl/uy26932,RFID,1.53,uy26932,"63324 Thompson Landing Suite 755
South Jennifer, NM 54928",sdg5,Mysore,Karnataka,Ranchi,17PAEEY5182K3VX,NOTUR3912B,1018,,3,Type 2,2022-12-16T13:57:46.000Z,,1.69,1412,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.898,,,,1.53,0.2754,1.805,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,21e752dd-3b61-4ac5-b3d6-3367252ae51c,charging,,,,scook@gmail.com,9376147295,1.53,0.2754,38942159,2022-12-16T13:59:47.000Z,2022-12-16T13:59:46.000Z,,,,,,,,4,NMC_62534_80901090,36f3b4a5-e18d-4d0c-a777-5da2f554de27,,INR,Charging Summary,debit,stephanie18,success,chargeIntimation
022e89a3-f0ce-49f4-beaa-351e82026b27,/fews/qw23521,RFID,4.96,qw23521,"884 Mccarthy Village Apt. 555
North Arielville, NE 32432",sft4,Bangalore,Karnataka,Banglore,18YZGHM420Y4AR,NUPUA1619R,1952,,3,Type 1,2022-12-16T19:22:35.000Z,,1.28,1892,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.825,,,,4.96,0.8927999999999999,5.853,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,022e89a3-f0ce-49f4-beaa-351e82026b27,charging,,,,matthew20@gmail.com,2679344121,4.96,0.8927999999999999,47812684,2022-12-16T19:24:36.000Z,2022-12-16T19:24:35.000Z,,,,,,,,4,NMC_75502_11014297,bc6d3a5c-9382-47db-90ba-dc0e0c398d5c,,INR,Charging Summary,debit,awilliams,success,chargeIntimation
5d7f4a95-1efa-4585-a1c4-3193a8021779,/xlss/yt26932,RFID,4.87,yt26932,"9060 Marshall Overpass
Lake Wesley, DC 62370",sdg5,Mysore,Karnataka,Delhi,12IJUQQ8588B8CC,SBLGG8778Y,1810,,3,Type 1,2022-12-16T14:21:50.000Z,,1.94,1548,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.901,,,,4.87,0.8765999999999999,5.747,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,5d7f4a95-1efa-4585-a1c4-3193a8021779,charging,,,,fbeck@hotmail.com,6559768561,4.87,0.8765999999999999,22725337,2022-12-16T14:23:51.000Z,2022-12-16T14:23:50.000Z,,,,,,,,6,NMC_64675_46006241,44e921ff-0557-42d2-bf95-5bf14660a618,,INR,Charging Summary,debit,wangmichael,success,chargeIntimation
07c51889-daec-4fa1-86fd-711eecac3822,/lknr/op18481,APP,7.51,op18481,"32127 Johnson Square
Powersfurt, FM 80845",hmk7,Chennai,Tamil Nadu,Mumbai,05CDIJF1705D6EB,GFHJR9552P,1796,,3,Type 1,2022-12-16T05:46:50.000Z,,1.82,1893,DEVA-TEST,lknr,,,energyInkWh,4,18,GST,0.906,,,,7.51,1.3518,8.862,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,07c51889-daec-4fa1-86fd-711eecac3822,charging,,,,kimberlythomas@yahoo.com,6060899392,7.51,1.3518,65139044,2022-12-16T05:48:51.000Z,2022-12-16T05:48:50.000Z,,,,,,,,5,NMC_31375_65029182,d9169fb1-af97-4061-ba02-a5849331d1a7,,INR,Charging Summary,debit,karl08,success,chargeIntimation
