txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
576202cd-a367-4a40-ab71-aa00fce9024b,/fhtl/uy26932,APP,7.73,uy26932,"39926 Wise Cape Suite 684
Austinborough, OH 10901",sdg5,Mysore,Karnataka,Mumbai,24ELWTG4574B9GO,ECTZP3177K,1611,,1,Type 1,2022-02-12T12:05:01.000Z,,1.52,1562,DEVA-TEST,fhtl,,,energyInkWh,4,18,GST,0.851,,,,7.73,1.3914,9.121,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,576202cd-a367-4a40-ab71-aa00fce9024b,charging,,,,ygreer@gmail.com,0323769068,7.73,1.3914,79253543,2022-02-12T12:07:02.000Z,2022-02-12T12:07:01.000Z,,,,,,,,4,NMC_88141_84792485,672f51c6-e859-4ba2-b610-7ec681f0d99a,,INR,Charging Summary,debit,wilsonvincent,success,chargeIntimation
be48418d-9772-4a75-aa18-263f99e9201f,/osrw/mq18481,APP,8.26,mq18481,"5719 Elizabeth Ranch
Andreashire, MH 62610",hmk7,Chennai,Tamil Nadu,Chennai,28FSCSD5861C1WI,NLHWV1480Y,1860,,2,Type 2,2022-02-12T00:58:29.000Z,,1.92,1449,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.796,,,,8.26,1.4868,9.747,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,be48418d-9772-4a75-aa18-263f99e9201f,charging,,,,williamsonrebecca@yahoo.com,5312796113,8.26,1.4868,29676823,2022-02-12T01:00:30.000Z,2022-02-12T01:00:29.000Z,,,,,,,,7,NMC_15126_11340667,eff86dc9-b02e-4f1e-b299-e72328614bc6,,INR,Charging Summary,debit,kristen93,success,chargeIntimation
f1ae7b1e-19e2-4466-9bfc-466554123980,/osrw/mq18481,APP,7.06,mq18481,"0051 Gloria Falls Apt. 683
Adamton, UT 02584",hmk7,Chennai,Tamil Nadu,Delhi,22SSINQ2916K6TG,TDHHU1123T,1246,,1,Type 1,2022-02-12T14:38:10.000Z,,1.29,1225,DEVA-TEST,osrw,,,energyInkWh,6,18,GST,0.817,,,,7.06,1.2708,8.331,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f1ae7b1e-19e2-4466-9bfc-466554123980,charging,,,,zmorrison@yahoo.com,7797037792,7.06,1.2708,27079323,2022-02-12T14:40:11.000Z,2022-02-12T14:40:10.000Z,,,,,,,,7,NMC_33391_55179087,e0265e55-f7f2-4a03-a7d1-3a6e3d3c7d15,,INR,Charging Summary,debit,gmaddox,success,chargeIntimation
768326b4-3b79-49ea-ae84-2c06483d88f4,/osrw/mq18481,APP,1.85,mq18481,"69144 Hopkins Coves
South Jasonshire, NY 94029",hmk7,Chennai,Tamil Nadu,Chennai,22GPPIN6525E7IG,SGCOQ9912Y,1905,,2,Type 1,2022-02-12T11:48:05.000Z,,1.72,1769,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.558,,,,1.85,0.333,2.183,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,768326b4-3b79-49ea-ae84-2c06483d88f4,charging,,,,smann@yahoo.com,1522842984,1.85,0.333,37508511,2022-02-12T11:50:06.000Z,2022-02-12T11:50:05.000Z,,,,,,,,8,NMC_76372_72680474,b86f21d2-62d9-4b6a-a801-59fce1307cf3,,INR,Charging Summary,debit,shawn55,success,chargeIntimation
cbd82bdc-4a30-4994-97de-d080beb33f74,/lknr/op18481,APP,5.63,op18481,"22453 Gerald Mission Apt. 812
West Robert, AK 74952",hmk7,Chennai,Tamil Nadu,Ranchi,03LXOEF4208Z0RG,DXTJS633E,1378,,2,Type 1,2022-02-12T21:56:00.000Z,,1.19,1295,DEVA-TEST,lknr,,,energyInkWh,5,18,GST,0.937,,,,5.63,1.0133999999999999,6.643,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,cbd82bdc-4a30-4994-97de-d080beb33f74,charging,,,,ingrammelissa@yahoo.com,7659368967,5.63,1.0133999999999999,24110512,2022-02-12T21:58:01.000Z,2022-02-12T21:58:00.000Z,,,,,,,,4,NMC_13573_12629589,53c50c04-758a-489e-8cdc-290e085e1254,,INR,Charging Summary,debit,andrewstheresa,success,chargeIntimation
2c6f1689-410a-423c-86b6-76ee8a54ebfb,/xlss/yt26932,RFID,6.46,yt26932,"483 Nixon Plains
Ayalaburgh, SD 71520",sdg5,Mysore,Karnataka,Chennai,27CAFXL2915B4VS,VXTGG1184D,1229,,1,Type 2,2022-02-12T10:06:27.000Z,,1.12,1495,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.61,,,,6.46,1.1628,7.623,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,2c6f1689-410a-423c-86b6-76ee8a54ebfb,charging,,,,montgomerymarisa@gmail.com,7424414153,6.46,1.1628,79747099,2022-02-12T10:08:28.000Z,2022-02-12T10:08:27.000Z,,,,,,,,7,NMC_90336_93920591,97c3242b-2f40-4576-bc0a-506a9ff70430,,INR,Charging Summary,debit,cheryl18,success,chargeIntimation
309e3397-9749-49a9-b15f-54cc75faddde,/fews/qw23521,RFID,2.12,qw23521,"336 Paul Branch
Martintown, NJ 59666",sft4,Bangalore,Karnataka,Ranchi,04MYJJR6452E9YX,SFRLQ8050N,1134,,3,Type 2,2022-02-12T14:03:47.000Z,,1.04,1362,DEVA-TEST,fews,,,energyInkWh,6,18,GST,0.795,,,,2.12,0.3816,2.502,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,309e3397-9749-49a9-b15f-54cc75faddde,charging,,,,christina85@yahoo.com,0429049213,2.12,0.3816,29558294,2022-02-12T14:05:48.000Z,2022-02-12T14:05:47.000Z,,,,,,,,6,NMC_18657_20038283,c156282d-bb3b-4877-83a0-c51de633b6d3,,INR,Charging Summary,debit,qeverett,success,chargeIntimation
1968a7a3-3c7d-4f04-b5ec-4bd69530ae17,/lknr/op18481,APP,8.81,op18481,"122 Bell Views Apt. 921
Lake Wesleytown, NE 30376",hmk7,Chennai,Tamil Nadu,Ranchi,09BNSCN4570J5JA,LCNED7243S,1029,,2,Type 2,2022-02-12T21:15:57.000Z,,1.26,1377,DEVA-TEST,lknr,,,energyInkWh,7,18,GST,0.505,,,,8.81,1.5858,10.396,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,1968a7a3-3c7d-4f04-b5ec-4bd69530ae17,charging,,,,sharonbrooks@yahoo.com,2100491934,8.81,1.5858,74653730,2022-02-12T21:17:58.000Z,2022-02-12T21:17:57.000Z,,,,,,,,3,NMC_76845_48702961,795eee0d-6af0-418f-8d17-f60c92f1d425,,INR,Charging Summary,debit,ythomas,success,chargeIntimation
2c887a79-344f-4909-a682-9cbaf7bfed30,/nsid/ga23521,RFID,2.66,ga23521,"9661 Brittany Estate
Lake Johnstad, KY 02646",sft4,Bangalore,Karnataka,Mumbai,08ARUXK9806E4XV,DZHDI342J,1917,,1,Type 1,2022-02-12T07:33:49.000Z,,1.12,1847,DEVA-TEST,nsid,,,energyInkWh,5,18,GST,0.87,,,,2.66,0.4788,3.139,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,2c887a79-344f-4909-a682-9cbaf7bfed30,charging,,,,jason05@gmail.com,9485395929,2.66,0.4788,58197042,2022-02-12T07:35:50.000Z,2022-02-12T07:35:49.000Z,,,,,,,,6,NMC_33668_65593305,ba5977b8-78a4-4a68-8ae1-96bfedd46d5d,,INR,Charging Summary,debit,ramseycourtney,success,chargeIntimation
e099b671-a4b2-41fe-9a0b-e5235450adbd,/xlss/yt26932,RFID,1.98,yt26932,"7133 Lewis Mountain Suite 911
East Moniqueview, WY 70332",sdg5,Mysore,Karnataka,Delhi,18ETBKV6749H2ZR,EWGBO6653H,1414,,1,Type 2,2022-02-12T06:42:18.000Z,,1.08,1557,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.897,,,,1.98,0.3564,2.336,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,e099b671-a4b2-41fe-9a0b-e5235450adbd,charging,,,,ktanner@gmail.com,2099651733,1.98,0.3564,45538003,2022-02-12T06:44:19.000Z,2022-02-12T06:44:18.000Z,,,,,,,,8,NMC_10238_95500902,0ee39b31-b194-4004-92ba-c18c7b492499,,INR,Charging Summary,debit,juantran,success,chargeIntimation
