txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
6a919262-fc5a-4b07-9b45-49e7c0e6167b,/osrw/mq18481,RFID,7.01,mq18481,"7378 Bradley Views Apt. 974
Morrismouth, RI 35472",hmk7,Chennai,Tamil Nadu,Banglore,18JJVSX6366Z6LO,DJNEX6505A,1180,,3,Type 2,2022-01-18T16:06:12.000Z,,1.91,1628,DEVA-TEST,osrw,,,energyInkWh,8,18,GST,0.828,,,,7.01,1.2617999999999998,8.272,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,6a919262-fc5a-4b07-9b45-49e7c0e6167b,charging,,,,cheryl88@gmail.com,4048589068,7.01,1.2617999999999998,29680820,2022-01-18T16:08:13.000Z,2022-01-18T16:08:12.000Z,,,,,,,,3,NMC_66625_63343905,6aa6cfe3-2292-48be-9c30-3879a46aa620,,INR,Charging Summary,debit,maryadams,success,chargeIntimation
49af7a58-b301-4b34-9d8a-7157d2f5f2e2,/nsid/ga23521,APP,1.92,ga23521,"6047 Griffin Locks
New Antonioville, CO 76605",sft4,Bangalore,Karnataka,Kolkata,16NHKAD3721B4FU,FEZTT3354C,1399,,2,Type 2,2022-01-18T22:36:25.000Z,,1.4,1206,DEVA-TEST,nsid,,,energyInkWh,4,18,GST,0.881,,,,1.92,0.34559999999999996,2.266,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,49af7a58-b301-4b34-9d8a-7157d2f5f2e2,charging,,,,bennettjohn@gmail.com,5744929282,1.92,0.34559999999999996,56721552,2022-01-18T22:38:26.000Z,2022-01-18T22:38:25.000Z,,,,,,,,6,NMC_12456_59492451,7b28e92e-4d34-4e19-81e4-e52e39b6b3e4,,INR,Charging Summary,debit,smithandrew,success,chargeIntimation
d5ca8805-0973-410b-8899-1ab5545fb2d0,/nsid/ga23521,RFID,5.59,ga23521,"47605 Stephen Field
Campbellmouth, MH 92596",sft4,Bangalore,Karnataka,Ranchi,30SJCUZ4809F6XM,DXLZJ8737G,1120,,3,Type 1,2022-01-18T03:02:06.000Z,,1.54,1787,DEVA-TEST,nsid,,,energyInkWh,5,18,GST,0.975,,,,5.59,1.0062,6.596,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,d5ca8805-0973-410b-8899-1ab5545fb2d0,charging,,,,sabbott@yahoo.com,9273856586,5.59,1.0062,96214055,2022-01-18T03:04:07.000Z,2022-01-18T03:04:06.000Z,,,,,,,,3,NMC_44653_48982023,e2b3340c-b43d-46c6-9bbf-6432ae86aab9,,INR,Charging Summary,debit,hpatterson,success,chargeIntimation
27f414a4-d240-466c-82f8-e9d9c879f3a4,/nsid/ga23521,APP,2.16,ga23521,"817 Williams Pines
Leeshire, DE 56850",sft4,Bangalore,Karnataka,Kolkata,36WCLXI8653P5CX,EJMAR7210S,1194,,1,Type 1,2022-01-18T14:49:57.000Z,,1.61,1473,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.891,,,,2.16,0.38880000000000003,2.549,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,27f414a4-d240-466c-82f8-e9d9c879f3a4,charging,,,,michellejohnson@hotmail.com,8155510566,2.16,0.38880000000000003,87052952,2022-01-18T14:51:58.000Z,2022-01-18T14:51:57.000Z,,,,,,,,3,NMC_33936_30921000,d8aa0df1-69dc-4d63-a849-5d546f625e7b,,INR,Charging Summary,debit,lewisalicia,success,chargeIntimation
b14382a4-c3c8-42b3-932a-dbd53d5b0e14,/nsid/ga23521,RFID,2.21,ga23521,"1787 Doyle River
New Nathan, NH 22727",sft4,Bangalore,Karnataka,Chennai,31LYCTU9786E5EW,TWEMZ1514K,1446,,2,Type 1,2022-01-18T15:24:30.000Z,,1.42,1189,DEVA-TEST,nsid,,,energyInkWh,5,18,GST,0.609,,,,2.21,0.3978,2.608,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,b14382a4-c3c8-42b3-932a-dbd53d5b0e14,charging,,,,rlopez@gmail.com,2877017755,2.21,0.3978,28435452,2022-01-18T15:26:31.000Z,2022-01-18T15:26:30.000Z,,,,,,,,3,NMC_61847_26450642,ddb489bb-8b9f-4570-98c9-f1308386f3ae,,INR,Charging Summary,debit,pamela03,success,chargeIntimation
c9feb1c3-7c89-4b03-85e0-a83abe9ad43d,/fhtl/uy26932,APP,7.49,uy26932,"641 Washington Glens Suite 335
East Diana, OR 21482",sdg5,Mysore,Karnataka,Ranchi,37DNPTW879R9VA,TZGOL4481L,1352,,2,Type 2,2022-01-18T21:32:17.000Z,,1.05,1722,DEVA-TEST,fhtl,,,energyInkWh,8,18,GST,0.643,,,,7.49,1.3482,8.838,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,c9feb1c3-7c89-4b03-85e0-a83abe9ad43d,charging,,,,gonzalezjoseph@hotmail.com,3476575664,7.49,1.3482,49171633,2022-01-18T21:34:18.000Z,2022-01-18T21:34:17.000Z,,,,,,,,7,NMC_15896_42120552,eb851688-444b-480f-9b05-98d84d2b55bd,,INR,Charging Summary,debit,bcoleman,success,chargeIntimation
67a7c197-8452-43b1-8bd3-691fa81a94eb,/nsid/ga23521,RFID,6.17,ga23521,"325 Brett Hollow
West Aliciaborough, OR 70943",sft4,Bangalore,Karnataka,Delhi,29GNCJN8071J9MP,NFGMQ7508R,1587,,2,Type 1,2022-01-18T11:48:55.000Z,,1.02,1183,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.517,,,,6.17,1.1106,7.281,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,67a7c197-8452-43b1-8bd3-691fa81a94eb,charging,,,,dale45@yahoo.com,5499000437,6.17,1.1106,42838307,2022-01-18T11:50:56.000Z,2022-01-18T11:50:55.000Z,,,,,,,,4,NMC_88169_71774580,82115f7a-00e1-4714-974d-6ca91b3fa83a,,INR,Charging Summary,debit,tanya95,success,chargeIntimation
264cee4b-47fa-4dbc-ad6f-a3962ccf83d8,/fhtl/uy26932,APP,6.01,uy26932,"418 Deanna Inlet Suite 930
Barrettshire, MI 34032",sdg5,Mysore,Karnataka,Ranchi,02CYVES4299N6GE,GUOWY3902Z,1606,,1,Type 2,2022-01-18T19:32:52.000Z,,1.63,1403,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.589,,,,6.01,1.0817999999999999,7.092,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,264cee4b-47fa-4dbc-ad6f-a3962ccf83d8,charging,,,,brandon35@yahoo.com,4369108054,6.01,1.0817999999999999,19994942,2022-01-18T19:34:53.000Z,2022-01-18T19:34:52.000Z,,,,,,,,1,NMC_87445_74933291,50b69d64-f82d-49c7-815f-02b15212e614,,INR,Charging Summary,debit,pottsamanda,success,chargeIntimation
7a8fce1e-ebf8-4d0f-96b4-976ac4508520,/fews/qw23521,RFID,8.58,qw23521,"983 Stephen Fords
South Craigborough, NH 56520",sft4,Bangalore,Karnataka,Delhi,18YUOTC1143G1GL,KFQGD4085R,1454,,2,Type 1,2022-01-18T11:22:53.000Z,,1.64,1858,DEVA-TEST,fews,,,energyInkWh,6,18,GST,0.894,,,,8.58,1.5444,10.124,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,7a8fce1e-ebf8-4d0f-96b4-976ac4508520,charging,,,,mmorales@yahoo.com,1323364485,8.58,1.5444,52652526,2022-01-18T11:24:54.000Z,2022-01-18T11:24:53.000Z,,,,,,,,7,NMC_37484_36663647,ddbecc1e-4b6b-474f-a32f-b34e3fc686e7,,INR,Charging Summary,debit,fdixon,success,chargeIntimation
8f442281-47fe-467d-a824-7a4f6ddaccec,/nsid/ga23521,RFID,3.26,ga23521,"PSC 7962, Box 1875
APO AA 78919",sft4,Bangalore,Karnataka,Banglore,36UCMAJ9501J6QQ,GZKRN1984J,1810,,1,Type 1,2022-01-18T18:58:11.000Z,,1.27,1857,DEVA-TEST,nsid,,,energyInkWh,5,18,GST,0.824,,,,3.26,0.5868,3.847,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8f442281-47fe-467d-a824-7a4f6ddaccec,charging,,,,boothdeanna@gmail.com,2731387426,3.26,0.5868,43186141,2022-01-18T19:00:12.000Z,2022-01-18T19:00:11.000Z,,,,,,,,10,NMC_17714_53569926,8be46be5-8615-4748-989c-89ea6844c6a1,,INR,Charging Summary,debit,brianna76,success,chargeIntimation
