txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
29ebc07a-49df-4e91-9b6e-200487b0645a,/lknr/op18481,APP,4.98,op18481,"5131 Nicholas Falls
East Jamesfort, NV 98348",hmk7,Chennai,Tamil Nadu,Chennai,96XORII9466A4HZ,WVFJG2054T,1624,,3,Type 2,2022-07-20T22:11:13.000Z,,1.09,1784,DEVA-TEST,lknr,,,energyInkWh,5,18,GST,0.634,,,,4.98,0.8964000000000001,5.876,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,29ebc07a-49df-4e91-9b6e-200487b0645a,charging,,,,colonpatrick@hotmail.com,2854797447,4.98,0.8964000000000001,92015980,2022-07-20T22:13:14.000Z,2022-07-20T22:13:13.000Z,,,,,,,,10,NMC_38723_70822370,9400e8bf-e612-496e-b897-aa210f7c6614,,INR,Charging Summary,debit,pattersonleonard,success,chargeIntimation
a3675b62-1c66-44dd-9c63-d68ffa7b07dc,/xlss/yt26932,APP,7.42,yt26932,"68167 Marks Rapid
Richardstad, NV 39856",sdg5,Mysore,Karnataka,Delhi,16BYJAO2198S4GS,QHWKH3375C,1386,,2,Type 2,2022-07-20T14:23:41.000Z,,1.11,1589,DEVA-TEST,xlss,,,energyInkWh,8,18,GST,0.682,,,,7.42,1.3356,8.756,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,a3675b62-1c66-44dd-9c63-d68ffa7b07dc,charging,,,,washingtonleah@yahoo.com,2895010322,7.42,1.3356,56718757,2022-07-20T14:25:42.000Z,2022-07-20T14:25:41.000Z,,,,,,,,7,NMC_46231_84273759,c567f5bc-f450-483c-87b8-b8f845df41fa,,INR,Charging Summary,debit,juliecrawford,success,chargeIntimation
18399ff7-2d0c-4473-9f0b-6724b39a4dec,/fhtl/uy26932,RFID,4.57,uy26932,"4745 Traci Valley
Andrewtown, NM 62229",sdg5,Mysore,Karnataka,Mumbai,30ARLTJ591K1MN,FEAMQ3067P,1190,,2,Type 1,2022-07-20T18:22:44.000Z,,1.66,1265,DEVA-TEST,fhtl,,,energyInkWh,4,18,GST,0.762,,,,4.57,0.8226,5.393,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,18399ff7-2d0c-4473-9f0b-6724b39a4dec,charging,,,,alicia10@hotmail.com,4478574405,4.57,0.8226,31907610,2022-07-20T18:24:45.000Z,2022-07-20T18:24:44.000Z,,,,,,,,7,NMC_56159_53791861,b56d1119-dc54-47c6-a44f-abf9a6591ad2,,INR,Charging Summary,debit,jacksonmichael,success,chargeIntimation
ce4a4cb3-13b9-484a-bde2-e46b9324a741,/fhtl/uy26932,RFID,1.37,uy26932,"276 Wilson Point
Currychester, PW 10275",sdg5,Mysore,Karnataka,Chennai,23ORJJR5637S6UJ,SIDXV5621T,1216,,2,Type 2,2022-07-20T19:36:32.000Z,,1.83,1386,DEVA-TEST,fhtl,,,energyInkWh,7,18,GST,0.596,,,,1.37,0.2466,1.617,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ce4a4cb3-13b9-484a-bde2-e46b9324a741,charging,,,,jeremiah03@hotmail.com,9965518327,1.37,0.2466,76393502,2022-07-20T19:38:33.000Z,2022-07-20T19:38:32.000Z,,,,,,,,3,NMC_90250_86756404,75bab5d4-8e83-46b1-bfee-ad1f461194a5,,INR,Charging Summary,debit,mraymond,success,chargeIntimation
18956fd5-ca53-4dac-95ca-78b8e07753c6,/lknr/op18481,APP,8.79,op18481,"0909 Lori Pass Suite 454
Mckinneytown, SD 54554",hmk7,Chennai,Tamil Nadu,Mumbai,11FBVYE1106Y8CD,RHQME2855F,1250,,1,Type 1,2022-07-20T19:37:53.000Z,,1.32,1915,DEVA-TEST,lknr,,,energyInkWh,5,18,GST,0.738,,,,8.79,1.5821999999999998,10.372,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,18956fd5-ca53-4dac-95ca-78b8e07753c6,charging,,,,qhudson@hotmail.com,7296523070,8.79,1.5821999999999998,25823589,2022-07-20T19:39:54.000Z,2022-07-20T19:39:53.000Z,,,,,,,,9,NMC_37347_62505138,32f6ac47-ae89-412d-a3f0-35d04506e42a,,INR,Charging Summary,debit,ghooper,success,chargeIntimation
2fb94535-c099-41d7-972d-528f8b1f7e4f,/xlss/yt26932,APP,5.15,yt26932,"33104 Dennis Glens Apt. 640
New Jamesside, MA 90379",sdg5,Mysore,Karnataka,Chennai,23HUIAC1586Z7QC,KMDBR9572J,1647,,3,Type 2,2022-07-20T17:49:08.000Z,,1.2,1959,DEVA-TEST,xlss,,,energyInkWh,7,18,GST,0.79,,,,5.15,0.927,6.077,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,2fb94535-c099-41d7-972d-528f8b1f7e4f,charging,,,,mcculloughelaine@gmail.com,5096193166,5.15,0.927,60205126,2022-07-20T17:51:09.000Z,2022-07-20T17:51:08.000Z,,,,,,,,3,NMC_52155_10216287,579472cb-3c90-4a7c-b239-0522abdacf14,,INR,Charging Summary,debit,ebell,success,chargeIntimation
f33a887e-4e09-40b3-82ca-bc672430676b,/lknr/op18481,RFID,1.65,op18481,"USNV Edwards
FPO AE 50183",hmk7,Chennai,Tamil Nadu,Kolkata,19DHRQS4147D4CI,GGIOW3443N,1886,,1,Type 1,2022-07-20T17:19:02.000Z,,1.02,1524,DEVA-TEST,lknr,,,energyInkWh,6,18,GST,0.759,,,,1.65,0.297,1.947,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f33a887e-4e09-40b3-82ca-bc672430676b,charging,,,,paulashort@gmail.com,8039682173,1.65,0.297,29305774,2022-07-20T17:21:03.000Z,2022-07-20T17:21:02.000Z,,,,,,,,4,NMC_39179_58760727,2f7077c0-dbe1-43c4-9b85-a6d5f3757109,,INR,Charging Summary,debit,brian47,success,chargeIntimation
185ef427-27d8-48d7-92bb-0f4c25a2c97d,/fhtl/uy26932,APP,9.19,uy26932,"70820 Cox Forges
South Christopher, MN 42099",sdg5,Mysore,Karnataka,Banglore,26KUZZB7714A5FB,HVYDJ9390G,1620,,3,Type 1,2022-07-20T02:38:01.000Z,,1.89,1133,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.657,,,,9.19,1.6542,10.844,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,185ef427-27d8-48d7-92bb-0f4c25a2c97d,charging,,,,robertmcintosh@hotmail.com,4062686443,9.19,1.6542,86347244,2022-07-20T02:40:02.000Z,2022-07-20T02:40:01.000Z,,,,,,,,5,NMC_19945_18648779,b162a518-79a0-40d4-a89a-1f3ac4d33b7c,,INR,Charging Summary,debit,ricekelsey,success,chargeIntimation
abd08313-8620-44da-be91-6977ba183a54,/osrw/mq18481,APP,9.88,mq18481,"859 Cathy Locks Suite 169
South Deborahshire, RI 63173",hmk7,Chennai,Tamil Nadu,Ranchi,01ECMUQ1738R2LR,DYTTD7143F,1062,,2,Type 1,2022-07-20T11:01:28.000Z,,1.24,1120,DEVA-TEST,osrw,,,energyInkWh,5,18,GST,0.827,,,,9.88,1.7784,11.658,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,abd08313-8620-44da-be91-6977ba183a54,charging,,,,dtaylor@yahoo.com,7495011604,9.88,1.7784,82600454,2022-07-20T11:03:29.000Z,2022-07-20T11:03:28.000Z,,,,,,,,2,NMC_99164_51871514,de0972ac-980c-45f9-a7bc-9cc5b137ea41,,INR,Charging Summary,debit,lindahall,success,chargeIntimation
48e79fa4-c624-4a58-82d1-f3ee5130cede,/fhtl/uy26932,RFID,6.33,uy26932,"3814 Martinez Ways Apt. 152
Lake Sabrina, RI 30040",sdg5,Mysore,Karnataka,Delhi,32GZAOD694D9JC,VCWQJ8731P,1539,,2,Type 1,2022-07-20T03:39:49.000Z,,1.79,1106,DEVA-TEST,fhtl,,,energyInkWh,4,18,GST,0.909,,,,6.33,1.1394,7.469,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,48e79fa4-c624-4a58-82d1-f3ee5130cede,charging,,,,ronald14@gmail.com,8622374589,6.33,1.1394,16186848,2022-07-20T03:41:50.000Z,2022-07-20T03:41:49.000Z,,,,,,,,8,NMC_78791_34077300,7f110b23-4494-4d96-abed-9531801b2b71,,INR,Charging Summary,debit,jerome83,success,chargeIntimation
