txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
e16e701e-908e-477a-9894-a36bf762f44f,/nsid/ga23521,RFID,5.45,ga23521,"7421 Michael Mall
Wellsside, FL 26885",sft4,Bangalore,Karnataka,Kolkata,10NNFQV8206D1XX,GJROS9301S,1781,,2,Type 1,2022-06-24T01:03:18.000Z,,1.99,1526,DEVA-TEST,nsid,,,energyInkWh,6,18,GST,0.835,,,,5.45,0.981,6.431,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,e16e701e-908e-477a-9894-a36bf762f44f,charging,,,,nancy01@yahoo.com,5064257681,5.45,0.981,74423982,2022-06-24T01:05:19.000Z,2022-06-24T01:05:18.000Z,,,,,,,,7,NMC_82043_69066423,bc7ba631-e886-46b2-9551-b38be72083f7,,INR,Charging Summary,debit,arthur97,success,chargeIntimation
cd47a2dc-69f0-459b-bb04-f514b5694246,/osrw/mq18481,RFID,7.47,mq18481,"9954 Petersen Ports Suite 653
Ramirezbury, OR 63169",hmk7,Chennai,Tamil Nadu,Mumbai,25EJFWO3134L4FB,QZTRA3169N,1334,,2,Type 2,2022-06-24T04:33:51.000Z,,1.27,1700,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.884,,,,7.47,1.3445999999999998,8.815,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,cd47a2dc-69f0-459b-bb04-f514b5694246,charging,,,,griffinanne@hotmail.com,7709542807,7.47,1.3445999999999998,46892775,2022-06-24T04:35:52.000Z,2022-06-24T04:35:51.000Z,,,,,,,,3,NMC_23665_90433744,47273e9c-7401-4274-ba3b-56137fea63c6,,INR,Charging Summary,debit,gregory24,success,chargeIntimation
2b595bdc-b346-47f7-a674-f9b060a226ee,/osrw/mq18481,RFID,9.98,mq18481,"268 Richard Junctions
Christyside, CT 26578",hmk7,Chennai,Tamil Nadu,Ranchi,02NBOBK5921K6SW,BOVIC8902H,1381,,2,Type 1,2022-06-24T21:15:31.000Z,,1.54,1595,DEVA-TEST,osrw,,,energyInkWh,4,18,GST,0.963,,,,9.98,1.7964,11.776,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,2b595bdc-b346-47f7-a674-f9b060a226ee,charging,,,,obaxter@gmail.com,0447584156,9.98,1.7964,13375622,2022-06-24T21:17:32.000Z,2022-06-24T21:17:31.000Z,,,,,,,,1,NMC_12896_25207248,e5fe7970-d4c0-4fdb-8543-7d9553ffa683,,INR,Charging Summary,debit,ashley53,success,chargeIntimation
19cd3516-85c1-494f-95c4-3c62091efea8,/fews/qw23521,APP,9.86,qw23521,"968 Hooper Port Apt. 097
New Angelaport, OH 58253",sft4,Bangalore,Karnataka,Delhi,32AOGFM9815Z5YM,BPHPE4440H,1196,,3,Type 1,2022-06-24T19:53:25.000Z,,1.7,1772,DEVA-TEST,fews,,,energyInkWh,6,18,GST,0.726,,,,9.86,1.7748,11.635,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,19cd3516-85c1-494f-95c4-3c62091efea8,charging,,,,veronica64@gmail.com,4295667133,9.86,1.7748,18185406,2022-06-24T19:55:26.000Z,2022-06-24T19:55:25.000Z,,,,,,,,2,NMC_85642_69777433,1d70404d-ffa0-4b73-8f1e-a14d72f4b822,,INR,Charging Summary,debit,melissa54,success,chargeIntimation
135e7b2a-3891-4f64-932f-2b731382817b,/fews/qw23521,RFID,7.74,qw23521,"595 Smith Vista
Lake Edward, LA 14096",sft4,Bangalore,Karnataka,Mumbai,27FPIKV3030N8HN,XFNOS9524N,1171,,2,Type 1,2022-06-24T14:01:06.000Z,,1.24,1826,DEVA-TEST,fews,,,energyInkWh,6,18,GST,0.891,,,,7.74,1.3932,9.133,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,135e7b2a-3891-4f64-932f-2b731382817b,charging,,,,teresalloyd@yahoo.com,6065489324,7.74,1.3932,35561243,2022-06-24T14:03:07.000Z,2022-06-24T14:03:06.000Z,,,,,,,,1,NMC_71968_25524790,86b96626-d0c5-451f-9d83-fc4e7c70c6a7,,INR,Charging Summary,debit,rchambers,success,chargeIntimation
1f12d3ad-8f39-4e81-be1c-80c2912b9dfa,/nsid/ga23521,APP,1.06,ga23521,"323 Vargas Stream Suite 439
Lake Peter, MD 34754",sft4,Bangalore,Karnataka,Chennai,16LROYJ8511N9UH,SRIYH2838P,1664,,2,Type 2,2022-06-24T23:45:42.000Z,,1.08,1565,DEVA-TEST,nsid,,,energyInkWh,5,18,GST,0.581,,,,1.06,0.1908,1.251,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,1f12d3ad-8f39-4e81-be1c-80c2912b9dfa,charging,,,,gregorytony@hotmail.com,0934363574,1.06,0.1908,27020808,2022-06-24T23:47:43.000Z,2022-06-24T23:47:42.000Z,,,,,,,,7,NMC_10413_73851115,a1933314-2de8-498f-893a-e0ced11a7c25,,INR,Charging Summary,debit,goodwinjerome,success,chargeIntimation
485a0cab-85ed-41b0-8638-a6ebdb3e2c50,/osrw/mq18481,APP,1.39,mq18481,"47949 Amanda View
Yvonneton, IL 84734",hmk7,Chennai,Tamil Nadu,Delhi,20LTINM5673N6PH,DLMZT6631A,1878,,1,Type 2,2022-06-24T02:46:29.000Z,,1.88,1799,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.612,,,,1.39,0.2502,1.64,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,485a0cab-85ed-41b0-8638-a6ebdb3e2c50,charging,,,,melissa15@hotmail.com,7557031962,1.39,0.2502,45060742,2022-06-24T02:48:30.000Z,2022-06-24T02:48:29.000Z,,,,,,,,5,NMC_70063_83865095,1e28821c-2550-4f5b-a5d7-dcf3cf98ac3c,,INR,Charging Summary,debit,aphillips,success,chargeIntimation
da3d233b-a525-4ceb-9e3b-31e3bb81631e,/xlss/yt26932,APP,6.95,yt26932,"5327 Julie Trafficway
Lake Bradley, MT 25353",sdg5,Mysore,Karnataka,Banglore,19ONHBC1326G8XO,XYSFL5886G,1674,,3,Type 2,2022-06-24T13:49:01.000Z,,1.93,1204,DEVA-TEST,xlss,,,energyInkWh,8,18,GST,0.937,,,,6.95,1.251,8.201,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,da3d233b-a525-4ceb-9e3b-31e3bb81631e,charging,,,,hernandezjohnny@gmail.com,7848044839,6.95,1.251,38002151,2022-06-24T13:51:02.000Z,2022-06-24T13:51:01.000Z,,,,,,,,5,NMC_80218_92024646,76266587-cdb4-4aa0-99a9-8a011b633198,,INR,Charging Summary,debit,petersoncraig,success,chargeIntimation
1c03b8a1-662b-44ec-bce8-bc43f3ab0af9,/lknr/op18481,APP,9.68,op18481,"65139 Williams Forges
South Teresa, VA 36184",hmk7,Chennai,Tamil Nadu,Kolkata,09OQTXW5840E5GS,OUPAV2097G,1535,,3,Type 2,2022-06-24T07:54:45.000Z,,1.78,1769,DEVA-TEST,lknr,,,energyInkWh,6,18,GST,0.782,,,,9.68,1.7424,11.422,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,1c03b8a1-662b-44ec-bce8-bc43f3ab0af9,charging,,,,charlesadams@hotmail.com,9769594011,9.68,1.7424,15174818,2022-06-24T07:56:46.000Z,2022-06-24T07:56:45.000Z,,,,,,,,2,NMC_91689_91335654,ab137615-50a2-45bb-96c0-3799ef35bf1e,,INR,Charging Summary,debit,gilbertstephanie,success,chargeIntimation
49d983e7-1fb6-46c8-be1c-430ddc5535dc,/fhtl/uy26932,APP,9.57,uy26932,"0086 Mitchell Tunnel
South Kimberlymouth, MT 17698",sdg5,Mysore,Karnataka,Kolkata,13ZHVVN774R6VM,WQRGQ4511K,1442,,3,Type 1,2022-06-24T23:04:18.000Z,,1.05,1710,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.801,,,,9.57,1.7226,11.293,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,49d983e7-1fb6-46c8-be1c-430ddc5535dc,charging,,,,sjackson@yahoo.com,4108969996,9.57,1.7226,82253323,2022-06-24T23:06:19.000Z,2022-06-24T23:06:18.000Z,,,,,,,,7,NMC_20553_35206102,23fbdb83-f15a-4ed7-a1f0-311676920b94,,INR,Charging Summary,debit,rodriguezrachel,success,chargeIntimation
88a92c48-1e1b-41a4-9291-78b22c5cbe59,/nsid/ga23521,APP,4.32,ga23521,"40419 Holmes Mission Apt. 670
New Brandon, HI 82144",sft4,Bangalore,Karnataka,Chennai,36YJEZH1138D0NY,VATSY9213J,1868,,3,Type 1,2022-06-24T20:55:45.000Z,,1.87,1041,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.736,,,,4.32,0.7776000000000001,5.098,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,88a92c48-1e1b-41a4-9291-78b22c5cbe59,charging,,,,ylin@hotmail.com,5023811569,4.32,0.7776000000000001,82880192,2022-06-24T20:57:46.000Z,2022-06-24T20:57:45.000Z,,,,,,,,5,NMC_78961_64974831,ab721216-2716-4a97-b70e-aa6ce77066d2,,INR,Charging Summary,debit,christophercampbell,success,chargeIntimation
