txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
025df9d8-e0fa-4c8b-b6f4-8e7ff6932161,/nsid/ga23521,RFID,1.28,ga23521,"264 Ellis Union Suite 558
North Williamtown, AZ 25235",sft4,Bangalore,Karnataka,Mumbai,04GWKIR8108A2ZO,ZSVMH3156G,1878,,2,Type 2,2022-03-16T13:44:01.000Z,,1.79,1503,DEVA-TEST,nsid,,,energyInkWh,4,18,GST,0.964,,,,1.28,0.2304,1.51,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,025df9d8-e0fa-4c8b-b6f4-8e7ff6932161,charging,,,,john47@gmail.com,2292517995,1.28,0.2304,67675922,2022-03-16T13:46:02.000Z,2022-03-16T13:46:01.000Z,,,,,,,,4,NMC_65590_95045264,9ecc9aeb-5c13-449b-9a87-e97699b2caae,,INR,Charging Summary,debit,jeffrey91,success,chargeIntimation
bfc7a736-109b-4eb5-823a-7cb441a67ddf,/fhtl/uy26932,APP,8.19,uy26932,"8562 Martin Canyon Apt. 410
South Kaitlin, WV 23894",sdg5,Mysore,Karnataka,Delhi,07ISPBG5719F8ET,RERFK867C,1605,,3,Type 1,2022-03-16T19:42:57.000Z,,1.8,1856,DEVA-TEST,fhtl,,,energyInkWh,8,18,GST,0.655,,,,8.19,1.4742,9.664,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,bfc7a736-109b-4eb5-823a-7cb441a67ddf,charging,,,,brownnancy@yahoo.com,0803147061,8.19,1.4742,64836298,2022-03-16T19:44:58.000Z,2022-03-16T19:44:57.000Z,,,,,,,,3,NMC_48599_99292196,f4d8e445-5c88-4add-9458-ecbee0d67469,,INR,Charging Summary,debit,yrodgers,success,chargeIntimation
e0050863-5f74-4cd2-8b53-bfd63777f42e,/nsid/ga23521,APP,9.08,ga23521,"06260 Jacqueline Spurs
Johnsonchester, KS 37512",sft4,Bangalore,Karnataka,Banglore,24FFVAZ3120D3UC,HNZTY884F,1612,,2,Type 2,2022-03-16T23:30:28.000Z,,1.61,1332,DEVA-TEST,nsid,,,energyInkWh,8,18,GST,0.951,,,,9.08,1.6343999999999999,10.714,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,e0050863-5f74-4cd2-8b53-bfd63777f42e,charging,,,,susan10@gmail.com,0174674861,9.08,1.6343999999999999,82189094,2022-03-16T23:32:29.000Z,2022-03-16T23:32:28.000Z,,,,,,,,7,NMC_46594_16620600,a1bcfae9-5060-4ec9-a3d0-367a1a7b358c,,INR,Charging Summary,debit,keith94,success,chargeIntimation
e9825e4e-cf85-4388-9474-1c4a91acac60,/nsid/ga23521,APP,3.39,ga23521,"8057 Carlos Fall
North Blakehaven, MI 36398",sft4,Bangalore,Karnataka,Mumbai,37ZKMVB4773E5OM,CXWTC9050S,1483,,3,Type 2,2022-03-16T14:07:47.000Z,,1.72,1664,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.988,,,,3.39,0.6102,4.0,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,e9825e4e-cf85-4388-9474-1c4a91acac60,charging,,,,bmartinez@yahoo.com,7519648474,3.39,0.6102,65240141,2022-03-16T14:09:48.000Z,2022-03-16T14:09:47.000Z,,,,,,,,9,NMC_11474_58848973,ac275d65-edbc-4060-8f4d-edb61e74b6e7,,INR,Charging Summary,debit,xellison,success,chargeIntimation
7b3d02d8-0909-49bb-9e07-f2d49803f3ff,/lknr/op18481,RFID,2.58,op18481,"83429 Harrington Lodge
Lake Crystalburgh, MI 62289",hmk7,Chennai,Tamil Nadu,Ranchi,34PWFSB2718K7OP,QLLIK499A,1454,,2,Type 1,2022-03-16T06:56:56.000Z,,1.65,1486,DEVA-TEST,lknr,,,energyInkWh,7,18,GST,0.926,,,,2.58,0.4644,3.044,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,7b3d02d8-0909-49bb-9e07-f2d49803f3ff,charging,,,,aking@hotmail.com,9216364483,2.58,0.4644,20473206,2022-03-16T06:58:57.000Z,2022-03-16T06:58:56.000Z,,,,,,,,2,NMC_44279_74339249,d6f0e7bd-f5b3-4dc7-895d-bb88e9bc9e28,,INR,Charging Summary,debit,nicole69,success,chargeIntimation
0596739e-b746-4b02-be12-62d711582062,/xlss/yt26932,APP,6.81,yt26932,"1496 Anderson Stravenue Apt. 149
Port Heathermouth, DE 69375",sdg5,Mysore,Karnataka,Ranchi,13HPIRJ2359E9CR,IYYVI9672S,1656,,3,Type 1,2022-03-16T07:51:21.000Z,,1.07,1685,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.882,,,,6.81,1.2257999999999998,8.036,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,0596739e-b746-4b02-be12-62d711582062,charging,,,,wilsonsarah@hotmail.com,9091611400,6.81,1.2257999999999998,88753431,2022-03-16T07:53:22.000Z,2022-03-16T07:53:21.000Z,,,,,,,,9,NMC_50080_27982227,8f80a441-7e12-4432-9a38-3b6864c529b7,,INR,Charging Summary,debit,zguerrero,success,chargeIntimation
8d539408-492f-4205-a4bb-fe5dd5768397,/xlss/yt26932,RFID,3.42,yt26932,"70741 Myers Neck
East Colin, TX 39203",sdg5,Mysore,Karnataka,Banglore,16AEKLP5718P6JJ,NVPZD6851P,1087,,3,Type 2,2022-03-16T05:54:44.000Z,,1.32,1281,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.59,,,,3.42,0.6155999999999999,4.036,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8d539408-492f-4205-a4bb-fe5dd5768397,charging,,,,nicolethompson@gmail.com,7911314560,3.42,0.6155999999999999,84043598,2022-03-16T05:56:45.000Z,2022-03-16T05:56:44.000Z,,,,,,,,6,NMC_20204_89061933,397e3c26-e974-4896-85fe-bc63252b3202,,INR,Charging Summary,debit,scott50,success,chargeIntimation
85cb82f6-ff96-43ed-83b4-c037ba0d60ab,/nsid/ga23521,RFID,5.29,ga23521,"4827 Ibarra Village
West Christinaport, RI 28975",sft4,Bangalore,Karnataka,Kolkata,24ONKEY3747R0CJ,WTMCK1426K,1024,,2,Type 1,2022-03-16T13:36:12.000Z,,1.55,1107,DEVA-TEST,nsid,,,energyInkWh,4,18,GST,0.917,,,,5.29,0.9521999999999999,6.242,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,85cb82f6-ff96-43ed-83b4-c037ba0d60ab,charging,,,,donna47@hotmail.com,5450689033,5.29,0.9521999999999999,29809844,2022-03-16T13:38:13.000Z,2022-03-16T13:38:12.000Z,,,,,,,,3,NMC_78049_64136157,f8d0e4be-b380-4443-a754-5720c95d9218,,INR,Charging Summary,debit,tammie61,success,chargeIntimation
0080f215-bd23-4817-9b06-5ab9bbaae7b9,/xlss/yt26932,RFID,8.03,yt26932,"695 Alexander Knoll
East Andrewchester, AK 57323",sdg5,Mysore,Karnataka,Delhi,13CQINJ1991T6SE,DBORO4286S,1307,,2,Type 1,2022-03-16T04:25:11.000Z,,1.86,1137,DEVA-TEST,xlss,,,energyInkWh,7,18,GST,0.753,,,,8.03,1.4453999999999998,9.475,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,0080f215-bd23-4817-9b06-5ab9bbaae7b9,charging,,,,jeffreybowers@gmail.com,3316338973,8.03,1.4453999999999998,50585912,2022-03-16T04:27:12.000Z,2022-03-16T04:27:11.000Z,,,,,,,,4,NMC_43481_80363559,364a1678-defc-4e90-ab48-c4a11de84945,,INR,Charging Summary,debit,martindennis,success,chargeIntimation
458d87fb-07d7-4d00-9f77-04d9d97a779f,/osrw/mq18481,RFID,6.99,mq18481,"9613 Jay Haven
Juliehaven, GA 49891",hmk7,Chennai,Tamil Nadu,Banglore,01CVNQY8625Z4YE,THJCL2445R,1330,,2,Type 2,2022-03-16T05:07:26.000Z,,1.1,1145,DEVA-TEST,osrw,,,energyInkWh,8,18,GST,0.601,,,,6.99,1.2582,8.248,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,458d87fb-07d7-4d00-9f77-04d9d97a779f,charging,,,,matthewcunningham@gmail.com,0529980933,6.99,1.2582,93459125,2022-03-16T05:09:27.000Z,2022-03-16T05:09:26.000Z,,,,,,,,2,NMC_62130_82622457,bd3fc6c7-c6a8-40be-9d50-249526650099,,INR,Charging Summary,debit,meaganjohnson,success,chargeIntimation
