txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
8a87b6bb-0691-40a7-a91f-ed2c8a14b397,/fhtl/uy26932,APP,9.26,uy26932,"31131 Phillips Courts Suite 160
Port Kristinebury, SD 18116",sdg5,Mysore,Karnataka,Chennai,32EJEBX7699Y7XM,WKHGO7758A,1411,,2,Type 2,2022-05-03T12:59:42.000Z,,1.4,1338,DEVA-TEST,fhtl,,,energyInkWh,7,18,GST,0.85,,,,9.26,1.6667999999999998,10.927,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8a87b6bb-0691-40a7-a91f-ed2c8a14b397,charging,,,,michael53@hotmail.com,6290114837,9.26,1.6667999999999998,76800492,2022-05-03T13:01:43.000Z,2022-05-03T13:01:42.000Z,,,,,,,,5,NMC_33801_86939351,4d75bda7-c00b-47c5-a8fc-1acf0e4ed449,,INR,Charging Summary,debit,riceanthony,success,chargeIntimation
1906e757-1809-42d2-a299-2f61ed3a3fa6,/fhtl/uy26932,APP,7.74,uy26932,"7666 Kaitlyn Islands Suite 122
Timothyburgh, MA 71708",sdg5,Mysore,Karnataka,Ranchi,24VDNLT5011H4LD,LFXIO1298H,1123,,3,Type 2,2022-05-03T15:10:50.000Z,,1.31,1459,DEVA-TEST,fhtl,,,energyInkWh,7,18,GST,0.636,,,,7.74,1.3932,9.133,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,1906e757-1809-42d2-a299-2f61ed3a3fa6,charging,,,,xwilliams@yahoo.com,7833178490,7.74,1.3932,32281102,2022-05-03T15:12:51.000Z,2022-05-03T15:12:50.000Z,,,,,,,,8,NMC_14191_91475302,1f2273e0-1105-4f63-8897-fedcde22793b,,INR,Charging Summary,debit,stephaniemarshall,success,chargeIntimation
828fea48-4910-46c8-b2a9-279b3ba693cc,/nsid/ga23521,RFID,6.4,ga23521,"3577 Sexton Pine Suite 536
New Pam, FL 39888",sft4,Bangalore,Karnataka,Banglore,02GHGZX4684H7KG,FBNQQ6244F,1071,,1,Type 1,2022-05-03T13:46:32.000Z,,1.55,1681,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.778,,,,6.4,1.152,7.552,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,828fea48-4910-46c8-b2a9-279b3ba693cc,charging,,,,chamilton@gmail.com,7410939333,6.4,1.152,95575114,2022-05-03T13:48:33.000Z,2022-05-03T13:48:32.000Z,,,,,,,,5,NMC_62558_48467909,888c7b7d-9103-404e-a67b-ba6524e37f45,,INR,Charging Summary,debit,qkim,success,chargeIntimation
10f6fde3-739e-4684-9ccf-7559baa87d44,/fhtl/uy26932,RFID,3.84,uy26932,"1402 Woods Wall Suite 343
Mitchellborough, AR 06271",sdg5,Mysore,Karnataka,Ranchi,35CCPWY80R2KF,YRTVK942A,1534,,3,Type 2,2022-05-03T08:20:49.000Z,,1.9,1628,DEVA-TEST,fhtl,,,energyInkWh,7,18,GST,0.638,,,,3.84,0.6911999999999999,4.531,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,10f6fde3-739e-4684-9ccf-7559baa87d44,charging,,,,dward@hotmail.com,2350991551,3.84,0.6911999999999999,44271254,2022-05-03T08:22:50.000Z,2022-05-03T08:22:49.000Z,,,,,,,,8,NMC_49005_49838151,e1873a3d-5b32-4ec8-b2b9-fb1bc8de9ba4,,INR,Charging Summary,debit,brian40,success,chargeIntimation
68fbb377-dad4-4a68-956b-e7516f2d121a,/lknr/op18481,APP,9.36,op18481,"PSC 5895, Box 0195
APO AP 62789",hmk7,Chennai,Tamil Nadu,Chennai,23LFUMZ5442A3JR,TGJIW575Z,1601,,1,Type 2,2022-05-03T02:43:34.000Z,,1.84,1390,DEVA-TEST,lknr,,,energyInkWh,6,18,GST,0.54,,,,9.36,1.6847999999999999,11.045,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,68fbb377-dad4-4a68-956b-e7516f2d121a,charging,,,,gavin67@hotmail.com,6403469323,9.36,1.6847999999999999,16858711,2022-05-03T02:45:35.000Z,2022-05-03T02:45:34.000Z,,,,,,,,6,NMC_47186_61321836,38ac8132-9dd8-440f-92bd-6efc8849d98e,,INR,Charging Summary,debit,nicholasberry,success,chargeIntimation
b34c3026-d12d-4e47-8ac5-66a0183d7866,/lknr/op18481,RFID,2.33,op18481,"164 Lisa Isle Apt. 670
Port Kathleen, NY 29337",hmk7,Chennai,Tamil Nadu,Kolkata,14EQADX3387F5LI,AOZWQ3488J,1616,,2,Type 1,2022-05-03T00:32:00.000Z,,1.3,1629,DEVA-TEST,lknr,,,energyInkWh,7,18,GST,0.926,,,,2.33,0.4194,2.749,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,b34c3026-d12d-4e47-8ac5-66a0183d7866,charging,,,,russellwood@yahoo.com,2351087613,2.33,0.4194,67898247,2022-05-03T00:34:01.000Z,2022-05-03T00:34:00.000Z,,,,,,,,8,NMC_25972_18701695,9004b9cd-c19b-42aa-be9d-8fe17b4c1e85,,INR,Charging Summary,debit,johnsontroy,success,chargeIntimation
0a1a5edc-1ad5-47c2-987f-257e27fecdbe,/xlss/yt26932,APP,9.29,yt26932,"40383 Hernandez Divide Apt. 550
Ashleyfort, RI 26484",sdg5,Mysore,Karnataka,Chennai,36AHNBB3210H3FE,PSGIM4295C,1628,,3,Type 1,2022-05-03T04:41:30.000Z,,1.1,1998,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.762,,,,9.29,1.6721999999999997,10.962,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,0a1a5edc-1ad5-47c2-987f-257e27fecdbe,charging,,,,hendersonkirk@hotmail.com,8179141032,9.29,1.6721999999999997,38056247,2022-05-03T04:43:31.000Z,2022-05-03T04:43:30.000Z,,,,,,,,4,NMC_25919_27620289,5a5239a5-8af4-4270-aa9e-d14fd8215b75,,INR,Charging Summary,debit,johnathanmay,success,chargeIntimation
8a27b53d-8c12-4aa5-9736-88093ee6edd8,/fews/qw23521,RFID,3.97,qw23521,"154 Andrea Gardens Suite 966
Port Adam, CO 54772",sft4,Bangalore,Karnataka,Kolkata,05MPUKF7539F2WN,EBFDJ3810Z,1497,,1,Type 1,2022-05-03T10:11:35.000Z,,1.98,1264,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.658,,,,3.97,0.7146,4.685,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8a27b53d-8c12-4aa5-9736-88093ee6edd8,charging,,,,hsmith@yahoo.com,5491770337,3.97,0.7146,24785827,2022-05-03T10:13:36.000Z,2022-05-03T10:13:35.000Z,,,,,,,,2,NMC_30564_57553147,8536359a-c9ba-4741-8233-ae44b9039ab3,,INR,Charging Summary,debit,jzimmerman,success,chargeIntimation
ad98f3ec-761b-4cc5-b101-4b5ee3613c35,/fhtl/uy26932,RFID,6.83,uy26932,"PSC 0667, Box 9216
APO AA 94649",sdg5,Mysore,Karnataka,Mumbai,21NVHUG3941P7EO,QDLYN2764G,1348,,2,Type 2,2022-05-03T02:07:08.000Z,,1.4,1728,DEVA-TEST,fhtl,,,energyInkWh,7,18,GST,0.766,,,,6.83,1.2294,8.059,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ad98f3ec-761b-4cc5-b101-4b5ee3613c35,charging,,,,jscott@gmail.com,6277985363,6.83,1.2294,92654079,2022-05-03T02:09:09.000Z,2022-05-03T02:09:08.000Z,,,,,,,,9,NMC_12238_99771858,d09d6a2b-bfab-4666-84bb-b3ece353f6e3,,INR,Charging Summary,debit,victoria69,success,chargeIntimation
84f6fc8e-46a4-40f0-95c0-932e98971ab5,/fhtl/uy26932,RFID,7.42,uy26932,"6584 Gates Park Suite 979
East Brookefurt, CT 78057",sdg5,Mysore,Karnataka,Kolkata,07HRVCL7391L8EK,NRHAE6651Z,1438,,2,Type 2,2022-05-03T04:31:15.000Z,,1.1,1809,DEVA-TEST,fhtl,,,energyInkWh,7,18,GST,0.784,,,,7.42,1.3356,8.756,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,84f6fc8e-46a4-40f0-95c0-932e98971ab5,charging,,,,hannahmunoz@hotmail.com,8674904005,7.42,1.3356,72633207,2022-05-03T04:33:16.000Z,2022-05-03T04:33:15.000Z,,,,,,,,4,NMC_34751_85408918,b71deb3c-6ae5-4116-b224-150cf335f97b,,INR,Charging Summary,debit,jbennett,success,chargeIntimation
