txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
4807a491-ee88-49ce-a06b-8d605f6ee624,/fhtl/uy26932,RFID,8.42,uy26932,"61373 Miguel Keys Apt. 475
Jonestown, GA 90299",sdg5,Mysore,Karnataka,Ranchi,21QUVWP5992P8SM,HJRXV2062D,1295,,2,Type 2,2022-11-24T02:08:13.000Z,,1.19,1518,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.55,,,,8.42,1.5155999999999998,9.936,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,4807a491-ee88-49ce-a06b-8d605f6ee624,charging,,,,tsmith@gmail.com,0915792867,8.42,1.5155999999999998,79491615,2022-11-24T02:10:14.000Z,2022-11-24T02:10:13.000Z,,,,,,,,7,NMC_17364_78240318,9af792d8-7628-409c-a255-e0c16bc1c423,,INR,Charging Summary,debit,lisa42,success,chargeIntimation
f357a9f4-5c61-4050-86ae-a7338a2bee39,/fews/qw23521,APP,7.57,qw23521,"0059 Wilson Curve
Rachelshire, MO 28335",sft4,Bangalore,Karnataka,Delhi,19YADVM8291F6BQ,NABCL2437B,1124,,3,Type 1,2022-11-24T12:25:08.000Z,,1.86,1634,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.507,,,,7.57,1.3626,8.933,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f357a9f4-5c61-4050-86ae-a7338a2bee39,charging,,,,sierra39@yahoo.com,0966980250,7.57,1.3626,16356116,2022-11-24T12:27:09.000Z,2022-11-24T12:27:08.000Z,,,,,,,,2,NMC_74456_86160019,c0fa272b-9734-4924-ba74-2c71e176f392,,INR,Charging Summary,debit,hharris,success,chargeIntimation
2947e77c-f056-4984-aff1-ad1ec64357ab,/xlss/yt26932,APP,6.81,yt26932,"063 Mcdonald Lock
Steinshire, CO 09567",sdg5,Mysore,Karnataka,Ranchi,09AZKXE6459G5XY,FQKMG5265B,1434,,1,Type 2,2022-11-24T01:00:32.000Z,,1.77,1085,DEVA-TEST,xlss,,,energyInkWh,7,18,GST,0.704,,,,6.81,1.2257999999999998,8.036,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,2947e77c-f056-4984-aff1-ad1ec64357ab,charging,,,,alvarezwilliam@hotmail.com,8888530806,6.81,1.2257999999999998,32091143,2022-11-24T01:02:33.000Z,2022-11-24T01:02:32.000Z,,,,,,,,3,NMC_49127_15657810,4731cc72-7632-41db-ba8c-160faf41801c,,INR,Charging Summary,debit,fstrickland,success,chargeIntimation
903110bc-2f13-4a18-a77a-11493414c23d,/osrw/mq18481,APP,5.56,mq18481,"PSC 2799, Box 8709
APO AP 35839",hmk7,Chennai,Tamil Nadu,Kolkata,23QTVCO8089G7RX,UNHPX9348Z,1294,,1,Type 1,2022-11-24T11:30:06.000Z,,1.3,1429,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.983,,,,5.56,1.0008,6.561,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,903110bc-2f13-4a18-a77a-11493414c23d,charging,,,,moorefrank@yahoo.com,3370588926,5.56,1.0008,29684238,2022-11-24T11:32:07.000Z,2022-11-24T11:32:06.000Z,,,,,,,,3,NMC_83941_88171813,9c68d664-115a-4a6a-b99f-1b9936bb1f04,,INR,Charging Summary,debit,ynguyen,success,chargeIntimation
57233d22-36cf-4506-aadc-5856ed40ad43,/fhtl/uy26932,APP,5.37,uy26932,"PSC 7321, Box 4640
APO AP 42120",sdg5,Mysore,Karnataka,Mumbai,06IDSOX4847J0ID,QGGOV6874D,1473,,3,Type 2,2022-11-24T04:02:58.000Z,,1.97,1276,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.902,,,,5.37,0.9666,6.337,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,57233d22-36cf-4506-aadc-5856ed40ad43,charging,,,,justinwolf@yahoo.com,5268646091,5.37,0.9666,94473187,2022-11-24T04:04:59.000Z,2022-11-24T04:04:58.000Z,,,,,,,,7,NMC_53649_29488834,26b0bf03-83b9-4573-9679-16c5f746af1f,,INR,Charging Summary,debit,jeremiah29,success,chargeIntimation
7a4c6149-73a1-4632-a55f-c14a3789d352,/fews/qw23521,APP,8.09,qw23521,"86084 Smith Points Apt. 201
Heatherhaven, AR 00783",sft4,Bangalore,Karnataka,Delhi,22AQJRA8186N0NV,TFUTL4966K,1119,,3,Type 2,2022-11-24T12:58:35.000Z,,1.31,1536,DEVA-TEST,fews,,,energyInkWh,6,18,GST,0.557,,,,8.09,1.4562,9.546,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,7a4c6149-73a1-4632-a55f-c14a3789d352,charging,,,,joshuabutler@yahoo.com,1382910137,8.09,1.4562,74210315,2022-11-24T13:00:36.000Z,2022-11-24T13:00:35.000Z,,,,,,,,4,NMC_73975_22465151,bcc3e487-d275-4e6a-a7cf-c327b84e0b77,,INR,Charging Summary,debit,bwagner,success,chargeIntimation
c2a406f8-4623-43f3-aa0b-6cd4c24b97c6,/fews/qw23521,APP,4.4,qw23521,"1407 Giles Trail
Tinahaven, IA 76895",sft4,Bangalore,Karnataka,Banglore,25PVGEY9259G6VE,ZEMTW1793R,1162,,1,Type 2,2022-11-24T08:31:25.000Z,,2.0,1083,DEVA-TEST,fews,,,energyInkWh,6,18,GST,0.721,,,,4.4,0.792,5.192,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,c2a406f8-4623-43f3-aa0b-6cd4c24b97c6,charging,,,,lauren01@gmail.com,6078546168,4.4,0.792,31262345,2022-11-24T08:33:26.000Z,2022-11-24T08:33:25.000Z,,,,,,,,5,NMC_37835_37886982,aa1ecdfa-974f-4a4a-b3e5-bf50a3a69a0f,,INR,Charging Summary,debit,scottmark,success,chargeIntimation
15d5cdec-88ff-4d21-add7-e63e7a3e9466,/osrw/mq18481,APP,1.95,mq18481,"Unit 0800 Box 1256
DPO AP 14387",hmk7,Chennai,Tamil Nadu,Kolkata,21WCEGZ651E4PC,NEFPK2442Y,1377,,1,Type 1,2022-11-24T17:07:02.000Z,,1.09,1099,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.71,,,,1.95,0.351,2.301,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,15d5cdec-88ff-4d21-add7-e63e7a3e9466,charging,,,,dominguezchristina@hotmail.com,3274723450,1.95,0.351,78760681,2022-11-24T17:09:03.000Z,2022-11-24T17:09:02.000Z,,,,,,,,9,NMC_79594_31749787,99d122d4-2c15-4900-98c3-26a715640b94,,INR,Charging Summary,debit,conniejackson,success,chargeIntimation
55b43bc0-152b-4726-b70d-71ff00d2d541,/osrw/mq18481,APP,9.4,mq18481,"USNS Rodriguez
FPO AP 26823",hmk7,Chennai,Tamil Nadu,Mumbai,08VNIAB1504L2AW,PQAWM3143T,1115,,1,Type 2,2022-11-24T04:25:37.000Z,,1.13,1971,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.85,,,,9.4,1.692,11.092,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,55b43bc0-152b-4726-b70d-71ff00d2d541,charging,,,,william44@hotmail.com,7283116865,9.4,1.692,27086992,2022-11-24T04:27:38.000Z,2022-11-24T04:27:37.000Z,,,,,,,,9,NMC_63226_42551108,f9021db9-c803-4b2c-a472-b9ba002bda79,,INR,Charging Summary,debit,anthony18,success,chargeIntimation
0cbd845e-922c-4f3e-bf4a-3eb0a433b1e2,/fews/qw23521,APP,2.88,qw23521,"750 Crystal Overpass
Dianaburgh, NY 03495",sft4,Bangalore,Karnataka,Delhi,35QRWZJ1744J7YY,KBAFT399E,1672,,2,Type 1,2022-11-24T14:45:32.000Z,,1.01,1497,DEVA-TEST,fews,,,energyInkWh,8,18,GST,0.752,,,,2.88,0.5184,3.398,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,0cbd845e-922c-4f3e-bf4a-3eb0a433b1e2,charging,,,,shellytownsend@hotmail.com,4306265775,2.88,0.5184,55595489,2022-11-24T14:47:33.000Z,2022-11-24T14:47:32.000Z,,,,,,,,7,NMC_98147_44730904,d58bf7dc-44a2-420c-a4f1-df66bb48fdcf,,INR,Charging Summary,debit,staceyfloyd,success,chargeIntimation
