txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
f5b579a7-ae87-4575-b2e8-b344a7d7326f,/fhtl/uy26932,RFID,8.26,uy26932,"24124 Brandon Trail
South Zacharyside, FL 42487",sdg5,Mysore,Karnataka,Chennai,27PYPDE5930S0XK,MAOAI9475Z,1350,,1,Type 1,2022-10-11T19:10:43.000Z,,1.07,1850,DEVA-TEST,fhtl,,,energyInkWh,7,18,GST,0.944,,,,8.26,1.4868,9.747,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f5b579a7-ae87-4575-b2e8-b344a7d7326f,charging,,,,jennifer39@gmail.com,0093943979,8.26,1.4868,20184611,2022-10-11T19:12:44.000Z,2022-10-11T19:12:43.000Z,,,,,,,,8,NMC_12795_78484139,d10cd4aa-c1ac-42b3-b91b-c47a35cee93f,,INR,Charging Summary,debit,amber56,success,chargeIntimation
0e9ac9eb-7e10-463d-9625-3167c6f44915,/fews/qw23521,RFID,5.36,qw23521,"PSC 8766, Box 3567
APO AA 42685",sft4,Bangalore,Karnataka,Kolkata,24FLQAT1205A4QV,JBXAM2922B,1595,,3,Type 1,2022-10-11T15:15:46.000Z,,1.02,1453,DEVA-TEST,fews,,,energyInkWh,6,18,GST,0.918,,,,5.36,0.9648,6.325,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,0e9ac9eb-7e10-463d-9625-3167c6f44915,charging,,,,devon01@yahoo.com,7576354004,5.36,0.9648,74080729,2022-10-11T15:17:47.000Z,2022-10-11T15:17:46.000Z,,,,,,,,6,NMC_26697_11273348,65a2b0fb-fcf2-46d8-b00d-3dea891b30cc,,INR,Charging Summary,debit,watsonbobby,success,chargeIntimation
60bd11b9-c6af-41fc-a812-5bb871062e82,/fhtl/uy26932,RFID,7.04,uy26932,"230 Hicks Camp
Royside, MO 33620",sdg5,Mysore,Karnataka,Chennai,15BKKSN7339Y6YG,EHTPF1127B,1278,,2,Type 1,2022-10-11T15:31:10.000Z,,1.48,1494,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.597,,,,7.04,1.2671999999999999,8.307,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,60bd11b9-c6af-41fc-a812-5bb871062e82,charging,,,,savannah16@gmail.com,4894540371,7.04,1.2671999999999999,33102315,2022-10-11T15:33:11.000Z,2022-10-11T15:33:10.000Z,,,,,,,,10,NMC_39822_60218018,91a35427-fae0-4d98-a4f1-4913950f5bfd,,INR,Charging Summary,debit,smithashley,success,chargeIntimation
af5d8b5f-baad-4c34-86ca-03a4b36d8b19,/fhtl/uy26932,APP,7.21,uy26932,"PSC 9153, Box 0213
APO AE 79608",sdg5,Mysore,Karnataka,Chennai,33YSAMR7713R8ST,JQQEV3202K,1320,,3,Type 2,2022-10-11T14:49:26.000Z,,1.38,1370,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.785,,,,7.21,1.2977999999999998,8.508,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,af5d8b5f-baad-4c34-86ca-03a4b36d8b19,charging,,,,xcarter@yahoo.com,6053295313,7.21,1.2977999999999998,27085649,2022-10-11T14:51:27.000Z,2022-10-11T14:51:26.000Z,,,,,,,,2,NMC_30726_69003747,df2de2e2-6494-46b8-b069-adcbe461cb1d,,INR,Charging Summary,debit,benjaminrice,success,chargeIntimation
ca9ddbab-492f-4c74-afee-3c48d3268a1b,/nsid/ga23521,APP,3.93,ga23521,"0038 Dana Light
West Carla, OH 19198",sft4,Bangalore,Karnataka,Mumbai,08UFSWR8622S2OZ,EMTTN6393F,1611,,2,Type 1,2022-10-11T09:42:13.000Z,,1.74,1368,DEVA-TEST,nsid,,,energyInkWh,5,18,GST,0.567,,,,3.93,0.7074,4.637,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ca9ddbab-492f-4c74-afee-3c48d3268a1b,charging,,,,fhicks@gmail.com,6078276894,3.93,0.7074,27190180,2022-10-11T09:44:14.000Z,2022-10-11T09:44:13.000Z,,,,,,,,5,NMC_12999_81633700,a7fb5835-d43d-4eb3-8404-3b5ddedba876,,INR,Charging Summary,debit,kimberly88,success,chargeIntimation
5c36481b-0cf3-4f45-8276-b48de390fdb5,/nsid/ga23521,APP,2.74,ga23521,"Unit 9696 Box 8734
DPO AP 01480",sft4,Bangalore,Karnataka,Chennai,35DLARB4105Y8OE,ZLDIC6274K,1479,,1,Type 2,2022-10-11T01:49:55.000Z,,1.78,1327,DEVA-TEST,nsid,,,energyInkWh,8,18,GST,0.816,,,,2.74,0.4932,3.233,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,5c36481b-0cf3-4f45-8276-b48de390fdb5,charging,,,,bobpalmer@hotmail.com,8112536039,2.74,0.4932,58945195,2022-10-11T01:51:56.000Z,2022-10-11T01:51:55.000Z,,,,,,,,2,NMC_33696_63603878,ca9f3168-f93e-4719-8ca6-38775ad5a784,,INR,Charging Summary,debit,martinezjohn,success,chargeIntimation
8c8b6e13-878f-41e2-bffb-7e36c6510f9a,/osrw/mq18481,APP,4.29,mq18481,"5729 West Throughway Suite 446
Matastad, VA 12195",hmk7,Chennai,Tamil Nadu,Chennai,16IDLXE6727B9DC,URXUT975G,1146,,2,Type 1,2022-10-11T04:40:47.000Z,,1.23,1977,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.856,,,,4.29,0.7722,5.062,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8c8b6e13-878f-41e2-bffb-7e36c6510f9a,charging,,,,hrodriguez@hotmail.com,9171006685,4.29,0.7722,10958697,2022-10-11T04:42:48.000Z,2022-10-11T04:42:47.000Z,,,,,,,,6,NMC_30175_48792852,d238444a-6697-47a2-894e-7a424631b9ef,,INR,Charging Summary,debit,gonzalesjared,success,chargeIntimation
4b53dc9d-d241-4ebf-b9de-b2e93158ad4d,/fews/qw23521,APP,6.73,qw23521,"3385 Rios Ramp Apt. 863
New Melaniemouth, GA 03931",sft4,Bangalore,Karnataka,Kolkata,14JUDHD7548C4FW,FFOXI8008J,1730,,3,Type 2,2022-10-11T08:11:47.000Z,,1.69,1204,DEVA-TEST,fews,,,energyInkWh,5,18,GST,0.812,,,,6.73,1.2114,7.941,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,4b53dc9d-d241-4ebf-b9de-b2e93158ad4d,charging,,,,luis37@yahoo.com,0133303110,6.73,1.2114,94387080,2022-10-11T08:13:48.000Z,2022-10-11T08:13:47.000Z,,,,,,,,6,NMC_71929_72432034,7178a7f4-6ad4-400c-91d2-5dea4d6f51ce,,INR,Charging Summary,debit,grahamryan,success,chargeIntimation
b65a9af0-32d3-4261-9e89-302333e6b40c,/osrw/mq18481,APP,3.27,mq18481,"49408 Velazquez Circles
Matthewmouth, VT 48174",hmk7,Chennai,Tamil Nadu,Mumbai,30MNECK7137Y6EN,OUFJJ8078R,1665,,1,Type 1,2022-10-11T13:43:31.000Z,,1.57,1689,DEVA-TEST,osrw,,,energyInkWh,8,18,GST,0.916,,,,3.27,0.5886,3.859,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,b65a9af0-32d3-4261-9e89-302333e6b40c,charging,,,,krystalporter@gmail.com,3789146655,3.27,0.5886,69391774,2022-10-11T13:45:32.000Z,2022-10-11T13:45:31.000Z,,,,,,,,6,NMC_55824_46577169,58710b7a-9a9f-4fe4-9b44-b5aa6cc06478,,INR,Charging Summary,debit,alvaradojohn,success,chargeIntimation
cb61c88e-5d8c-412b-a7dd-3ec40e2ca696,/fews/qw23521,APP,5.15,qw23521,"675 Harrington Park
Terrellchester, CO 65505",sft4,Bangalore,Karnataka,Delhi,32TAFSV9319A0BA,BFCRB1165L,1199,,3,Type 1,2022-10-11T23:43:13.000Z,,1.8,1325,DEVA-TEST,fews,,,energyInkWh,4,18,GST,0.964,,,,5.15,0.927,6.077,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,cb61c88e-5d8c-412b-a7dd-3ec40e2ca696,charging,,,,smithcharles@yahoo.com,8226619406,5.15,0.927,45415586,2022-10-11T23:45:14.000Z,2022-10-11T23:45:13.000Z,,,,,,,,2,NMC_36930_38638480,b6dd2af4-a94d-4f91-94d4-897ad4af0614,,INR,Charging Summary,debit,cohenbrandon,success,chargeIntimation
