txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
9fb7fc6f-fae0-4b6a-b69d-70090ddcdd67,/osrw/mq18481,APP,2.42,mq18481,"PSC 0592, Box 9114
APO AP 07815",hmk7,Chennai,Tamil Nadu,Ranchi,33LRPPV4782C7YG,HARLK5367P,1388,,2,Type 1,2022-09-25T11:51:39.000Z,,1.99,1408,DEVA-TEST,osrw,,,energyInkWh,6,18,GST,0.898,,,,2.42,0.4356,2.856,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,9fb7fc6f-fae0-4b6a-b69d-70090ddcdd67,charging,,,,lucas83@hotmail.com,9724572070,2.42,0.4356,74541342,2022-09-25T11:53:40.000Z,2022-09-25T11:53:39.000Z,,,,,,,,8,NMC_78352_10397049,cc85fd97-88a3-48b7-be0a-f92cdded61c1,,INR,Charging Summary,debit,monique48,success,chargeIntimation
87c4ba1b-6f1b-46d1-8e9c-209d7a2060ec,/fhtl/uy26932,APP,2.53,uy26932,"061 Perez Plains Suite 446
North Chad, IL 63314",sdg5,Mysore,Karnataka,Delhi,12FKVZG3696K6OL,KQLUT2027Y,1018,,3,Type 2,2022-09-25T19:06:28.000Z,,1.38,1957,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.684,,,,2.53,0.45539999999999997,2.985,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,87c4ba1b-6f1b-46d1-8e9c-209d7a2060ec,charging,,,,christopher26@hotmail.com,7693478036,2.53,0.45539999999999997,24758722,2022-09-25T19:08:29.000Z,2022-09-25T19:08:28.000Z,,,,,,,,4,NMC_78863_20104096,14f2847f-cda1-4424-847d-214d5a3f0396,,INR,Charging Summary,debit,gbond,success,chargeIntimation
993fde66-8349-4c1d-ad44-0e7dd662f053,/nsid/ga23521,RFID,7.22,ga23521,"PSC 2772, Box 8880
APO AE 12991",sft4,Bangalore,Karnataka,Mumbai,12NESLT6181F6FJ,JEIEZ8754S,1306,,3,Type 1,2022-09-25T03:13:10.000Z,,1.95,1884,DEVA-TEST,nsid,,,energyInkWh,5,18,GST,0.573,,,,7.22,1.2995999999999999,8.52,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,993fde66-8349-4c1d-ad44-0e7dd662f053,charging,,,,ellisonchristian@yahoo.com,6066170684,7.22,1.2995999999999999,94792758,2022-09-25T03:15:11.000Z,2022-09-25T03:15:10.000Z,,,,,,,,2,NMC_31696_75122908,fac331a3-baec-4901-85e5-0663be9d4b28,,INR,Charging Summary,debit,meganhowell,success,chargeIntimation
32f4ce03-1276-404f-9a37-bcb43c1475af,/lknr/op18481,RFID,2.65,op18481,"706 Vasquez Stream Suite 472
Jamesfort, OK 64391",hmk7,Chennai,Tamil Nadu,Delhi,97PPDIR8373D3HK,WBMHI2057S,1455,,2,Type 1,2022-09-25T05:21:45.000Z,,1.91,1608,DEVA-TEST,lknr,,,energyInkWh,8,18,GST,0.584,,,,2.65,0.477,3.127,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,32f4ce03-1276-404f-9a37-bcb43c1475af,charging,,,,matthewoliver@gmail.com,4479914803,2.65,0.477,84214237,2022-09-25T05:23:46.000Z,2022-09-25T05:23:45.000Z,,,,,,,,5,NMC_85500_54676097,244b953a-35ed-41ed-8af7-228f6c94769b,,INR,Charging Summary,debit,swebb,success,chargeIntimation
e24e3156-a120-4bf6-bc78-b7f0a6a81b58,/fhtl/uy26932,APP,1.95,uy26932,"007 Jamie Hill
Brownfurt, MT 05139",sdg5,Mysore,Karnataka,Banglore,33WJXKI6106Z5FO,FKECB9892Y,1150,,2,Type 2,2022-09-25T21:41:26.000Z,,1.43,1839,DEVA-TEST,fhtl,,,energyInkWh,7,18,GST,0.895,,,,1.95,0.351,2.301,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,e24e3156-a120-4bf6-bc78-b7f0a6a81b58,charging,,,,anita32@hotmail.com,9960437726,1.95,0.351,91900627,2022-09-25T21:43:27.000Z,2022-09-25T21:43:26.000Z,,,,,,,,7,NMC_88321_42434859,cd809620-ce97-4340-90eb-1b6810e4955f,,INR,Charging Summary,debit,gsmith,success,chargeIntimation
bfc6b41a-f21e-4cff-886a-f68b9f391969,/nsid/ga23521,RFID,1.99,ga23521,"PSC 9697, Box 3725
APO AE 01098",sft4,Bangalore,Karnataka,Delhi,24CWHUA5757N9XB,QDHJQ2906N,1217,,3,Type 1,2022-09-25T01:09:44.000Z,,1.98,1827,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.523,,,,1.99,0.35819999999999996,2.348,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,bfc6b41a-f21e-4cff-886a-f68b9f391969,charging,,,,lanecynthia@yahoo.com,4176091623,1.99,0.35819999999999996,78980801,2022-09-25T01:11:45.000Z,2022-09-25T01:11:44.000Z,,,,,,,,4,NMC_20403_34459363,8df12a17-31b3-4e1f-85fe-9988913fae8d,,INR,Charging Summary,debit,acampbell,success,chargeIntimation
4dfb39e6-58d0-4fdf-b5a1-36e8140af146,/fhtl/uy26932,RFID,1.92,uy26932,"1445 Daniel Coves
Arnoldland, LA 85187",sdg5,Mysore,Karnataka,Delhi,21CSJPN1358Z5KA,JDNIX1729P,1282,,2,Type 2,2022-09-25T15:20:41.000Z,,1.98,1783,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.522,,,,1.92,0.34559999999999996,2.266,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,4dfb39e6-58d0-4fdf-b5a1-36e8140af146,charging,,,,amandafoster@hotmail.com,1635669263,1.92,0.34559999999999996,30515007,2022-09-25T15:22:42.000Z,2022-09-25T15:22:41.000Z,,,,,,,,1,NMC_73275_65423599,f042827b-3c1e-4ca5-90f0-941f0b3bf43b,,INR,Charging Summary,debit,vwalls,success,chargeIntimation
ff7c2ac3-22d6-4563-926a-95ebb9820055,/fhtl/uy26932,RFID,6.31,uy26932,"Unit 7768 Box 7645
DPO AA 15506",sdg5,Mysore,Karnataka,Delhi,23DAFWK2284P8BY,NXMMD2768B,1538,,1,Type 2,2022-09-25T21:35:43.000Z,,1.74,1472,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.825,,,,6.31,1.1358,7.446,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ff7c2ac3-22d6-4563-926a-95ebb9820055,charging,,,,bridget58@yahoo.com,8109176173,6.31,1.1358,89110091,2022-09-25T21:37:44.000Z,2022-09-25T21:37:43.000Z,,,,,,,,7,NMC_14930_46326462,254a68c9-901a-4212-8667-ff283238fdba,,INR,Charging Summary,debit,chavezethan,success,chargeIntimation
604fde1d-3374-4b61-b2bf-589ebd5a68f8,/fews/qw23521,RFID,1.83,qw23521,"7955 Schwartz Terrace Apt. 596
North Denise, SD 37070",sft4,Bangalore,Karnataka,Ranchi,23UDRRA3969N2LD,CQGKG7819T,1826,,1,Type 2,2022-09-25T15:25:17.000Z,,1.95,1825,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.724,,,,1.83,0.3294,2.159,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,604fde1d-3374-4b61-b2bf-589ebd5a68f8,charging,,,,lindseyhughes@gmail.com,7590825321,1.83,0.3294,72134392,2022-09-25T15:27:18.000Z,2022-09-25T15:27:17.000Z,,,,,,,,4,NMC_71862_91875968,e4933717-f4a1-49d4-bf5f-92bd07112eb2,,INR,Charging Summary,debit,trobinson,success,chargeIntimation
772946e4-6249-4455-92f2-5617cc915c59,/nsid/ga23521,RFID,9.34,ga23521,"PSC 3752, Box 2479
APO AE 07839",sft4,Bangalore,Karnataka,Banglore,27BPPIN4445E8RX,DLQAA2768H,1858,,3,Type 2,2022-09-25T00:32:21.000Z,,1.18,1009,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.884,,,,9.34,1.6811999999999998,11.021,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,772946e4-6249-4455-92f2-5617cc915c59,charging,,,,mchan@yahoo.com,2848106766,9.34,1.6811999999999998,66940290,2022-09-25T00:34:22.000Z,2022-09-25T00:34:21.000Z,,,,,,,,8,NMC_52341_19678615,ac435fe5-eb0d-4480-947d-c50cdebe4816,,INR,Charging Summary,debit,cameronbrown,success,chargeIntimation
