txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
364689fd-ef2e-4c37-a704-e13fbd8194a9,/fhtl/uy26932,APP,2.86,uy26932,"9224 Sandra Shores
Lake Michaelfurt, VA 36989",sdg5,Mysore,Karnataka,Banglore,01UEXLS6973F6AD,ZOJBF2795G,1511,,3,Type 1,2022-04-23T08:55:09.000Z,,1.52,1013,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.752,,,,2.86,0.5147999999999999,3.375,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,364689fd-ef2e-4c37-a704-e13fbd8194a9,charging,,,,erika37@yahoo.com,0570505882,2.86,0.5147999999999999,46379998,2022-04-23T08:57:10.000Z,2022-04-23T08:57:09.000Z,,,,,,,,7,NMC_99767_98620288,15d7bfd1-9829-430a-aff3-6b49cbd33362,,INR,Charging Summary,debit,john36,success,chargeIntimation
ead9ff1b-15f7-4e38-b8ba-f11731fbf2ed,/fhtl/uy26932,RFID,7.79,uy26932,"672 Christopher Alley
Donaldburgh, OR 68257",sdg5,Mysore,Karnataka,Chennai,01JAFON2046T0OF,VMFLE8985E,1106,,1,Type 2,2022-04-23T20:11:03.000Z,,1.91,1479,DEVA-TEST,fhtl,,,energyInkWh,7,18,GST,0.675,,,,7.79,1.4022,9.192,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ead9ff1b-15f7-4e38-b8ba-f11731fbf2ed,charging,,,,brandonryan@hotmail.com,8876617010,7.79,1.4022,83377349,2022-04-23T20:13:04.000Z,2022-04-23T20:13:03.000Z,,,,,,,,5,NMC_70074_45290064,db11a8aa-898d-47e9-95e8-016d07c4fb76,,INR,Charging Summary,debit,zacharygonzalez,success,chargeIntimation
b0728005-0b01-4829-b999-e6c36ab56a1b,/xlss/yt26932,APP,4.1,yt26932,"77531 Jeffrey Tunnel
East Marychester, NC 27202",sdg5,Mysore,Karnataka,Mumbai,18LFMNS2735D1EB,ELURW2698G,1700,,1,Type 2,2022-04-23T19:59:07.000Z,,1.54,1999,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.686,,,,4.1,0.7379999999999999,4.838,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,b0728005-0b01-4829-b999-e6c36ab56a1b,charging,,,,cyoung@gmail.com,0568512094,4.1,0.7379999999999999,60698250,2022-04-23T20:01:08.000Z,2022-04-23T20:01:07.000Z,,,,,,,,7,NMC_27419_29030365,a4912225-13e9-4cb9-9099-ea006eb25bb1,,INR,Charging Summary,debit,benjamin46,success,chargeIntimation
b03524e9-cc8e-42b5-84c3-d54a2976dd9a,/fhtl/uy26932,APP,1.57,uy26932,"103 Jackson Pine
Lisaburgh, OK 69444",sdg5,Mysore,Karnataka,Kolkata,27ZWKFL521J1NN,QCTUD7362Y,1708,,2,Type 1,2022-04-23T07:42:58.000Z,,1.98,1481,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.907,,,,1.57,0.2826,1.853,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,b03524e9-cc8e-42b5-84c3-d54a2976dd9a,charging,,,,morganbradley@yahoo.com,1240503523,1.57,0.2826,29308547,2022-04-23T07:44:59.000Z,2022-04-23T07:44:58.000Z,,,,,,,,4,NMC_33286_14949367,5b312fab-eb4a-4fd4-ae9b-667a67217e01,,INR,Charging Summary,debit,meredith10,success,chargeIntimation
8e983169-b5f6-40bf-95a5-f2ee52af67e3,/fhtl/uy26932,APP,2.64,uy26932,"519 Savannah Squares
Johnbury, HI 34388",sdg5,Mysore,Karnataka,Delhi,33VFRUD2778T8MU,XGSOT3978H,1005,,2,Type 1,2022-04-23T15:45:34.000Z,,1.61,1143,DEVA-TEST,fhtl,,,energyInkWh,4,18,GST,0.967,,,,2.64,0.4752,3.115,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8e983169-b5f6-40bf-95a5-f2ee52af67e3,charging,,,,michael37@gmail.com,1248146003,2.64,0.4752,47462362,2022-04-23T15:47:35.000Z,2022-04-23T15:47:34.000Z,,,,,,,,5,NMC_68886_12352205,9adc92dc-e042-467f-ac0a-d3907175290f,,INR,Charging Summary,debit,mrussell,success,chargeIntimation
30ee48d7-7b59-4fcc-a864-bd128de70b4f,/osrw/mq18481,APP,6.7,mq18481,"633 Calhoun Way Suite 847
Stephenfurt, NM 84778",hmk7,Chennai,Tamil Nadu,Delhi,96TBAOB3416C7HN,GNIKV579P,1851,,2,Type 2,2022-04-23T10:10:08.000Z,,1.09,1140,DEVA-TEST,osrw,,,energyInkWh,4,18,GST,0.841,,,,6.7,1.206,7.906,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,30ee48d7-7b59-4fcc-a864-bd128de70b4f,charging,,,,ccharles@hotmail.com,3406568613,6.7,1.206,29960595,2022-04-23T10:12:09.000Z,2022-04-23T10:12:08.000Z,,,,,,,,5,NMC_73255_18264387,f11d04ee-fcdc-429e-a911-a09b25ba3b3f,,INR,Charging Summary,debit,paulhanson,success,chargeIntimation
573a7e8c-c8fb-468e-abff-42b8e99f2922,/fews/qw23521,RFID,9.29,qw23521,"88719 Lauren Extensions
West Brittneybury, IN 64540",sft4,Bangalore,Karnataka,Banglore,07IFGXM3124T9UH,ICMBQ3409B,1961,,3,Type 1,2022-04-23T05:25:41.000Z,,1.27,1243,DEVA-TEST,fews,,,energyInkWh,4,18,GST,0.771,,,,9.29,1.6721999999999997,10.962,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,573a7e8c-c8fb-468e-abff-42b8e99f2922,charging,,,,jeffrey57@yahoo.com,5099712756,9.29,1.6721999999999997,14641599,2022-04-23T05:27:42.000Z,2022-04-23T05:27:41.000Z,,,,,,,,6,NMC_49905_39795965,bde4ca83-656b-45c0-b489-a21ccbd27524,,INR,Charging Summary,debit,monicawalsh,success,chargeIntimation
c67098e9-0b1b-4691-915a-fc9c243cb96c,/osrw/mq18481,APP,9.44,mq18481,"009 Claudia Mall
Johnnyland, NH 06846",hmk7,Chennai,Tamil Nadu,Chennai,35LDGVF7013Y9ZS,KLBRU7395C,1481,,1,Type 1,2022-04-23T01:25:27.000Z,,1.13,1908,DEVA-TEST,osrw,,,energyInkWh,5,18,GST,0.896,,,,9.44,1.6991999999999998,11.139,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,c67098e9-0b1b-4691-915a-fc9c243cb96c,charging,,,,angelarodriguez@hotmail.com,1534078996,9.44,1.6991999999999998,71949829,2022-04-23T01:27:28.000Z,2022-04-23T01:27:27.000Z,,,,,,,,3,NMC_17583_83470941,918f0eae-9d81-4502-8b29-bc934eedc921,,INR,Charging Summary,debit,christina76,success,chargeIntimation
7327e879-ade0-4ce6-a212-8ab13c427d5d,/osrw/mq18481,RFID,1.06,mq18481,"1309 Lisa Spurs
New Haroldmouth, MH 73077",hmk7,Chennai,Tamil Nadu,Mumbai,35ISINW8871F5NT,RUUCJ2599J,1509,,3,Type 1,2022-04-23T19:37:22.000Z,,1.42,1625,DEVA-TEST,osrw,,,energyInkWh,5,18,GST,0.989,,,,1.06,0.1908,1.251,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,7327e879-ade0-4ce6-a212-8ab13c427d5d,charging,,,,vargasjohn@gmail.com,2760973631,1.06,0.1908,15835651,2022-04-23T19:39:23.000Z,2022-04-23T19:39:22.000Z,,,,,,,,10,NMC_96313_77966386,b12e4881-56ed-475e-baee-ae361b833095,,INR,Charging Summary,debit,stacyflores,success,chargeIntimation
aace5d34-c45c-4895-be50-cfe47b9a05e0,/nsid/ga23521,RFID,8.89,ga23521,"49769 Heather Extension Suite 091
New Williammouth, KS 40205",sft4,Bangalore,Karnataka,Chennai,27LVCAP413F8AO,ZXORL4098G,1697,,3,Type 1,2022-04-23T23:39:36.000Z,,1.38,1790,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.601,,,,8.89,1.6002,10.49,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,aace5d34-c45c-4895-be50-cfe47b9a05e0,charging,,,,kathrynstephens@hotmail.com,4903394062,8.89,1.6002,29501519,2022-04-23T23:41:37.000Z,2022-04-23T23:41:36.000Z,,,,,,,,3,NMC_30113_66860239,ccd91c7e-99f4-467d-8c10-53fe9b95e4b0,,INR,Charging Summary,debit,michelle22,success,chargeIntimation
