txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
e67ca0c4-ab20-43ae-a6cd-65a9a04ba556,/lknr/op18481,RFID,2.3,op18481,"4875 Nichols Forge Suite 414
Romeroberg, IL 32921",hmk7,Chennai,Tamil Nadu,Mumbai,07NLOOO3415G7AG,FNOXD8399N,1710,,3,Type 2,2022-08-14T09:29:16.000Z,,1.0,1304,DEVA-TEST,lknr,,,energyInkWh,5,18,GST,0.509,,,,2.3,0.414,2.714,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,e67ca0c4-ab20-43ae-a6cd-65a9a04ba556,charging,,,,richardsonmisty@hotmail.com,8671585590,2.3,0.414,24507005,2022-08-14T09:31:17.000Z,2022-08-14T09:31:16.000Z,,,,,,,,2,NMC_58754_15413475,13bef78d-04b9-4988-bcf8-b206da1dab68,,INR,Charging Summary,debit,jrivera,success,chargeIntimation
ad41678c-54d3-42ac-a84d-3091e22a9925,/osrw/mq18481,RFID,3.2,mq18481,"26755 Garcia Square
Pennybury, ID 33619",hmk7,Chennai,Tamil Nadu,Banglore,21VESLF9963F3ZR,DXDLR2377Y,1375,,2,Type 1,2022-08-14T06:27:06.000Z,,1.24,1888,DEVA-TEST,osrw,,,energyInkWh,4,18,GST,0.556,,,,3.2,0.576,3.776,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ad41678c-54d3-42ac-a84d-3091e22a9925,charging,,,,rtaylor@hotmail.com,1082442575,3.2,0.576,13213482,2022-08-14T06:29:07.000Z,2022-08-14T06:29:06.000Z,,,,,,,,7,NMC_61042_68118837,d1271564-6db5-4961-a620-e366cbf8ce2f,,INR,Charging Summary,debit,gouldjohn,success,chargeIntimation
5f25b4bc-cafb-4194-b15d-5ec8fd0b8b7f,/nsid/ga23521,RFID,9.51,ga23521,"21881 Nicole Dam Apt. 274
Bowenview, WV 71860",sft4,Bangalore,Karnataka,Chennai,01HPBXE4461N6HJ,JMKDI6656D,1583,,1,Type 2,2022-08-14T17:42:29.000Z,,1.14,1277,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.618,,,,9.51,1.7118,11.222,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,5f25b4bc-cafb-4194-b15d-5ec8fd0b8b7f,charging,,,,youngshawn@yahoo.com,7418037217,9.51,1.7118,69629888,2022-08-14T17:44:30.000Z,2022-08-14T17:44:29.000Z,,,,,,,,7,NMC_66650_87069456,e2645683-9a35-41db-9a27-285dd5ca5f5e,,INR,Charging Summary,debit,lanechristopher,success,chargeIntimation
a47e529d-1536-449f-85ea-676101227ebd,/nsid/ga23521,RFID,4.88,ga23521,"87914 Zavala Mountain
North Sandraton, IA 39770",sft4,Bangalore,Karnataka,Mumbai,02XGETX731A2OT,EJIMU4810N,1935,,1,Type 2,2022-08-14T19:23:42.000Z,,1.2,1399,DEVA-TEST,nsid,,,energyInkWh,6,18,GST,0.825,,,,4.88,0.8784,5.758,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,a47e529d-1536-449f-85ea-676101227ebd,charging,,,,alexander94@hotmail.com,4056006295,4.88,0.8784,39515669,2022-08-14T19:25:43.000Z,2022-08-14T19:25:42.000Z,,,,,,,,5,NMC_10404_23430395,c14f5417-b526-4afa-8812-dea03ddd1f19,,INR,Charging Summary,debit,marybean,success,chargeIntimation
475a23af-be2b-47c2-a0c2-cad142b9e5ea,/nsid/ga23521,APP,5.69,ga23521,"99697 Pope Pass Suite 992
Hessland, PA 01374",sft4,Bangalore,Karnataka,Ranchi,03ZPILN7016Y0KL,VQBOX850B,1044,,1,Type 1,2022-08-14T07:33:18.000Z,,1.51,1266,DEVA-TEST,nsid,,,energyInkWh,4,18,GST,0.86,,,,5.69,1.0242,6.714,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,475a23af-be2b-47c2-a0c2-cad142b9e5ea,charging,,,,thompsoncathy@gmail.com,5889992739,5.69,1.0242,86293165,2022-08-14T07:35:19.000Z,2022-08-14T07:35:18.000Z,,,,,,,,7,NMC_27847_42398378,a98d98d7-2a26-4162-923e-ed0d6b181f01,,INR,Charging Summary,debit,michael07,success,chargeIntimation
f3d07fce-3152-4a7f-a1cf-60819a74e6fd,/xlss/yt26932,RFID,3.83,yt26932,"42365 Elizabeth Summit
Floreschester, VT 38009",sdg5,Mysore,Karnataka,Ranchi,18VDSNM4633P9RX,IECAU3773G,1973,,1,Type 2,2022-08-14T13:21:55.000Z,,1.36,1977,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.51,,,,3.83,0.6894,4.519,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f3d07fce-3152-4a7f-a1cf-60819a74e6fd,charging,,,,larsonangela@hotmail.com,5969297388,3.83,0.6894,51701756,2022-08-14T13:23:56.000Z,2022-08-14T13:23:55.000Z,,,,,,,,2,NMC_62278_66111596,27feff0e-50ff-404e-845b-f5f5d8d0394c,,INR,Charging Summary,debit,williamsheidi,success,chargeIntimation
b225ca30-539a-4f8b-9341-5df5653fb5b9,/fews/qw23521,APP,1.1,qw23521,"3590 Nguyen Cove Suite 419
Seanview, OK 07129",sft4,Bangalore,Karnataka,Kolkata,09EDWZO4863K1JP,LEUWC8376H,1128,,1,Type 2,2022-08-14T01:33:19.000Z,,1.41,1242,DEVA-TEST,fews,,,energyInkWh,4,18,GST,0.98,,,,1.1,0.198,1.298,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,b225ca30-539a-4f8b-9341-5df5653fb5b9,charging,,,,alexisturner@hotmail.com,7808730933,1.1,0.198,39684781,2022-08-14T01:35:20.000Z,2022-08-14T01:35:19.000Z,,,,,,,,1,NMC_61078_98761786,ee0ac51b-062e-4b0d-8e2c-4c6cb9b1a411,,INR,Charging Summary,debit,mmcpherson,success,chargeIntimation
d56253b2-01a5-4ee9-a1c9-a9f6ec002450,/lknr/op18481,APP,3.82,op18481,"283 Brandy Track
Port Erikhaven, ID 46631",hmk7,Chennai,Tamil Nadu,Mumbai,34CGUOC5446S3LQ,LFQAK7844B,1013,,3,Type 2,2022-08-14T08:21:13.000Z,,1.62,1736,DEVA-TEST,lknr,,,energyInkWh,5,18,GST,0.884,,,,3.82,0.6876,4.508,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,d56253b2-01a5-4ee9-a1c9-a9f6ec002450,charging,,,,aliciadawson@yahoo.com,8654235552,3.82,0.6876,22232634,2022-08-14T08:23:14.000Z,2022-08-14T08:23:13.000Z,,,,,,,,6,NMC_82075_56130071,ded9fa7a-f4a4-4e7d-addb-21e59b88e460,,INR,Charging Summary,debit,johnerickson,success,chargeIntimation
08a53edb-3614-48a1-b1a8-002825f0fa3c,/xlss/yt26932,APP,1.21,yt26932,"PSC 8649, Box 5715
APO AE 37167",sdg5,Mysore,Karnataka,Ranchi,24AGYAW6207N2MY,LXJOE1530L,1389,,3,Type 2,2022-08-14T08:01:31.000Z,,1.92,1454,DEVA-TEST,xlss,,,energyInkWh,8,18,GST,0.849,,,,1.21,0.2178,1.428,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,08a53edb-3614-48a1-b1a8-002825f0fa3c,charging,,,,linda10@gmail.com,3014009343,1.21,0.2178,37006244,2022-08-14T08:03:32.000Z,2022-08-14T08:03:31.000Z,,,,,,,,4,NMC_86690_82006758,b644cc43-9bf9-41dc-b4f8-22b0f136cf6a,,INR,Charging Summary,debit,amartin,success,chargeIntimation
bab91b47-8516-4562-b53d-742db1f47957,/xlss/yt26932,APP,8.39,yt26932,"22227 Hood Views Apt. 676
Jodistad, MO 44997",sdg5,Mysore,Karnataka,Kolkata,08TKMGW9247A0WL,MMFZV6063B,1777,,3,Type 2,2022-08-14T09:05:37.000Z,,1.91,1075,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.751,,,,8.39,1.5102,9.9,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,bab91b47-8516-4562-b53d-742db1f47957,charging,,,,dbrady@hotmail.com,5829126651,8.39,1.5102,93761737,2022-08-14T09:07:38.000Z,2022-08-14T09:07:37.000Z,,,,,,,,8,NMC_31802_78560533,3a13fe7a-52f3-48db-a068-042bdf378df7,,INR,Charging Summary,debit,qjames,success,chargeIntimation
