txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
4dc7fb68-3927-435a-a055-77c2f91b4239,/osrw/mq18481,APP,7.55,mq18481,"768 Cassie Mission Suite 199
West Mary, MS 49878",hmk7,Chennai,Tamil Nadu,Delhi,02CJQCY3674A2OC,VZUNW3627Z,1668,,3,Type 1,2022-02-04T05:05:11.000Z,,1.01,1030,DEVA-TEST,osrw,,,energyInkWh,4,18,GST,0.8,,,,7.55,1.359,8.909,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,4dc7fb68-3927-435a-a055-77c2f91b4239,charging,,,,taylorjared@hotmail.com,2445766234,7.55,1.359,13885372,2022-02-04T05:07:12.000Z,2022-02-04T05:07:11.000Z,,,,,,,,1,NMC_72312_47845178,aafc682b-6482-4bb3-9ff5-4eec3db4468b,,INR,Charging Summary,debit,ecastaneda,success,chargeIntimation
525a75c0-8ad2-4043-93b1-1b7f4f1b44a2,/fews/qw23521,RFID,5.07,qw23521,"077 Donna Curve
Port Maxwellborough, VT 62059",sft4,Bangalore,Karnataka,Chennai,34KTDAJ8579F5WB,ZPVLC7829P,1885,,2,Type 1,2022-02-04T17:14:28.000Z,,1.54,1385,DEVA-TEST,fews,,,energyInkWh,5,18,GST,0.656,,,,5.07,0.9126,5.983,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,525a75c0-8ad2-4043-93b1-1b7f4f1b44a2,charging,,,,wchristian@hotmail.com,0455514358,5.07,0.9126,48365543,2022-02-04T17:16:29.000Z,2022-02-04T17:16:28.000Z,,,,,,,,8,NMC_55546_37226425,2c4faffc-e96c-4ec7-9883-4d4805d453fd,,INR,Charging Summary,debit,brian74,success,chargeIntimation
04a1bc4a-e163-4fc9-bce3-f28ffd070aa5,/fews/qw23521,APP,9.13,qw23521,"4464 Anna Harbor Suite 558
Vazquezbury, WA 18966",sft4,Bangalore,Karnataka,Chennai,23YHPMR105R7LW,JEACN4306Z,1137,,1,Type 2,2022-02-04T19:54:48.000Z,,1.27,1457,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.875,,,,9.13,1.6434,10.773,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,04a1bc4a-e163-4fc9-bce3-f28ffd070aa5,charging,,,,travis06@yahoo.com,9087266075,9.13,1.6434,47511002,2022-02-04T19:56:49.000Z,2022-02-04T19:56:48.000Z,,,,,,,,2,NMC_38741_29413267,bea7a653-0e04-4866-93c0-4b27b73397a1,,INR,Charging Summary,debit,uvelasquez,success,chargeIntimation
5519b8b5-f804-4922-ab6d-38d64fbf7fbc,/fews/qw23521,APP,2.78,qw23521,"79290 Martinez Stravenue Apt. 366
Timothyhaven, AL 13232",sft4,Bangalore,Karnataka,Chennai,13QESKM8378R0JK,RWFBT152R,1559,,1,Type 1,2022-02-04T17:20:23.000Z,,1.06,1633,DEVA-TEST,fews,,,energyInkWh,8,18,GST,0.505,,,,2.78,0.5004,3.28,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,5519b8b5-f804-4922-ab6d-38d64fbf7fbc,charging,,,,batesdavid@gmail.com,2673176913,2.78,0.5004,25638761,2022-02-04T17:22:24.000Z,2022-02-04T17:22:23.000Z,,,,,,,,4,NMC_43095_10140715,ac5b3f05-bee2-46c2-b974-9273fc5fce41,,INR,Charging Summary,debit,grayrobert,success,chargeIntimation
36ba834b-a5c4-411f-9b7c-936cf148a78b,/xlss/yt26932,APP,9.55,yt26932,"0709 Adriana Highway Suite 134
Edwardsstad, GA 14763",sdg5,Mysore,Karnataka,Chennai,34VEZLF4134A2UR,KFIMY5832G,1984,,3,Type 2,2022-02-04T10:45:06.000Z,,1.79,1635,DEVA-TEST,xlss,,,energyInkWh,7,18,GST,0.585,,,,9.55,1.719,11.269,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,36ba834b-a5c4-411f-9b7c-936cf148a78b,charging,,,,lunamark@gmail.com,0494471230,9.55,1.719,89162461,2022-02-04T10:47:07.000Z,2022-02-04T10:47:06.000Z,,,,,,,,3,NMC_25167_95127729,8df47ed8-6d12-49aa-92e8-53ef1bc8ccc1,,INR,Charging Summary,debit,daniel01,success,chargeIntimation
1ccd5cd8-f0f9-42b0-b1c7-4c7c95e33bc9,/xlss/yt26932,RFID,9.35,yt26932,"073 Mike Road Apt. 214
Malonestad, MO 25296",sdg5,Mysore,Karnataka,Mumbai,18DUQSQ5849T2ZS,LFQAB7946A,1717,,1,Type 2,2022-02-04T03:23:10.000Z,,1.59,1420,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.958,,,,9.35,1.6829999999999998,11.033,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,1ccd5cd8-f0f9-42b0-b1c7-4c7c95e33bc9,charging,,,,samuelkim@yahoo.com,2325896553,9.35,1.6829999999999998,87633766,2022-02-04T03:25:11.000Z,2022-02-04T03:25:10.000Z,,,,,,,,6,NMC_16155_83540948,68610e7e-a1b6-4f22-931b-113ce127773d,,INR,Charging Summary,debit,jilliansanford,success,chargeIntimation
b3e3a678-5a6b-40e7-a921-e1a2446ad16d,/fews/qw23521,RFID,6.65,qw23521,"6541 Andrew Bypass Apt. 445
East Evanborough, TX 13862",sft4,Bangalore,Karnataka,Delhi,26JHJHO7277Z8VG,ZPBEO8390P,1235,,2,Type 1,2022-02-04T07:25:39.000Z,,1.48,1009,DEVA-TEST,fews,,,energyInkWh,8,18,GST,0.858,,,,6.65,1.197,7.847,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,b3e3a678-5a6b-40e7-a921-e1a2446ad16d,charging,,,,nielsennicholas@yahoo.com,9590724764,6.65,1.197,94537133,2022-02-04T07:27:40.000Z,2022-02-04T07:27:39.000Z,,,,,,,,3,NMC_18755_69757497,19f5bc2e-0b86-4062-9769-822d4d930b17,,INR,Charging Summary,debit,leewilliams,success,chargeIntimation
58b1d1d5-96ab-439d-83f3-3f208dc35f05,/fews/qw23521,RFID,7.81,qw23521,"6990 Shaw Parks Suite 092
East Tommy, MI 17458",sft4,Bangalore,Karnataka,Banglore,97ISLSW5450P2XX,SRCXT7033A,1940,,1,Type 2,2022-02-04T11:42:26.000Z,,1.5,1356,DEVA-TEST,fews,,,energyInkWh,6,18,GST,0.651,,,,7.81,1.4058,9.216,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,58b1d1d5-96ab-439d-83f3-3f208dc35f05,charging,,,,melaniemcintosh@gmail.com,0192158454,7.81,1.4058,74503983,2022-02-04T11:44:27.000Z,2022-02-04T11:44:26.000Z,,,,,,,,5,NMC_98754_99326683,17c6203d-134e-4724-8b84-52f6c98c1aee,,INR,Charging Summary,debit,mary61,success,chargeIntimation
1cbca3f5-790a-4ba2-af65-955c6c08aed7,/fhtl/uy26932,RFID,2.52,uy26932,"373 Edward Port Apt. 601
West Kevinburgh, FM 19727",sdg5,Mysore,Karnataka,Chennai,15XEGXQ7403E0KK,WJXJC3503J,1652,,1,Type 1,2022-02-04T12:44:34.000Z,,1.41,1997,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.566,,,,2.52,0.4536,2.974,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,1cbca3f5-790a-4ba2-af65-955c6c08aed7,charging,,,,khardy@hotmail.com,5927364925,2.52,0.4536,68348732,2022-02-04T12:46:35.000Z,2022-02-04T12:46:34.000Z,,,,,,,,7,NMC_66233_23942516,3221b4b8-070e-477c-b65e-7cd94ebda95d,,INR,Charging Summary,debit,danielharvey,success,chargeIntimation
1c7586f7-bb1d-46ba-b42c-beb663fd9d25,/xlss/yt26932,RFID,7.81,yt26932,"4823 Reeves Center Apt. 684
Taylorland, MO 79618",sdg5,Mysore,Karnataka,Banglore,07UTXOO6702B2OV,KAWZK935G,1640,,3,Type 1,2022-02-04T20:51:47.000Z,,1.54,1232,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.706,,,,7.81,1.4058,9.216,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,1c7586f7-bb1d-46ba-b42c-beb663fd9d25,charging,,,,zmendoza@hotmail.com,3694682795,7.81,1.4058,66467070,2022-02-04T20:53:48.000Z,2022-02-04T20:53:47.000Z,,,,,,,,5,NMC_57221_71533775,b637be16-d8bb-43b2-a301-f520e36346b7,,INR,Charging Summary,debit,millermarc,success,chargeIntimation
