txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
ae23ebbc-72ec-47f7-9ad5-408705000742,/fhtl/uy26932,APP,7.13,uy26932,"06606 Hurst Greens
South Baileyton, WV 47563",sdg5,Mysore,Karnataka,Kolkata,31KQPZL7291J0QF,HKRWP9545L,1146,,1,Type 2,2022-07-26T02:40:41.000Z,,1.39,1716,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.886,,,,7.13,1.2833999999999999,8.413,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ae23ebbc-72ec-47f7-9ad5-408705000742,charging,,,,bdavis@yahoo.com,3943043980,7.13,1.2833999999999999,52847526,2022-07-26T02:42:42.000Z,2022-07-26T02:42:41.000Z,,,,,,,,8,NMC_35925_49049636,bd9772d5-4ac2-422b-848e-71ccd100a89c,,INR,Charging Summary,debit,ellishannah,success,chargeIntimation
645f0a30-6408-47c1-abf6-6fad700f9162,/nsid/ga23521,RFID,7.67,ga23521,"5437 Timothy Manor
New James, ME 12589",sft4,Bangalore,Karnataka,Chennai,23CABOJ1698K7VM,IHBFG5156N,1820,,2,Type 1,2022-07-26T08:00:59.000Z,,1.5,1822,DEVA-TEST,nsid,,,energyInkWh,6,18,GST,0.984,,,,7.67,1.3805999999999998,9.051,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,645f0a30-6408-47c1-abf6-6fad700f9162,charging,,,,bferguson@yahoo.com,0819591603,7.67,1.3805999999999998,40542431,2022-07-26T08:03:00.000Z,2022-07-26T08:02:59.000Z,,,,,,,,8,NMC_18293_55115302,aef21b10-20ad-447d-b05e-c82673008b27,,INR,Charging Summary,debit,tkelly,success,chargeIntimation
c2630099-1f7b-406e-b929-8bdbf915a025,/xlss/yt26932,APP,1.22,yt26932,"2084 Parker Track
Maloneberg, OK 43498",sdg5,Mysore,Karnataka,Chennai,30LPAOU5069F8QD,SRUGE8276N,1191,,1,Type 2,2022-07-26T04:16:05.000Z,,1.52,1357,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.567,,,,1.22,0.2196,1.44,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,c2630099-1f7b-406e-b929-8bdbf915a025,charging,,,,drivers@hotmail.com,2076140764,1.22,0.2196,39860196,2022-07-26T04:18:06.000Z,2022-07-26T04:18:05.000Z,,,,,,,,6,NMC_73506_51284232,e1e5d3b3-b687-445b-aba8-8879974feb0b,,INR,Charging Summary,debit,gfoster,success,chargeIntimation
5fef3ac8-37c7-4a3f-a91a-6f56fc9d9ad4,/lknr/op18481,RFID,9.78,op18481,"011 Davis Rapid Suite 683
Lake Paul, VI 69416",hmk7,Chennai,Tamil Nadu,Banglore,27NWUXX9890B4UK,UMFDB3443G,1330,,1,Type 1,2022-07-26T07:43:20.000Z,,1.75,1338,DEVA-TEST,lknr,,,energyInkWh,7,18,GST,0.79,,,,9.78,1.7603999999999997,11.54,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,5fef3ac8-37c7-4a3f-a91a-6f56fc9d9ad4,charging,,,,ynguyen@gmail.com,8284127733,9.78,1.7603999999999997,39638647,2022-07-26T07:45:21.000Z,2022-07-26T07:45:20.000Z,,,,,,,,9,NMC_54305_83349874,7356378e-34b3-4446-a75c-1d4fb69d7404,,INR,Charging Summary,debit,jacqueline50,success,chargeIntimation
72aa362e-82ff-4050-b858-2d21263e05e4,/nsid/ga23521,APP,6.54,ga23521,"07513 Theresa Rue Suite 613
East Patrick, OH 08514",sft4,Bangalore,Karnataka,Chennai,28VJDXN4571K1HU,JIPRG7270S,1968,,1,Type 2,2022-07-26T18:34:55.000Z,,1.45,1543,DEVA-TEST,nsid,,,energyInkWh,8,18,GST,0.863,,,,6.54,1.1772,7.717,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,72aa362e-82ff-4050-b858-2d21263e05e4,charging,,,,markwallace@hotmail.com,6467724784,6.54,1.1772,72434457,2022-07-26T18:36:56.000Z,2022-07-26T18:36:55.000Z,,,,,,,,5,NMC_15218_38795930,72871286-ef4c-4c84-9f68-01948b223a8c,,INR,Charging Summary,debit,reneemorrison,success,chargeIntimation
150ef148-2b20-4f7e-aa95-6b29e85a4294,/osrw/mq18481,APP,1.89,mq18481,"0984 Swanson Drive Apt. 831
North Thomasmouth, UT 70393",hmk7,Chennai,Tamil Nadu,Kolkata,97NOOIM1754A5JI,SLHCQ7413T,1312,,1,Type 1,2022-07-26T23:51:01.000Z,,1.22,1559,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.67,,,,1.89,0.34019999999999995,2.23,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,150ef148-2b20-4f7e-aa95-6b29e85a4294,charging,,,,webbfernando@yahoo.com,1002929392,1.89,0.34019999999999995,63005568,2022-07-26T23:53:02.000Z,2022-07-26T23:53:01.000Z,,,,,,,,7,NMC_62617_48110672,7f5d7d6a-6e66-42b5-b7b1-89a65f655668,,INR,Charging Summary,debit,shelbyharmon,success,chargeIntimation
7d061f0d-46bd-4ed3-a05f-2bb23d3d4746,/osrw/mq18481,RFID,1.26,mq18481,"54073 Madeline Spur Apt. 767
Jasonport, HI 22520",hmk7,Chennai,Tamil Nadu,Kolkata,19HYHDN9968K6EX,FWZGT1908K,1489,,3,Type 2,2022-07-26T17:13:40.000Z,,1.77,1705,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.708,,,,1.26,0.2268,1.487,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,7d061f0d-46bd-4ed3-a05f-2bb23d3d4746,charging,,,,shawnjohnson@gmail.com,8891810918,1.26,0.2268,39718604,2022-07-26T17:15:41.000Z,2022-07-26T17:15:40.000Z,,,,,,,,7,NMC_79869_55582967,bce4d3ee-23c9-4062-82b7-4b7b9048f5bc,,INR,Charging Summary,debit,davidsonalejandro,success,chargeIntimation
353be50e-c331-4f71-883a-460365a59079,/xlss/yt26932,APP,8.97,yt26932,"713 Michael Lodge
Abbottberg, DE 60220",sdg5,Mysore,Karnataka,Mumbai,18HJEKE6489F0VY,CJTHT7310N,1352,,2,Type 2,2022-07-26T09:41:46.000Z,,1.51,1656,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.504,,,,8.97,1.6146,10.585,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,353be50e-c331-4f71-883a-460365a59079,charging,,,,cassandra25@gmail.com,2592076550,8.97,1.6146,16532821,2022-07-26T09:43:47.000Z,2022-07-26T09:43:46.000Z,,,,,,,,3,NMC_27935_68993273,b0bfd855-e67c-48d9-bbd8-687b88eac2db,,INR,Charging Summary,debit,angela81,success,chargeIntimation
4661972c-3f07-4a29-a973-87268c6d35d4,/osrw/mq18481,RFID,7.31,mq18481,"21839 Jackson Stream Suite 297
Port Ashleystad, VA 44468",hmk7,Chennai,Tamil Nadu,Chennai,05WXNFZ4626Z3OL,ULSJZ596A,1059,,2,Type 2,2022-07-26T03:21:51.000Z,,1.18,1902,DEVA-TEST,osrw,,,energyInkWh,8,18,GST,0.508,,,,7.31,1.3157999999999999,8.626,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,4661972c-3f07-4a29-a973-87268c6d35d4,charging,,,,colemanapril@gmail.com,2738308220,7.31,1.3157999999999999,70632419,2022-07-26T03:23:52.000Z,2022-07-26T03:23:51.000Z,,,,,,,,3,NMC_32691_60321403,d8348a22-8056-4f9c-840f-c0f3b3d0b1f2,,INR,Charging Summary,debit,davisalexandria,success,chargeIntimation
8510d7bf-3b9a-462b-b548-3d2c1c3f1226,/xlss/yt26932,RFID,1.14,yt26932,"12598 Kenneth Estate Apt. 601
East Joshua, VI 53553",sdg5,Mysore,Karnataka,Banglore,96FWBMJ4374A6ME,PKWUY9829C,1806,,1,Type 1,2022-07-26T19:18:05.000Z,,1.83,1639,DEVA-TEST,xlss,,,energyInkWh,7,18,GST,0.548,,,,1.14,0.20519999999999997,1.345,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8510d7bf-3b9a-462b-b548-3d2c1c3f1226,charging,,,,danielvargas@yahoo.com,0793650983,1.14,0.20519999999999997,86192178,2022-07-26T19:20:06.000Z,2022-07-26T19:20:05.000Z,,,,,,,,10,NMC_23187_79324916,736da594-14a1-4ded-a19e-5583a055792c,,INR,Charging Summary,debit,lorettaruiz,success,chargeIntimation
