txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
bdb18f38-2f23-4826-896f-4b7d85fdc349,/fhtl/uy26932,RFID,2.63,uy26932,"045 Little Manors Apt. 671
East Victoriamouth, TN 29961",sdg5,Mysore,Karnataka,Ranchi,33RKITU9463N2UZ,FGPGN3092C,1320,,1,Type 2,2022-06-24T03:59:05.000Z,,1.27,1822,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.957,,,,2.63,0.4734,3.103,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,bdb18f38-2f23-4826-896f-4b7d85fdc349,charging,,,,cfuentes@hotmail.com,8312892456,2.63,0.4734,49854367,2022-06-24T04:01:06.000Z,2022-06-24T04:01:05.000Z,,,,,,,,3,NMC_12882_18393687,e1b8e1cf-13d5-4964-a390-ef6355217a84,,INR,Charging Summary,debit,ogilmore,success,chargeIntimation
c4d56f7a-5f8f-4f59-91e1-1a510a5fee42,/osrw/mq18481,APP,6.24,mq18481,"Unit 6498 Box 1058
DPO AE 27989",hmk7,Chennai,Tamil Nadu,Kolkata,13BOIKT2421F0AG,AYEQP4124A,1639,,1,Type 1,2022-06-24T08:10:14.000Z,,1.29,1680,DEVA-TEST,osrw,,,energyInkWh,4,18,GST,0.956,,,,6.24,1.1232,7.363,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,c4d56f7a-5f8f-4f59-91e1-1a510a5fee42,charging,,,,juliaharris@yahoo.com,5608416626,6.24,1.1232,69629355,2022-06-24T08:12:15.000Z,2022-06-24T08:12:14.000Z,,,,,,,,6,NMC_54454_71686721,17237124-acd4-4539-ae99-9880217d40c5,,INR,Charging Summary,debit,vsanchez,success,chargeIntimation
9947c734-7a9a-4146-b5d1-392eb0185eea,/lknr/op18481,RFID,9.54,op18481,"5702 Nicole Path
Jamietown, WI 35606",hmk7,Chennai,Tamil Nadu,Delhi,33BBQUC6582L7TJ,ZEALR6023D,1939,,3,Type 2,2022-06-24T06:00:19.000Z,,1.85,1883,DEVA-TEST,lknr,,,energyInkWh,7,18,GST,0.743,,,,9.54,1.7171999999999998,11.257,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,9947c734-7a9a-4146-b5d1-392eb0185eea,charging,,,,ramosjodi@hotmail.com,3522050819,9.54,1.7171999999999998,84296220,2022-06-24T06:02:20.000Z,2022-06-24T06:02:19.000Z,,,,,,,,3,NMC_83412_47661065,5db5de34-7ab5-4a24-9215-9afd3c1514a7,,INR,Charging Summary,debit,cherylmorton,success,chargeIntimation
26524b10-0621-4227-a2ab-22b30fa573db,/xlss/yt26932,APP,3.65,yt26932,"66840 Pope Forks
Port Ryan, UT 78074",sdg5,Mysore,Karnataka,Banglore,15TNJHY6699E7XS,EXUFU9546T,1457,,2,Type 1,2022-06-24T03:08:56.000Z,,1.49,1655,DEVA-TEST,xlss,,,energyInkWh,8,18,GST,0.88,,,,3.65,0.6569999999999999,4.307,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,26524b10-0621-4227-a2ab-22b30fa573db,charging,,,,randallelizabeth@hotmail.com,0220750922,3.65,0.6569999999999999,78888847,2022-06-24T03:10:57.000Z,2022-06-24T03:10:56.000Z,,,,,,,,8,NMC_15102_89089941,01207d7f-d816-4f8e-8f86-b17e09c7668c,,INR,Charging Summary,debit,brian77,success,chargeIntimation
8d805b11-177f-4208-ae11-fd105e22cce9,/nsid/ga23521,APP,2.7,ga23521,"6055 Amanda Gardens Suite 228
Marshmouth, OK 46722",sft4,Bangalore,Karnataka,Ranchi,10CJLEE2153N1IW,RCVTI9204Y,1771,,2,Type 1,2022-06-24T12:39:44.000Z,,1.04,1349,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.978,,,,2.7,0.486,3.186,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8d805b11-177f-4208-ae11-fd105e22cce9,charging,,,,xwilliams@gmail.com,4949478072,2.7,0.486,61926451,2022-06-24T12:41:45.000Z,2022-06-24T12:41:44.000Z,,,,,,,,4,NMC_91605_31957965,0eefe838-3f75-4f6e-a3c3-d865de3d4a85,,INR,Charging Summary,debit,umelton,success,chargeIntimation
9036b537-fe73-4cb2-bb9c-6a0f27c3b71d,/fhtl/uy26932,RFID,2.7,uy26932,"910 Nicholas Tunnel Apt. 401
Barajasview, FL 44992",sdg5,Mysore,Karnataka,Banglore,08SRBNJ358C4MP,HFRAB2429J,1673,,1,Type 1,2022-06-24T10:50:40.000Z,,1.38,1440,DEVA-TEST,fhtl,,,energyInkWh,8,18,GST,0.953,,,,2.7,0.486,3.186,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,9036b537-fe73-4cb2-bb9c-6a0f27c3b71d,charging,,,,kenneththompson@yahoo.com,0931549050,2.7,0.486,91793324,2022-06-24T10:52:41.000Z,2022-06-24T10:52:40.000Z,,,,,,,,9,NMC_49239_86291731,572e0f4d-bbfc-49ae-8ee7-9435dbdef18d,,INR,Charging Summary,debit,qhurst,success,chargeIntimation
5cf9808e-9cd5-4320-b807-65e3d838c634,/fhtl/uy26932,APP,1.66,uy26932,"353 Rodney Estate Apt. 924
West Wendyland, TX 39938",sdg5,Mysore,Karnataka,Chennai,11ZJGNA9989J7IA,EULIL7107C,1755,,1,Type 2,2022-06-24T21:43:37.000Z,,1.38,1522,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.736,,,,1.66,0.29879999999999995,1.959,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,5cf9808e-9cd5-4320-b807-65e3d838c634,charging,,,,elizabethpage@gmail.com,3908267669,1.66,0.29879999999999995,47452892,2022-06-24T21:45:38.000Z,2022-06-24T21:45:37.000Z,,,,,,,,1,NMC_65284_53412213,7300666e-327b-4f21-a707-b551e6d94238,,INR,Charging Summary,debit,hnguyen,success,chargeIntimation
4c1aafe9-6ec8-47e4-b9d8-12492bea1d7d,/osrw/mq18481,RFID,6.11,mq18481,"133 Wagner Run Suite 798
West Kelseyburgh, NJ 81779",hmk7,Chennai,Tamil Nadu,Delhi,01PHMXO9576J8VK,YHCBB1582A,1030,,1,Type 1,2022-06-24T16:50:41.000Z,,1.16,1720,DEVA-TEST,osrw,,,energyInkWh,5,18,GST,0.845,,,,6.11,1.0998,7.21,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,4c1aafe9-6ec8-47e4-b9d8-12492bea1d7d,charging,,,,coleashley@gmail.com,5064294296,6.11,1.0998,38651422,2022-06-24T16:52:42.000Z,2022-06-24T16:52:41.000Z,,,,,,,,2,NMC_87670_51344157,f783a159-24e8-4778-b6f9-11a27892e0c9,,INR,Charging Summary,debit,steve65,success,chargeIntimation
254e7824-d38d-4f8f-be4e-efac3b8e03fb,/nsid/ga23521,RFID,9.55,ga23521,"5347 Gibson Passage Apt. 902
Ronaldbury, DE 32925",sft4,Bangalore,Karnataka,Chennai,10FLSKF3030S4QO,TMJHT5169R,1655,,1,Type 1,2022-06-24T20:24:37.000Z,,1.96,1271,DEVA-TEST,nsid,,,energyInkWh,6,18,GST,0.964,,,,9.55,1.719,11.269,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,254e7824-d38d-4f8f-be4e-efac3b8e03fb,charging,,,,lbruce@yahoo.com,5691262024,9.55,1.719,16320644,2022-06-24T20:26:38.000Z,2022-06-24T20:26:37.000Z,,,,,,,,5,NMC_24676_37635385,f80299e4-5ada-47b8-b82f-9e384bc69f52,,INR,Charging Summary,debit,gregoryjackson,success,chargeIntimation
8cd3a4bd-9af7-4eb8-b155-5e2350b64027,/fhtl/uy26932,APP,3.61,uy26932,"PSC 3612, Box 4192
APO AE 15137",sdg5,Mysore,Karnataka,Mumbai,31LSYCX6271B4JK,KPZKQ3646Y,1565,,1,Type 2,2022-06-24T09:50:38.000Z,,1.57,1422,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.873,,,,3.61,0.6497999999999999,4.26,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8cd3a4bd-9af7-4eb8-b155-5e2350b64027,charging,,,,levinepatricia@gmail.com,5169027250,3.61,0.6497999999999999,32779494,2022-06-24T09:52:39.000Z,2022-06-24T09:52:38.000Z,,,,,,,,6,NMC_81885_21416201,ad603fbf-bc20-4a7d-8d36-c51f2d12aa12,,INR,Charging Summary,debit,michellegilbert,success,chargeIntimation
