txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
9e17718c-fd4e-456a-bceb-d6e9d8a25e93,/osrw/mq18481,RFID,4.12,mq18481,"05892 Alex Stream
Blackside, IN 08218",hmk7,Chennai,Tamil Nadu,Kolkata,09TXBDW4939B1DO,LNOTI3952G,1195,,3,Type 1,2022-03-24T16:14:48.000Z,,1.65,1114,DEVA-TEST,osrw,,,energyInkWh,6,18,GST,0.544,,,,4.12,0.7416,4.862,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,9e17718c-fd4e-456a-bceb-d6e9d8a25e93,charging,,,,christina49@gmail.com,9061335059,4.12,0.7416,85867922,2022-03-24T16:16:49.000Z,2022-03-24T16:16:48.000Z,,,,,,,,10,NMC_96097_38091367,2a0888c7-3b17-47c4-87bc-70cc06abc6af,,INR,Charging Summary,debit,elizabethsexton,success,chargeIntimation
b74d7a54-90ec-4277-97cd-9fbf1208fd98,/fews/qw23521,RFID,8.22,qw23521,"396 Brendan Path Suite 316
New Andrew, RI 19630",sft4,Bangalore,Karnataka,Ranchi,19RDPPT1569J6HI,MMBYH3414S,1684,,1,Type 1,2022-03-24T13:36:33.000Z,,1.85,1490,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.575,,,,8.22,1.4796,9.7,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,b74d7a54-90ec-4277-97cd-9fbf1208fd98,charging,,,,rodneyjefferson@gmail.com,8652872437,8.22,1.4796,89499164,2022-03-24T13:38:34.000Z,2022-03-24T13:38:33.000Z,,,,,,,,4,NMC_10000_72106190,449f5a83-d419-4cc7-a674-4ea3e785117d,,INR,Charging Summary,debit,nramirez,success,chargeIntimation
f804dd1a-7f5d-4cd2-b5d8-6ac130a5d9cb,/fhtl/uy26932,APP,1.18,uy26932,"4538 James Parks
South Darrellside, AR 25722",sdg5,Mysore,Karnataka,Mumbai,21XANGE9512J7DS,KFTVW3552E,1459,,2,Type 1,2022-03-24T10:06:38.000Z,,1.79,1905,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.875,,,,1.18,0.21239999999999998,1.392,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f804dd1a-7f5d-4cd2-b5d8-6ac130a5d9cb,charging,,,,carterkellie@hotmail.com,8110309821,1.18,0.21239999999999998,77554085,2022-03-24T10:08:39.000Z,2022-03-24T10:08:38.000Z,,,,,,,,6,NMC_48145_25219670,b2bfa504-576d-4891-9f03-aa137b7f14aa,,INR,Charging Summary,debit,robertmcbride,success,chargeIntimation
70179ca4-b727-45d6-9c98-cc41f149eef9,/nsid/ga23521,RFID,1.86,ga23521,"38343 Kelly Crescent Suite 564
Jeffreychester, FM 04417",sft4,Bangalore,Karnataka,Ranchi,01DRCCM2550J9CP,KWOUR2164J,1194,,2,Type 1,2022-03-24T11:04:19.000Z,,1.56,1545,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.81,,,,1.86,0.3348,2.195,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,70179ca4-b727-45d6-9c98-cc41f149eef9,charging,,,,jacksonmichele@yahoo.com,1509835541,1.86,0.3348,10971643,2022-03-24T11:06:20.000Z,2022-03-24T11:06:19.000Z,,,,,,,,2,NMC_94717_88914095,f5b68c21-0622-4262-9e71-5d810b9e89c1,,INR,Charging Summary,debit,amberrussell,success,chargeIntimation
7f742196-1981-4217-bede-ae08df9e295f,/lknr/op18481,APP,6.39,op18481,"1042 Ronnie Avenue Suite 052
Lake Michael, MT 03787",hmk7,Chennai,Tamil Nadu,Chennai,15DHMUH7576G0UR,UJWBT4433N,1046,,2,Type 1,2022-03-24T07:23:07.000Z,,1.46,1709,DEVA-TEST,lknr,,,energyInkWh,6,18,GST,0.91,,,,6.39,1.1502,7.54,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,7f742196-1981-4217-bede-ae08df9e295f,charging,,,,tammydelgado@yahoo.com,5145175762,6.39,1.1502,27004322,2022-03-24T07:25:08.000Z,2022-03-24T07:25:07.000Z,,,,,,,,5,NMC_74132_49624102,3aefb3b8-412e-4c17-8ddb-d6dd01301dca,,INR,Charging Summary,debit,grodriguez,success,chargeIntimation
727ccba8-457b-4d03-b64f-debba5ce35df,/lknr/op18481,RFID,4.29,op18481,"94058 Barbara Court
South Brianstad, OH 50879",hmk7,Chennai,Tamil Nadu,Delhi,30RLTRM1806E5EM,KKWJG7801D,1927,,2,Type 2,2022-03-24T12:01:51.000Z,,1.46,1549,DEVA-TEST,lknr,,,energyInkWh,8,18,GST,0.927,,,,4.29,0.7722,5.062,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,727ccba8-457b-4d03-b64f-debba5ce35df,charging,,,,wiseangelica@gmail.com,3930039631,4.29,0.7722,85724985,2022-03-24T12:03:52.000Z,2022-03-24T12:03:51.000Z,,,,,,,,6,NMC_49428_87276060,b44c634f-1253-46c7-8f4c-ac710e479464,,INR,Charging Summary,debit,bbuchanan,success,chargeIntimation
8f4dddd5-787e-4270-b6de-8264d037abab,/fews/qw23521,RFID,7.9,qw23521,"89171 Sims Grove
Port Charles, ND 66618",sft4,Bangalore,Karnataka,Ranchi,08WQACZ8513Y0NT,KCKSG8315P,1820,,3,Type 1,2022-03-24T11:11:16.000Z,,1.2,1867,DEVA-TEST,fews,,,energyInkWh,5,18,GST,0.964,,,,7.9,1.422,9.322,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8f4dddd5-787e-4270-b6de-8264d037abab,charging,,,,morgandebbie@hotmail.com,5333313966,7.9,1.422,95204516,2022-03-24T11:13:17.000Z,2022-03-24T11:13:16.000Z,,,,,,,,10,NMC_17719_84103095,2fa84be1-9fb1-4a81-a69c-32d37f093d40,,INR,Charging Summary,debit,leeseth,success,chargeIntimation
c4ecce39-a291-4f2d-92af-e17b6a6f7176,/fews/qw23521,RFID,7.8,qw23521,"414 Dale Spurs
Davisview, MD 16837",sft4,Bangalore,Karnataka,Delhi,03BIGAN8327S0UF,CTBMN9461K,1471,,1,Type 1,2022-03-24T22:17:15.000Z,,1.8,1091,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.95,,,,7.8,1.404,9.204,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,c4ecce39-a291-4f2d-92af-e17b6a6f7176,charging,,,,darren71@gmail.com,4790018110,7.8,1.404,99784546,2022-03-24T22:19:16.000Z,2022-03-24T22:19:15.000Z,,,,,,,,9,NMC_71196_32808424,d028aed0-3a61-466d-bbdc-a62d1d6a18e3,,INR,Charging Summary,debit,steven27,success,chargeIntimation
91c9deb1-4584-42b4-91fd-ccaf0bb04235,/lknr/op18481,APP,7.65,op18481,"5263 William Path Apt. 410
South Kelly, MD 13677",hmk7,Chennai,Tamil Nadu,Delhi,26DPYKD7094E3VY,BSXHS9371N,1036,,2,Type 2,2022-03-24T10:08:32.000Z,,1.65,1168,DEVA-TEST,lknr,,,energyInkWh,4,18,GST,0.769,,,,7.65,1.377,9.027,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,91c9deb1-4584-42b4-91fd-ccaf0bb04235,charging,,,,zrandall@yahoo.com,8139715298,7.65,1.377,19051492,2022-03-24T10:10:33.000Z,2022-03-24T10:10:32.000Z,,,,,,,,5,NMC_45043_50850555,e3bfac7d-9d60-433f-b269-fa053aa72d95,,INR,Charging Summary,debit,christophermunoz,success,chargeIntimation
659261d1-4fae-4cf3-99f9-b252b5b1d6ed,/fhtl/uy26932,APP,6.15,uy26932,"239 Valdez View
Jamesbury, MA 16165",sdg5,Mysore,Karnataka,Delhi,04EUEUS9551A8YP,AKUOS3910A,1109,,3,Type 1,2022-03-24T09:38:26.000Z,,1.01,1565,DEVA-TEST,fhtl,,,energyInkWh,4,18,GST,0.923,,,,6.15,1.107,7.257,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,659261d1-4fae-4cf3-99f9-b252b5b1d6ed,charging,,,,campbelljames@yahoo.com,2799442637,6.15,1.107,34410846,2022-03-24T09:40:27.000Z,2022-03-24T09:40:26.000Z,,,,,,,,1,NMC_65540_25493734,2056017f-12d1-4936-b2d1-d0b56c5dccae,,INR,Charging Summary,debit,richardmarquez,success,chargeIntimation
