txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
ab83c9a4-31ae-4136-8a12-12c4ad868dd6,/lknr/op18481,RFID,8.32,op18481,"99981 Zhang Cliffs
East Ronald, HI 88837",hmk7,Chennai,Tamil Nadu,Delhi,16MGBGI9902E5ON,IARGZ2151A,1327,,3,Type 2,2022-05-18T04:54:25.000Z,,1.71,1930,DEVA-TEST,lknr,,,energyInkWh,6,18,GST,0.531,,,,8.32,1.4976,9.818,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,ab83c9a4-31ae-4136-8a12-12c4ad868dd6,charging,,,,fordmary@yahoo.com,3633809873,8.32,1.4976,15114182,2022-05-18T04:56:26.000Z,2022-05-18T04:56:25.000Z,,,,,,,,2,NMC_96926_94577043,550cd59a-4385-4c5b-a2c8-86dc364c4e55,,INR,Charging Summary,debit,jerryfoster,success,chargeIntimation
7714bc48-fe33-4f75-8477-6e8fbf1261d5,/fews/qw23521,APP,6.84,qw23521,"Unit 6144 Box 6534
DPO AE 16033",sft4,Bangalore,Karnataka,Banglore,24NDHVW3009G6EC,HMEBN1661S,1340,,2,Type 2,2022-05-18T14:43:03.000Z,,1.66,1326,DEVA-TEST,fews,,,energyInkWh,5,18,GST,0.728,,,,6.84,1.2311999999999999,8.071,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,7714bc48-fe33-4f75-8477-6e8fbf1261d5,charging,,,,handersen@gmail.com,4065604975,6.84,1.2311999999999999,58722121,2022-05-18T14:45:04.000Z,2022-05-18T14:45:03.000Z,,,,,,,,7,NMC_12882_51815887,8b2f007d-39df-4196-8c3e-e3641c18aad9,,INR,Charging Summary,debit,tracyscott,success,chargeIntimation
f4d96031-4aa4-4b7e-a40f-c7241e4025f4,/fhtl/uy26932,RFID,3.59,uy26932,"15948 Kayla Ridges Apt. 555
West Alyssabury, FM 50209",sdg5,Mysore,Karnataka,Mumbai,13YARAJ5984H5DS,IDDJH5647B,1086,,3,Type 2,2022-05-18T23:33:45.000Z,,1.27,1530,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.584,,,,3.59,0.6462,4.236,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f4d96031-4aa4-4b7e-a40f-c7241e4025f4,charging,,,,jason64@gmail.com,2166677524,3.59,0.6462,70368443,2022-05-18T23:35:46.000Z,2022-05-18T23:35:45.000Z,,,,,,,,7,NMC_99306_78876199,7956b7f7-3928-49a6-9dd4-4317fe2c9b8a,,INR,Charging Summary,debit,gardnerrhonda,success,chargeIntimation
105cb831-b8ba-409b-af96-731e4ff2fe37,/lknr/op18481,RFID,7.25,op18481,"PSC 4106, Box 1310
APO AE 24026",hmk7,Chennai,Tamil Nadu,Kolkata,26RIGXU836E3TV,XSZIA4957N,1743,,1,Type 1,2022-05-18T13:50:19.000Z,,1.35,1961,DEVA-TEST,lknr,,,energyInkWh,6,18,GST,0.574,,,,7.25,1.305,8.555,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,105cb831-b8ba-409b-af96-731e4ff2fe37,charging,,,,holly28@gmail.com,2284615802,7.25,1.305,31438734,2022-05-18T13:52:20.000Z,2022-05-18T13:52:19.000Z,,,,,,,,3,NMC_23768_90801826,f30202ec-c20e-4a6d-8e10-5920397d6274,,INR,Charging Summary,debit,michael36,success,chargeIntimation
e747e841-8358-49cc-bcab-bc3fa2b52028,/osrw/mq18481,APP,3.67,mq18481,"2167 Lamb Groves
Port Chadberg, IN 96054",hmk7,Chennai,Tamil Nadu,Kolkata,27RPHPQ7043J9LU,YFFKC4474H,1083,,3,Type 2,2022-05-18T02:17:12.000Z,,1.04,1446,DEVA-TEST,osrw,,,energyInkWh,7,18,GST,0.906,,,,3.67,0.6606,4.331,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,e747e841-8358-49cc-bcab-bc3fa2b52028,charging,,,,tinaherrera@hotmail.com,7380870407,3.67,0.6606,70756871,2022-05-18T02:19:13.000Z,2022-05-18T02:19:12.000Z,,,,,,,,8,NMC_11883_99531926,1f87756a-5e87-4b10-8082-0bca07715911,,INR,Charging Summary,debit,tonya74,success,chargeIntimation
7a9f88c4-25b0-4a82-a15d-002f09de60b6,/lknr/op18481,APP,4.05,op18481,"17881 Joseph Ferry
New Jasonhaven, NY 70282",hmk7,Chennai,Tamil Nadu,Banglore,07NIYEY555S9HP,EBSTV9288F,1740,,2,Type 2,2022-05-18T14:03:22.000Z,,1.87,1322,DEVA-TEST,lknr,,,energyInkWh,5,18,GST,0.597,,,,4.05,0.729,4.779,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,7a9f88c4-25b0-4a82-a15d-002f09de60b6,charging,,,,zjones@gmail.com,7711787452,4.05,0.729,69500505,2022-05-18T14:05:23.000Z,2022-05-18T14:05:22.000Z,,,,,,,,2,NMC_80186_74909320,79398810-c823-4a42-8d0a-e5295e3de13e,,INR,Charging Summary,debit,schmidtsusan,success,chargeIntimation
12c9006a-ca4b-4992-a2a3-9090ec6387b5,/xlss/yt26932,RFID,7.27,yt26932,"1880 Moore Club
Port Wendy, AR 48601",sdg5,Mysore,Karnataka,Chennai,24JQLSC1464Y5LZ,TAXES3361C,1493,,1,Type 1,2022-05-18T23:53:49.000Z,,1.34,1107,DEVA-TEST,xlss,,,energyInkWh,8,18,GST,0.832,,,,7.27,1.3086,8.579,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,12c9006a-ca4b-4992-a2a3-9090ec6387b5,charging,,,,michaelyoung@yahoo.com,8555197724,7.27,1.3086,25402094,2022-05-18T23:55:50.000Z,2022-05-18T23:55:49.000Z,,,,,,,,4,NMC_86002_94831192,25fcddc7-e732-459f-97fb-7897cf359da0,,INR,Charging Summary,debit,dawn46,success,chargeIntimation
cf3593b8-556a-4b5f-a162-8a8b954abfc6,/xlss/yt26932,APP,1.13,yt26932,"4481 Michelle Pines Apt. 544
Ryanborough, CO 60966",sdg5,Mysore,Karnataka,Banglore,29DWXOH123P2TD,UGCMK735D,1927,,1,Type 1,2022-05-18T23:43:00.000Z,,1.17,1416,DEVA-TEST,xlss,,,energyInkWh,5,18,GST,0.546,,,,1.13,0.20339999999999997,1.333,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,cf3593b8-556a-4b5f-a162-8a8b954abfc6,charging,,,,christinajones@yahoo.com,0871753916,1.13,0.20339999999999997,47151836,2022-05-18T23:45:01.000Z,2022-05-18T23:45:00.000Z,,,,,,,,5,NMC_53723_11095968,454cb149-ab31-4170-8e28-c89941beb7c9,,INR,Charging Summary,debit,tfox,success,chargeIntimation
27806a3f-aa63-40e6-97e1-14a00fd02922,/nsid/ga23521,APP,7.71,ga23521,"6547 Fletcher Villages
Woodfurt, NY 45195",sft4,Bangalore,Karnataka,Mumbai,08AWDIY2051R2RC,NKHID8274Z,1465,,2,Type 2,2022-05-18T06:38:31.000Z,,1.33,1883,DEVA-TEST,nsid,,,energyInkWh,5,18,GST,0.685,,,,7.71,1.3878,9.098,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,27806a3f-aa63-40e6-97e1-14a00fd02922,charging,,,,karenfreeman@gmail.com,1776146232,7.71,1.3878,42418022,2022-05-18T06:40:32.000Z,2022-05-18T06:40:31.000Z,,,,,,,,3,NMC_46978_21581569,b9cbd02f-b721-4ca2-8e24-c71b0c7abad1,,INR,Charging Summary,debit,wjohnston,success,chargeIntimation
c65db18f-4e04-445d-af95-e7f55a876eff,/osrw/mq18481,APP,5.82,mq18481,"002 Ponce Alley Suite 382
Catherineview, LA 16884",hmk7,Chennai,Tamil Nadu,Banglore,22TWLGF4473J5WE,ESOGO8466P,1249,,3,Type 1,2022-05-18T16:39:41.000Z,,2.0,1882,DEVA-TEST,osrw,,,energyInkWh,6,18,GST,0.757,,,,5.82,1.0476,6.868,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,c65db18f-4e04-445d-af95-e7f55a876eff,charging,,,,washingtonlarry@hotmail.com,6180869700,5.82,1.0476,76726191,2022-05-18T16:41:42.000Z,2022-05-18T16:41:41.000Z,,,,,,,,9,NMC_38381_94276716,aafd10db-f25b-4104-ab0e-dd9ca73f2725,,INR,Charging Summary,debit,david36,success,chargeIntimation
