txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
28ac07b5-6dd1-4160-b2e6-2ccc0ad27d5f,/osrw/mq18481,APP,8.35,mq18481,"6645 Gomez Glens
East Michael, ND 93573",hmk7,Chennai,Tamil Nadu,Delhi,25VLIFE1835N9SA,PNOYX5600Y,1869,,1,Type 1,2022-11-22T14:55:02.000Z,,1.02,1547,DEVA-TEST,osrw,,,energyInkWh,5,18,GST,0.969,,,,8.35,1.503,9.853,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,28ac07b5-6dd1-4160-b2e6-2ccc0ad27d5f,charging,,,,nfrench@yahoo.com,0937601180,8.35,1.503,73610697,2022-11-22T14:57:03.000Z,2022-11-22T14:57:02.000Z,,,,,,,,4,NMC_24377_43516499,8d6b0f72-d50a-42b6-90df-77dbcde79020,,INR,Charging Summary,debit,robertstephens,success,chargeIntimation
4b2bc5d6-d15b-4b24-930a-5197cb2d29bc,/nsid/ga23521,RFID,9.88,ga23521,"706 Susan Glens Apt. 358
Vickiburgh, OR 65001",sft4,Bangalore,Karnataka,Kolkata,06NJHJQ9457P1IU,MJBHY8379R,1158,,1,Type 2,2022-11-22T20:27:36.000Z,,1.64,1872,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.844,,,,9.88,1.7784,11.658,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,4b2bc5d6-d15b-4b24-930a-5197cb2d29bc,charging,,,,martinezdennis@hotmail.com,3237803310,9.88,1.7784,51005261,2022-11-22T20:29:37.000Z,2022-11-22T20:29:36.000Z,,,,,,,,4,NMC_99588_91524827,d4e46f02-5bd1-4ab9-b0f0-7265318abfd1,,INR,Charging Summary,debit,cindy63,success,chargeIntimation
d202bd28-c8e7-4afc-b7f0-b1853c9fdd89,/nsid/ga23521,RFID,4.49,ga23521,"36628 Brown Trail
Michaelshire, AK 18912",sft4,Bangalore,Karnataka,Ranchi,14SEBJI926K6LS,ATYWW8868Z,1278,,1,Type 1,2022-11-22T11:27:53.000Z,,1.37,1193,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.869,,,,4.49,0.8082,5.298,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,d202bd28-c8e7-4afc-b7f0-b1853c9fdd89,charging,,,,vanessablankenship@yahoo.com,9235632801,4.49,0.8082,66724451,2022-11-22T11:29:54.000Z,2022-11-22T11:29:53.000Z,,,,,,,,3,NMC_23411_33738306,004e889d-58e2-4fbd-b559-ee29b492dbdf,,INR,Charging Summary,debit,jamesjordan,success,chargeIntimation
607c5710-e40e-4def-a343-a7b704ba07b4,/fhtl/uy26932,APP,1.14,uy26932,"420 Horn Highway Apt. 025
Edwardston, MN 78591",sdg5,Mysore,Karnataka,Banglore,20YKOIX9058J4JG,AGKSQ17S,1530,,1,Type 1,2022-11-22T15:42:14.000Z,,1.71,1623,DEVA-TEST,fhtl,,,energyInkWh,5,18,GST,0.977,,,,1.14,0.20519999999999997,1.345,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,607c5710-e40e-4def-a343-a7b704ba07b4,charging,,,,blackburnthomas@yahoo.com,8209336165,1.14,0.20519999999999997,82933735,2022-11-22T15:44:15.000Z,2022-11-22T15:44:14.000Z,,,,,,,,10,NMC_70311_79258337,ea3e2a8d-71a6-4418-8417-6cd35f6f898a,,INR,Charging Summary,debit,michaelgriffin,success,chargeIntimation
bdb2b595-9712-410c-b504-73aaa64ff813,/lknr/op18481,APP,1.04,op18481,"0513 Cooper Drive
Timothyberg, IL 05536",hmk7,Chennai,Tamil Nadu,Ranchi,24LSGDB2723A2LR,BNXWK9046Z,1607,,1,Type 1,2022-11-22T18:51:24.000Z,,1.75,1087,DEVA-TEST,lknr,,,energyInkWh,5,18,GST,0.889,,,,1.04,0.1872,1.227,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,bdb2b595-9712-410c-b504-73aaa64ff813,charging,,,,jackie45@gmail.com,0079744907,1.04,0.1872,90703581,2022-11-22T18:53:25.000Z,2022-11-22T18:53:24.000Z,,,,,,,,3,NMC_61467_13246952,7c0ef361-961f-467d-9551-7ef618cae11d,,INR,Charging Summary,debit,dustin68,success,chargeIntimation
30bfc855-8259-4064-85d2-05e0d74b3127,/fhtl/uy26932,RFID,6.02,uy26932,"2882 Sullivan Ferry
New Bailey, IN 26819",sdg5,Mysore,Karnataka,Banglore,04BBNLR85Z5TI,QKIBN9636F,1546,,2,Type 1,2022-11-22T09:22:01.000Z,,1.28,1611,DEVA-TEST,fhtl,,,energyInkWh,4,18,GST,0.828,,,,6.02,1.0836,7.104,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,30bfc855-8259-4064-85d2-05e0d74b3127,charging,,,,josephharris@yahoo.com,8674245457,6.02,1.0836,64224374,2022-11-22T09:24:02.000Z,2022-11-22T09:24:01.000Z,,,,,,,,5,NMC_54167_22459254,4611342a-ed1c-4768-a170-6c64399389d1,,INR,Charging Summary,debit,kristen91,success,chargeIntimation
316c5b0b-0d8b-49e4-b982-05227e2337c2,/xlss/yt26932,RFID,2.34,yt26932,"960 Jackson Ports Suite 317
Port Ronald, CT 51292",sdg5,Mysore,Karnataka,Delhi,19PHHKM4498Y7QC,AYFWF2508A,1884,,2,Type 2,2022-11-22T19:10:51.000Z,,1.74,1190,DEVA-TEST,xlss,,,energyInkWh,7,18,GST,0.509,,,,2.34,0.42119999999999996,2.761,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,316c5b0b-0d8b-49e4-b982-05227e2337c2,charging,,,,amy44@yahoo.com,8553205220,2.34,0.42119999999999996,99545442,2022-11-22T19:12:52.000Z,2022-11-22T19:12:51.000Z,,,,,,,,6,NMC_90207_21264186,0dc3106b-f176-46de-8c09-38db5982e9f6,,INR,Charging Summary,debit,jason48,success,chargeIntimation
f7541f59-fa7f-4598-a117-bfd3dece54ab,/fews/qw23521,APP,9.42,qw23521,"10324 Castro Stream Apt. 046
Kimberlyfort, AR 63935",sft4,Bangalore,Karnataka,Ranchi,21QDRJI538S5LW,NVWPJ215P,1121,,2,Type 2,2022-11-22T16:51:29.000Z,,1.91,1837,DEVA-TEST,fews,,,energyInkWh,8,18,GST,0.551,,,,9.42,1.6956,11.116,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f7541f59-fa7f-4598-a117-bfd3dece54ab,charging,,,,silvabrooke@hotmail.com,8598739229,9.42,1.6956,83610255,2022-11-22T16:53:30.000Z,2022-11-22T16:53:29.000Z,,,,,,,,7,NMC_72825_55394140,5fe8fc91-47d6-4166-80cc-9a605566c42c,,INR,Charging Summary,debit,nicolasperez,success,chargeIntimation
9c352727-d7df-4ebd-9d27-215695b0ede8,/xlss/yt26932,APP,5.13,yt26932,"88576 Nancy Cliffs Suite 471
Lake Analand, MI 05390",sdg5,Mysore,Karnataka,Mumbai,34TZPEN4267P9DZ,YHIRR8441E,1226,,2,Type 2,2022-11-22T09:31:48.000Z,,1.26,1761,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.683,,,,5.13,0.9234,6.053,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,9c352727-d7df-4ebd-9d27-215695b0ede8,charging,,,,jasonobrien@hotmail.com,8963092598,5.13,0.9234,87067200,2022-11-22T09:33:49.000Z,2022-11-22T09:33:48.000Z,,,,,,,,5,NMC_58110_78660483,793baa33-0f35-4e53-ba93-b6bf78e0cce6,,INR,Charging Summary,debit,martinezamy,success,chargeIntimation
bba4f0bd-38ef-4269-92ef-f4336ba717cc,/osrw/mq18481,RFID,7.03,mq18481,"42927 Hinton Villages Suite 907
South Timothymouth, GA 49963",hmk7,Chennai,Tamil Nadu,Chennai,19HTWYC7077G1NW,XMANB9980D,1915,,2,Type 1,2022-11-22T11:02:40.000Z,,1.04,1972,DEVA-TEST,osrw,,,energyInkWh,6,18,GST,0.741,,,,7.03,1.2654,8.295,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,bba4f0bd-38ef-4269-92ef-f4336ba717cc,charging,,,,kathryn23@yahoo.com,7020716826,7.03,1.2654,67298332,2022-11-22T11:04:41.000Z,2022-11-22T11:04:40.000Z,,,,,,,,8,NMC_86169_56091820,fd7cc83c-29a1-4c8d-8037-968a41643cd6,,INR,Charging Summary,debit,ryan18,success,chargeIntimation
