txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
8caa84b7-9719-4218-810a-7f17a954fc99,/fews/qw23521,RFID,1.11,qw23521,"7986 Higgins Junction
Hernandezport, MH 55145",sft4,Bangalore,Karnataka,Kolkata,14VUOUI9756Z2ID,LMTDK8477K,1695,,2,Type 1,2022-10-10T18:05:16.000Z,,1.06,1260,DEVA-TEST,fews,,,energyInkWh,8,18,GST,0.513,,,,1.11,0.1998,1.31,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8caa84b7-9719-4218-810a-7f17a954fc99,charging,,,,teresa40@yahoo.com,8521604963,1.11,0.1998,95052966,2022-10-10T18:07:17.000Z,2022-10-10T18:07:16.000Z,,,,,,,,3,NMC_43060_88692819,78b455fc-c404-4a7a-a476-a37930a27a2d,,INR,Charging Summary,debit,zachary61,success,chargeIntimation
28728462-5181-4fcb-8d16-cf267558a51a,/osrw/mq18481,APP,5.81,mq18481,"5210 Deborah Crossing Suite 708
Smithside, DE 60278",hmk7,Chennai,Tamil Nadu,Kolkata,96PPOUZ8704N5HB,LWSND5843G,1148,,2,Type 2,2022-10-10T19:08:31.000Z,,1.97,1783,DEVA-TEST,osrw,,,energyInkWh,8,18,GST,0.866,,,,5.81,1.0457999999999998,6.856,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,28728462-5181-4fcb-8d16-cf267558a51a,charging,,,,hedwards@gmail.com,7748977869,5.81,1.0457999999999998,14172803,2022-10-10T19:10:32.000Z,2022-10-10T19:10:31.000Z,,,,,,,,4,NMC_82787_25264064,7eb0d3d9-4962-47c2-ab57-758b738e8afb,,INR,Charging Summary,debit,karinamorton,success,chargeIntimation
060ce259-b9d0-432e-a08e-9a3a6f3fb41d,/fews/qw23521,RFID,1.43,qw23521,"174 Bobby Avenue Apt. 785
Port Douglasport, VT 14403",sft4,Bangalore,Karnataka,Ranchi,28DXOGS5549F8BP,KQCTB5835H,1489,,3,Type 1,2022-10-10T20:13:50.000Z,,1.7,1622,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.711,,,,1.43,0.25739999999999996,1.687,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,060ce259-b9d0-432e-a08e-9a3a6f3fb41d,charging,,,,pmiller@gmail.com,6236128655,1.43,0.25739999999999996,72484674,2022-10-10T20:15:51.000Z,2022-10-10T20:15:50.000Z,,,,,,,,1,NMC_51711_48790330,fb09d23b-2abc-4023-8511-a6e1cbba37a4,,INR,Charging Summary,debit,stewartjoanna,success,chargeIntimation
080cf197-b677-49b6-a606-4ec80cb711bd,/lknr/op18481,RFID,2.56,op18481,"0202 Andrew Lake Apt. 475
West Kentfurt, MP 67924",hmk7,Chennai,Tamil Nadu,Chennai,23QUSKQ1046N2ZY,HGJVE406S,1824,,3,Type 2,2022-10-10T10:37:24.000Z,,1.63,1536,DEVA-TEST,lknr,,,energyInkWh,6,18,GST,0.904,,,,2.56,0.4608,3.021,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,080cf197-b677-49b6-a606-4ec80cb711bd,charging,,,,smithnoah@yahoo.com,2940404503,2.56,0.4608,95047958,2022-10-10T10:39:25.000Z,2022-10-10T10:39:24.000Z,,,,,,,,8,NMC_40263_55311974,76e4674b-3dd3-4cf4-92cd-5990b8c47d72,,INR,Charging Summary,debit,hickmanjames,success,chargeIntimation
2e304cdb-3027-4906-bb72-c08fdf94248c,/fews/qw23521,RFID,1.25,qw23521,"4114 Graham Orchard
South Joshua, VA 76004",sft4,Bangalore,Karnataka,Delhi,23FBMVB7742S1FA,ZRTLU9470H,1969,,3,Type 2,2022-10-10T08:35:34.000Z,,1.84,1838,DEVA-TEST,fews,,,energyInkWh,4,18,GST,0.834,,,,1.25,0.22499999999999998,1.475,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,2e304cdb-3027-4906-bb72-c08fdf94248c,charging,,,,barbaradiaz@gmail.com,2635038146,1.25,0.22499999999999998,42672105,2022-10-10T08:37:35.000Z,2022-10-10T08:37:34.000Z,,,,,,,,2,NMC_88884_94832552,88f69174-82ff-451c-af61-1a3821c0eca8,,INR,Charging Summary,debit,hannah88,success,chargeIntimation
51f788a5-c937-43bf-9e1c-c7a0df565394,/xlss/yt26932,APP,3.04,yt26932,"Unit 1587 Box 3429
DPO AP 36423",sdg5,Mysore,Karnataka,Ranchi,07BZPXF4596G8EZ,NSXNC862A,1522,,2,Type 2,2022-10-10T18:47:13.000Z,,1.07,1917,DEVA-TEST,xlss,,,energyInkWh,6,18,GST,0.885,,,,3.04,0.5472,3.587,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,51f788a5-c937-43bf-9e1c-c7a0df565394,charging,,,,nolannathan@hotmail.com,8805280777,3.04,0.5472,14029177,2022-10-10T18:49:14.000Z,2022-10-10T18:49:13.000Z,,,,,,,,3,NMC_42751_86543087,8df779c4-9b34-481f-9467-ddcec7cc0b4e,,INR,Charging Summary,debit,mmiller,success,chargeIntimation
f15bb5a8-b92a-4ec8-8fd0-65de1ce70050,/lknr/op18481,RFID,8.21,op18481,"2883 Willis Glens Suite 656
Port Benjaminmouth, GU 07588",hmk7,Chennai,Tamil Nadu,Ranchi,09EURWY6066Y9XE,WLMPA9988G,1065,,3,Type 2,2022-10-10T11:20:16.000Z,,1.02,1414,DEVA-TEST,lknr,,,energyInkWh,5,18,GST,0.918,,,,8.21,1.4778,9.688,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f15bb5a8-b92a-4ec8-8fd0-65de1ce70050,charging,,,,linda04@gmail.com,2182466422,8.21,1.4778,75364706,2022-10-10T11:22:17.000Z,2022-10-10T11:22:16.000Z,,,,,,,,8,NMC_77741_93312979,652d7aef-9af4-4f9a-ac4e-bfab30eb5df6,,INR,Charging Summary,debit,xkoch,success,chargeIntimation
bd4447f2-947c-407f-ac08-4a2a2c893a2d,/nsid/ga23521,APP,4.91,ga23521,"354 Moody Well Suite 809
Amandaburgh, IN 19873",sft4,Bangalore,Karnataka,Mumbai,26NYWEY8447Z3YJ,LFGIL2622P,1729,,3,Type 1,2022-10-10T11:58:20.000Z,,1.1,1209,DEVA-TEST,nsid,,,energyInkWh,6,18,GST,0.531,,,,4.91,0.8838,5.794,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,bd4447f2-947c-407f-ac08-4a2a2c893a2d,charging,,,,vmendoza@hotmail.com,6227447991,4.91,0.8838,86236766,2022-10-10T12:00:21.000Z,2022-10-10T12:00:20.000Z,,,,,,,,6,NMC_20427_42674644,95f59228-17ad-4154-a94b-8768f1d674bc,,INR,Charging Summary,debit,dclark,success,chargeIntimation
da3399d3-6e67-4ac7-b322-d91df28dc90b,/xlss/yt26932,RFID,9.17,yt26932,"47003 Louis Run Apt. 829
Lake Brenda, OR 51518",sdg5,Mysore,Karnataka,Chennai,13GSVGB3413B8IR,MADWD7256E,1949,,1,Type 2,2022-10-10T01:42:33.000Z,,1.44,1376,DEVA-TEST,xlss,,,energyInkWh,7,18,GST,0.511,,,,9.17,1.6505999999999998,10.821,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,da3399d3-6e67-4ac7-b322-d91df28dc90b,charging,,,,josephdaniel@yahoo.com,9154234642,9.17,1.6505999999999998,52214732,2022-10-10T01:44:34.000Z,2022-10-10T01:44:33.000Z,,,,,,,,1,NMC_46132_27818879,6db130a2-e22f-413d-9fa4-6b94a53457cf,,INR,Charging Summary,debit,lynn66,success,chargeIntimation
284430c7-7812-459b-b4d1-1c805595478c,/nsid/ga23521,APP,2.35,ga23521,"4839 John Orchard
Smithview, WI 19711",sft4,Bangalore,Karnataka,Banglore,29PQPEC1959Y8XG,KMJXI3349A,1173,,2,Type 2,2022-10-10T22:44:57.000Z,,1.39,1272,DEVA-TEST,nsid,,,energyInkWh,6,18,GST,0.823,,,,2.35,0.423,2.773,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,284430c7-7812-459b-b4d1-1c805595478c,charging,,,,martinangel@yahoo.com,4524360104,2.35,0.423,43126265,2022-10-10T22:46:58.000Z,2022-10-10T22:46:57.000Z,,,,,,,,3,NMC_73545_55557074,8b22eb0b-c672-4065-9f0c-845026a51075,,INR,Charging Summary,debit,richardveronica,success,chargeIntimation
