txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
3420489b-de49-49b2-a0aa-6a09601f28b8,/fews/qw23521,RFID,1.13,qw23521,"49831 Thomas Lodge Apt. 615
New Mariafort, MO 61693",sft4,Bangalore,Karnataka,Chennai,01UBIVN8607C8NA,XEVPX3332A,1089,,3,Type 1,2022-09-09T06:40:34.000Z,,1.87,1555,DEVA-TEST,fews,,,energyInkWh,6,18,GST,0.571,,,,1.13,0.20339999999999997,1.333,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,3420489b-de49-49b2-a0aa-6a09601f28b8,charging,,,,fhardy@yahoo.com,7505583975,1.13,0.20339999999999997,74704033,2022-09-09T06:42:35.000Z,2022-09-09T06:42:34.000Z,,,,,,,,7,NMC_69006_63657043,364803ce-11f2-4e8a-b132-e8c17d6dce7f,,INR,Charging Summary,debit,bushsara,success,chargeIntimation
760af6c7-4d5a-479e-9d82-8d3c29c90978,/nsid/ga23521,APP,3.5,ga23521,"3229 Martin Squares Suite 928
New Johnport, CA 69136",sft4,Bangalore,Karnataka,Delhi,30CDSYG981T8SQ,XDIIZ8803E,1969,,1,Type 2,2022-09-09T04:25:12.000Z,,1.92,1634,DEVA-TEST,nsid,,,energyInkWh,8,18,GST,0.971,,,,3.5,0.63,4.13,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,760af6c7-4d5a-479e-9d82-8d3c29c90978,charging,,,,ginabryant@hotmail.com,9093736103,3.5,0.63,13548269,2022-09-09T04:27:13.000Z,2022-09-09T04:27:12.000Z,,,,,,,,9,NMC_98738_99692554,c1b0ed7d-3d74-49bd-9859-5fe7d46bc986,,INR,Charging Summary,debit,peterturner,success,chargeIntimation
3bd3b5fb-2935-4d17-8dd2-8420ebebbabd,/fhtl/uy26932,RFID,7.58,uy26932,"529 Warren Spring Apt. 595
West Christopherbury, NM 83626",sdg5,Mysore,Karnataka,Banglore,35DPZHE6495P9MT,JAVDY8108Z,1582,,3,Type 1,2022-09-09T06:03:06.000Z,,1.64,1413,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.562,,,,7.58,1.3644,8.944,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,3bd3b5fb-2935-4d17-8dd2-8420ebebbabd,charging,,,,tamibrown@hotmail.com,6535679260,7.58,1.3644,97155038,2022-09-09T06:05:07.000Z,2022-09-09T06:05:06.000Z,,,,,,,,5,NMC_73139_24788844,c19ef80f-b3ea-49ac-b357-66a530e20f67,,INR,Charging Summary,debit,crawfordjeremy,success,chargeIntimation
1a5a11e5-f1e0-4f03-8a21-bdbab3ce83ff,/lknr/op18481,APP,3.58,op18481,"24392 Kelly Parkways Apt. 127
Christopherberg, OH 38501",hmk7,Chennai,Tamil Nadu,Ranchi,12EEIKO4213P9YO,TALED7550D,1879,,1,Type 2,2022-09-09T00:02:43.000Z,,1.24,1587,DEVA-TEST,lknr,,,energyInkWh,6,18,GST,0.708,,,,3.58,0.6444,4.224,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,1a5a11e5-f1e0-4f03-8a21-bdbab3ce83ff,charging,,,,juliebaldwin@hotmail.com,5506150114,3.58,0.6444,15769360,2022-09-09T00:04:44.000Z,2022-09-09T00:04:43.000Z,,,,,,,,8,NMC_85496_19798772,8423d5a1-39dc-44bb-a44e-ad24f9e1b99c,,INR,Charging Summary,debit,rebecca36,success,chargeIntimation
b63f5115-faae-4a12-be8f-383ab63c33f3,/nsid/ga23521,RFID,5.0,ga23521,"190 Laura Curve
Johnport, AL 79143",sft4,Bangalore,Karnataka,Banglore,14JJJLN3529E9ST,LAZXE2845A,1850,,2,Type 2,2022-09-09T15:10:42.000Z,,1.09,1038,DEVA-TEST,nsid,,,energyInkWh,7,18,GST,0.884,,,,5.0,0.8999999999999999,5.9,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,b63f5115-faae-4a12-be8f-383ab63c33f3,charging,,,,susan07@yahoo.com,9811851697,5.0,0.8999999999999999,37837915,2022-09-09T15:12:43.000Z,2022-09-09T15:12:42.000Z,,,,,,,,10,NMC_96123_99440483,cc81b717-3a8c-4716-b26e-b5c751b375e7,,INR,Charging Summary,debit,rfisher,success,chargeIntimation
f74f0b64-bb37-4ac1-b40f-a44d08e9a38a,/fhtl/uy26932,APP,4.87,uy26932,"83846 Hodges Spurs Apt. 745
Reeseland, GU 96458",sdg5,Mysore,Karnataka,Mumbai,20VIAAN1033E2CW,KYCDH1270F,1818,,1,Type 1,2022-09-09T10:03:59.000Z,,1.71,1614,DEVA-TEST,fhtl,,,energyInkWh,6,18,GST,0.902,,,,4.87,0.8765999999999999,5.747,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,f74f0b64-bb37-4ac1-b40f-a44d08e9a38a,charging,,,,byrdbenjamin@hotmail.com,1783827198,4.87,0.8765999999999999,99415295,2022-09-09T10:06:00.000Z,2022-09-09T10:05:59.000Z,,,,,,,,7,NMC_74432_32805198,294ea829-0f4f-45be-b492-b2ad66211c35,,INR,Charging Summary,debit,billymosley,success,chargeIntimation
0d0700d7-a11a-4f2c-a569-30a588c113e8,/fews/qw23521,APP,2.13,qw23521,"18878 Lang Track
Monroetown, MT 40315",sft4,Bangalore,Karnataka,Banglore,35WVTDH9030R2QO,SVFNB665E,1742,,1,Type 2,2022-09-09T09:48:10.000Z,,1.83,1915,DEVA-TEST,fews,,,energyInkWh,7,18,GST,0.95,,,,2.13,0.38339999999999996,2.513,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,0d0700d7-a11a-4f2c-a569-30a588c113e8,charging,,,,tiffanymoore@hotmail.com,1694836553,2.13,0.38339999999999996,49007905,2022-09-09T09:50:11.000Z,2022-09-09T09:50:10.000Z,,,,,,,,3,NMC_73987_55789494,96437933-629b-40b1-afa5-d1f3f6c58805,,INR,Charging Summary,debit,jacob42,success,chargeIntimation
0010d6a9-5d4a-44e2-88e6-6bf7927c48fc,/osrw/mq18481,RFID,6.03,mq18481,"PSC 3844, Box 0365
APO AP 11021",hmk7,Chennai,Tamil Nadu,Chennai,36KECAW956R0KA,DVISH7387H,1518,,1,Type 2,2022-09-09T11:47:49.000Z,,1.72,1908,DEVA-TEST,osrw,,,energyInkWh,6,18,GST,0.557,,,,6.03,1.0854,7.115,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,0010d6a9-5d4a-44e2-88e6-6bf7927c48fc,charging,,,,amandacameron@gmail.com,4527898465,6.03,1.0854,79102870,2022-09-09T11:49:50.000Z,2022-09-09T11:49:49.000Z,,,,,,,,10,NMC_41966_58750546,7b2d8e09-cfb2-421e-b750-3facd4931ca3,,INR,Charging Summary,debit,allendaniel,success,chargeIntimation
0078dd1a-98ca-44dd-a80f-3c54618d1bb7,/nsid/ga23521,APP,7.33,ga23521,"55816 Hall View Apt. 232
Grahamport, PA 20173",sft4,Bangalore,Karnataka,Ranchi,13CRWDQ1680K1KN,QYITS3322Z,1798,,3,Type 1,2022-09-09T03:34:10.000Z,,1.04,1609,DEVA-TEST,nsid,,,energyInkWh,8,18,GST,0.699,,,,7.33,1.3194,8.649,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,0078dd1a-98ca-44dd-a80f-3c54618d1bb7,charging,,,,garrettapril@gmail.com,1369953135,7.33,1.3194,29677809,2022-09-09T03:36:11.000Z,2022-09-09T03:36:10.000Z,,,,,,,,4,NMC_85212_25486400,84bf961f-e16b-4db8-97cc-05dcd81aeb71,,INR,Charging Summary,debit,wrightkathleen,success,chargeIntimation
766070e8-1144-4475-aa07-1f9d92106daf,/osrw/mq18481,RFID,7.15,mq18481,"0517 Peter Roads Apt. 991
New Sarah, OK 58696",hmk7,Chennai,Tamil Nadu,Chennai,30MRPCL1862R0PL,SYURO3976E,1680,,1,Type 1,2022-09-09T19:17:43.000Z,,1.64,1118,DEVA-TEST,osrw,,,energyInkWh,6,18,GST,0.683,,,,7.15,1.287,8.437,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,766070e8-1144-4475-aa07-1f9d92106daf,charging,,,,lhubbard@gmail.com,7585946785,7.15,1.287,79727948,2022-09-09T19:19:44.000Z,2022-09-09T19:19:43.000Z,,,,,,,,4,NMC_69294_76821609,540914a2-c8e6-44a3-8326-ac77c27958f7,,INR,Charging Summary,debit,ostewart,success,chargeIntimation
