txn.identifier,txn.assetIdentifier,txn.authMode,txn.amount,txn.chargePointId,txn.chargeStationAddress,txn.chargeStationName,txn.chargeStationCity,txn.chargeStationState,txn.accountBusinessEntity.address,txn.accountBusinessEntity.gstn,txn.accountBusinessEntity.pan,txn.invoicedEndMeter,txn.start.atTime,txn.connectorId,txn.connectorType,txn.createdAtTime,txn.tags,txn.deliveredMin,txn.deliveredWh,txn.idTag,txn.numotype,txn.services.0.name,txn.services.0.currency,txn.services.0.type,txn.services.0.rate,txn.services.0.taxInfo.0.value,txn.services.0.taxInfo.0.name,txn.services.0.taxInfo.0.taxAmount,txn.services.0.taxInfo.1.value,txn.services.0.taxInfo.1.name,txn.services.0.taxInfo.1.taxAmount,txn.services.0.amount,txn.services.0.taxAmount,txn.services.0.total,txn.services.1.name,txn.services.1.currency,txn.services.1.type,txn.services.1.rate,txn.services.1.taxInfo.0.value,txn.services.1.taxInfo.0.name,txn.services.1.taxInfo.0.taxAmount,txn.services.1.taxInfo.1.value,txn.services.1.taxInfo.1.name,txn.services.1.taxInfo.1.taxAmount,txn.services.1.amount,txn.services.1.taxAmount,txn.services.1.total,txn.sessionId,txn.sessionType,txn.stationBusinessEntity.GST,txn.stationBusinessEntity.PAN,txn.stationBusinessEntity.Address,txn.supportEmail,txn.supportNumber,txn.totalAmount,txn.totalTax,txn.transactionId,txn.updatedAtTime,txn.stop.atTime,txn.stopRequest.atTime,txn.stopRequest.target,txn.stopRequest.request,txn.stopRequest.sessionId,txn.stopRequest.origin,txn.stopRequest.reason,txn.stopRequest.messageId,txn.chargeStationId,inv.identifier,inv.accountId,inv.amount,inv.currency,inv.description,inv.entryType,inv.userName,inv.status,inv.invoiceType
96d67742-3ed3-4780-9318-5631e5245a2e,/dgcj/xp64681,APP,7.88,xp64681,"PSC 8804, Box 7985
APO AP 14251",sdg5,Mysore,Karnataka,Kolkata,22VBOUB7659N3WS,EWKRY2270S,1481,,1,Type 1,2023-01-10T17:56:57.000Z,,1.05,1823,DEVA-TEST,dgcj,,,energyInkWh,5,18,GST,0.835,,,,7.88,1.4183999999999999,9.298,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,96d67742-3ed3-4780-9318-5631e5245a2e,charging,,,,kristy18@yahoo.com,9414010274,7.88,1.4183999999999999,53256206,2023-01-10T17:58:58.000Z,2023-01-10T17:58:57.000Z,,,,,,,,9,NMC_30173_61147510,458392c9-4a1a-425c-93cb-ddfa3311885c,,INR,Charging Summary,debit,jenniferjenkins,success,chargeIntimation
7f139245-a043-4a75-8cf9-e0e55414b4c3,/azwq/hw17864,APP,3.91,hw17864,"PSC 4255, Box 9795
APO AA 88160",hmk7,Chennai,Tamil Nadu,Banglore,36IVAHE4230J3KT,WCTTB4782G,1613,,1,Type 1,2023-01-10T11:56:16.000Z,,1.81,1229,DEVA-TEST,azwq,,,energyInkWh,5,18,GST,0.878,,,,3.91,0.7038,4.614,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,7f139245-a043-4a75-8cf9-e0e55414b4c3,charging,,,,brianberg@hotmail.com,7412524577,3.91,0.7038,35921588,2023-01-10T11:58:17.000Z,2023-01-10T11:58:16.000Z,,,,,,,,7,NMC_12851_82938307,988faf1d-946a-43fc-9179-076c08ed51bc,,INR,Charging Summary,debit,rasmussendaniel,success,chargeIntimation
8091c5dc-5487-45c8-81a0-5d9ead4b83a1,/xblw/qp62790,APP,9.0,qp62790,"3451 Joseph Parks Suite 074
Port Dennismouth, NM 87182",sft4,Bangalore,Karnataka,Mumbai,08MEMUI6816T9BL,EJMPN4777J,1658,,2,Type 1,2023-01-10T04:38:10.000Z,,1.19,1494,DEVA-TEST,xblw,,,energyInkWh,5,18,GST,0.645,,,,9.0,1.6199999999999999,10.62,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,8091c5dc-5487-45c8-81a0-5d9ead4b83a1,charging,,,,crystal95@yahoo.com,2267265769,9.0,1.6199999999999999,55112372,2023-01-10T04:40:11.000Z,2023-01-10T04:40:10.000Z,,,,,,,,8,NMC_17089_28990198,8ff3d766-8df4-46a9-8928-75bcfa547485,,INR,Charging Summary,debit,christophervasquez,success,chargeIntimation
2d751e9d-19b7-4f28-b9dc-f9dd825bcb17,/pheh/pg80040,RFID,1.73,pg80040,"3396 Danielle Street
Carterstad, WA 06204",sdg5,Mysore,Karnataka,Banglore,25IXBQV4180E0BA,IAQCQ9965Y,1922,,3,Type 1,2023-01-10T16:17:15.000Z,,1.74,1659,DEVA-TEST,pheh,,,energyInkWh,8,18,GST,0.882,,,,1.73,0.3114,2.041,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,2d751e9d-19b7-4f28-b9dc-f9dd825bcb17,charging,,,,kaylee99@gmail.com,7373887635,1.73,0.3114,60810824,2023-01-10T16:19:16.000Z,2023-01-10T16:19:15.000Z,,,,,,,,3,NMC_36331_87802534,8a64932e-64f0-42e7-9b47-2fbbae00781a,,INR,Charging Summary,debit,bennettdebbie,success,chargeIntimation
62d178f4-7761-41a4-b95c-fce72f09e269,/zlav/sn13760,RFID,9.25,sn13760,"00142 Matthew Mews
Christinashire, UT 43870",sdg5,Mysore,Karnataka,Ranchi,35ELFJC4917T7DO,OUKYY4502R,1816,,2,Type 1,2023-01-10T02:19:16.000Z,,1.43,1617,DEVA-TEST,zlav,,,energyInkWh,7,18,GST,0.832,,,,9.25,1.665,10.915,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,62d178f4-7761-41a4-b95c-fce72f09e269,charging,,,,wallerwillie@hotmail.com,3869385785,9.25,1.665,78100091,2023-01-10T02:21:17.000Z,2023-01-10T02:21:16.000Z,,,,,,,,2,NMC_31522_34321741,f5c30026-2e53-42f8-bc05-a52b2d4dad52,,INR,Charging Summary,debit,dhayes,success,chargeIntimation
bc7580da-eff9-4411-998e-56114a14b376,/qlab/bx82298,APP,1.64,bx82298,"219 Young Tunnel
East Matthew, AZ 36909",sdg5,Mysore,Karnataka,Chennai,96CNZYF8453F3PY,UABTE7202A,1884,,3,Type 1,2023-01-10T17:44:40.000Z,,1.97,1896,DEVA-TEST,qlab,,,energyInkWh,8,18,GST,0.785,,,,1.64,0.29519999999999996,1.935,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,bc7580da-eff9-4411-998e-56114a14b376,charging,,,,lydiabradley@gmail.com,6916933686,1.64,0.29519999999999996,10861363,2023-01-10T17:46:41.000Z,2023-01-10T17:46:40.000Z,,,,,,,,9,NMC_71304_92743057,2b766c14-b362-405a-adca-dcc7a45a59d3,,INR,Charging Summary,debit,tammy79,success,chargeIntimation
170500e0-4958-4d9b-81af-ec5ae9132a08,/cxki/ey79717,RFID,4.04,ey79717,"14674 Cox Overpass
Careystad, CT 91212",sft4,Bangalore,Karnataka,Chennai,09ETMQM3504H3DL,HIKVR4809H,1562,,2,Type 1,2023-01-10T04:40:01.000Z,,1.77,1783,DEVA-TEST,cxki,,,energyInkWh,5,18,GST,0.611,,,,4.04,0.7272,4.767,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,170500e0-4958-4d9b-81af-ec5ae9132a08,charging,,,,jonathon79@gmail.com,9007897200,4.04,0.7272,84586715,2023-01-10T04:42:02.000Z,2023-01-10T04:42:01.000Z,,,,,,,,4,NMC_92714_78459956,d30b5162-c293-443c-8f2c-6a0390cfb1b9,,INR,Charging Summary,debit,pmccormick,success,chargeIntimation
9b2806ca-b66a-49f6-908b-150d95f6af7a,/ilvn/ik46904,RFID,4.9,ik46904,"48750 Oconnor Valley Suite 552
West Heatherchester, OH 57446",sdg5,Mysore,Karnataka,Banglore,10OBZXO6853F8SY,AKTWJ1533D,1045,,2,Type 1,2023-01-10T00:28:04.000Z,,1.82,1906,DEVA-TEST,ilvn,,,energyInkWh,7,18,GST,0.668,,,,4.9,0.882,5.782,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,9b2806ca-b66a-49f6-908b-150d95f6af7a,charging,,,,aaronlarsen@gmail.com,9235462802,4.9,0.882,77697743,2023-01-10T00:30:05.000Z,2023-01-10T00:30:04.000Z,,,,,,,,10,NMC_50887_75234936,e8042098-485e-4b38-b3a7-e5fdaf42bc9d,,INR,Charging Summary,debit,edwardsheather,success,chargeIntimation
d06578ee-f17b-46d5-82b2-b576958adbc6,/dgmp/jc97877,RFID,4.76,jc97877,"434 Tony Trace
Lake Emma, FM 12091",hmk7,Chennai,Tamil Nadu,Banglore,19MCWSD3977B5TY,VNYRE9403R,1173,,1,Type 2,2023-01-10T23:40:34.000Z,,1.73,1280,DEVA-TEST,dgmp,,,energyInkWh,6,18,GST,0.984,,,,4.76,0.8567999999999999,5.617,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,d06578ee-f17b-46d5-82b2-b576958adbc6,charging,,,,brownrobin@yahoo.com,1235285096,4.76,0.8567999999999999,35159736,2023-01-10T23:42:35.000Z,2023-01-10T23:42:34.000Z,,,,,,,,10,NMC_26101_55479332,e45acb47-a620-46f2-9874-fd6c582b08be,,INR,Charging Summary,debit,johnstonrobert,success,chargeIntimation
85ae42ed-c3e7-4aed-9e7b-47f83eede6d4,/njpl/pd45816,APP,9.6,pd45816,"1783 Ortiz Parks Suite 424
Rogerborough, CO 98933",sdg5,Mysore,Karnataka,Banglore,08OURBW1272F3WR,SZOHV5919C,1553,,2,Type 2,2023-01-10T22:30:29.000Z,,1.94,1906,DEVA-TEST,njpl,,,energyInkWh,8,18,GST,0.657,,,,9.6,1.728,11.328,,,serviceFee,0,18,GST,0,0.0,0.0,0.0,0,0.0,0.0,85ae42ed-c3e7-4aed-9e7b-47f83eede6d4,charging,,,,moorestephen@yahoo.com,7441482320,9.6,1.728,69017084,2023-01-10T22:32:30.000Z,2023-01-10T22:32:29.000Z,,,,,,,,4,NMC_15523_50082439,a4c65f68-2a57-4d37-9119-55a993fbcf11,,INR,Charging Summary,debit,lindsey64,success,chargeIntimation
